=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2019JUL30 113000  3.5  997.1  55.0  3.5 3.7 3.7  none  OFF  OFF  -70.26 -67.01  UNIFRM   NA    4.8   12.22  119.84  FCST   GOES15 17.2 
2019JUL30 120000  3.6  995.8  57.0  3.6 3.9 3.9  none  OFF  OFF  -72.06 -68.03  UNIFRM   NA    4.8   12.23  119.95  FCST   GOES15 17.1 
2019JUL30 123000  3.7  994.5  59.0  3.7 3.9 3.9  none  OFF  OFF  -70.66 -66.75  UNIFRM   NA    4.8   12.23  120.07  FCST   GOES15 17.0 
2019JUL30 130000  3.7  994.5  59.0  3.7 3.8 3.8  none  OFF  OFF  -66.76 -64.24  UNIFRM   NA    4.8   12.24  120.18  FCST   GOES15 17.0 
2019JUL30 133000  3.7  994.5  59.0  3.7 3.7 3.8  MW  OFF  OFF  -61.96 -62.64  UNIFRM   NA    4.8   12.24  120.29  FCST   GOES15 16.9 MWinit1=3.83.73.7
2019JUL30 140000  3.7  994.5  59.0  3.7 3.7 3.6  MW  OFF  OFF  -48.06 -61.45  EMBC     NA    4.8   12.25  120.40  FCST   GOES15 16.8 MWinit1=3.63.73.7
2019JUL30 143000  3.8  993.2  61.0  3.8 3.8 3.4  MW  OFF  OFF  -37.96 -59.08  UNIFRM   NA    4.8   12.25  120.52  FCST   GOES15 16.8 MWinit1=3.43.73.7
2019JUL30 150000  3.8  993.2  61.0  3.8 3.8 3.4  MW   ON  OFF  -33.06 -58.32  EMBC     NA    4.8   12.26  120.63  FCST   GOES15 16.7 MWinit1=3.43.63.7
2019JUL30 153000  3.8  993.2  61.0  3.8 3.8 3.5  MW   ON  OFF  -29.96 -59.16  UNIFRM   NA    4.8   12.19  120.69  FCST   GOES15 16.6 MWinit1=3.53.63.7
2019JUL30 160000  3.8  993.2  61.0  3.8 3.8 3.4  MW   ON  FLG  -29.96 -58.76  UNIFRM   NA    4.8   12.20  120.80  FCST   GOES15 16.6 MWinit1=3.43.53.7
2019JUL30 163000  3.9  991.8  63.0  3.9 3.9 3.1  MW   ON  FLG  -42.26 -58.30  UNIFRM   NA    4.8   12.22  120.91  FCST   GOES15 16.5 MWinit1=3.13.43.7
2019JUL30 170000  3.9  991.8  63.0  3.9 3.9 3.0  MW   ON  FLG  -67.56 -56.71  UNIFRM   NA    4.8   12.23  121.02  FCST   GOES15 16.5 MWinit1=3.03.33.7
2019JUL30 173000  3.9  991.8  63.0  3.9 3.9 3.3  MW   ON  FLG  -72.56 -58.38  RCDO   NA    4.8   12.25  121.13  FCST   GOES15 16.4 MWinit1=3.33.33.7
