=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2020OCT06 053000  4.6  974.7  79.6  4.6 4.6 4.3  MW     OFF  OFF  -76.16 -73.51  UNIFRM   NA   35.4   17.24   80.62  SPRL   GOES16 21.2 
2020OCT06 060000  4.6  974.8  79.6  4.6 4.6 4.3  MW   OFF  OFF  -77.16 -72.91  UNIFRM   NA   35.4   17.21   80.71  SPRL   GOES16 21.2 
2020OCT06 063000  4.6  974.7  79.6  4.6 4.6 4.3  MW   OFF  OFF  -77.16 -73.98  UNIFRM   NA   35.4   17.38   80.80  SPRL   GOES16 21.4 
2020OCT06 070000  4.6  974.6  79.6  4.6 4.6 4.3  MW   OFF  OFF  -78.16 -74.21  UNIFRM   NA   35.4   17.46   81.00  SPRL   GOES16 21.6 
2020OCT06 073000  4.6  974.7  79.6  4.6 4.6 4.1  MW   OFF  OFF  -75.16 -72.36  UNIFRM   NA   35.4   17.44   81.04  SPRL   GOES16 21.6 
2020OCT06 080000  4.6  974.6  79.6  4.6 4.6 4.1  MW   OFF  OFF  -75.16 -72.74  UNIFRM   NA   35.4   17.54   81.15  SPRL   GOES16 21.7 
2020OCT06 083000  4.6  974.6  79.6  4.6 4.6 3.9  MW   OFF  OFF  -73.16 -71.42  UNIFRM   NA   35.4   17.59   81.15  SPRL   GOES16 21.8 
2020OCT06 090000  4.6  974.6  79.6  4.6 4.6 4.0  MW   OFF  OFF  -76.16 -73.21  UNIFRM   NA   35.4   17.55   81.35  SPRL   GOES16 21.8 
2020OCT06 093000  4.6  974.5  79.6  4.6 4.6 4.2  MW   OFF  OFF  -74.16 -74.45  UNIFRM   NA   35.4   17.71   81.45  SPRL   GOES16 22.0 
2020OCT06 100000  4.6  974.5  79.6  4.6 4.6 4.2  MW   OFF  OFF  -74.16 -74.79  UNIFRM   NA   35.4   17.67   81.55  SPRL   GOES16 22.0 
2020OCT06 103000  4.6  974.5  79.6  4.6 4.6 4.3  MW   OFF  OFF  -75.16 -75.86  UNIFRM   NA   15.0   17.73   81.65  SPRL   GOES16 22.1 
2020OCT06 110000  4.6  974.5  79.6  4.6 4.6 4.3  MW   OFF  OFF  -75.16 -75.74  UNIFRM   NA   15.0   17.79   81.75  SPRL   GOES16 22.2 
2020OCT06 113000  4.6  974.5  79.6  4.6 4.6 4.2  MW   OFF  OFF  -73.16 -76.15  UNIFRM   NA   15.0   17.75   81.84  SPRL   GOES16 22.2 
2020OCT06 120000  4.6  974.5  79.6  4.6 4.6 4.2  MW OFF  OFF  -76.16 -76.65  UNIFRM   NA   15.0   17.81   81.94  SPRL   GOES16 22.3 MW OFF HOLD >=6hrs old
2020OCT06 123000  4.6  974.4  79.6  4.5 4.1 4.1  none   ON  OFF  -74.16 -75.86  UNIFRM   NA   15.0   17.88   82.04  SPRL   GOES16 22.4 
2020OCT06 130000  4.6  974.4  79.6  4.4 4.2 4.2  none   ON  OFF  -74.16 -76.06  UNIFRM   NA   15.0   17.92   82.19  FCST   GOES16 22.5 
2020OCT06 133000  4.6  974.4  79.6  4.4 4.2 4.2  none   ON  OFF  -71.16 -75.16  UNIFRM   NA   15.0   17.98   82.28  FCST   GOES16 22.6 
2020OCT06 140000  4.6  974.3  79.6  4.3 4.2 4.2  none   ON  OFF  -71.16 -75.11  UNIFRM   NA   15.0   18.07   82.40  FCST   GOES16 22.8 
2020OCT06 143000  4.6  974.3  79.6  4.2 4.2 4.2  none   ON  FLG  -74.16 -74.70  UNIFRM   NA   15.0   18.13   82.50  FCST   GOES16 22.9 
2020OCT06 150000  4.6  974.3  79.6  4.2 4.2 4.2  none   ON  FLG  -72.16 -75.08  UNIFRM   NA   15.0   18.20   82.60  FCST   GOES16 23.0 
2020OCT06 153000  4.6  974.3  79.6  4.2 4.7 4.7  none   ON  OFF  -73.16 -76.17  EMBC     NA   15.0   18.27   82.70  FCST   GOES16 23.1 
2020OCT06 160000  4.6  974.2  79.6  4.2 4.1 4.1  none   ON  OFF  -75.16 -75.74  UNIFRM   NA   15.0   18.33   82.80  FCST   GOES16 23.2 
2020OCT06 163000  4.6  974.2  79.6  4.2 4.1 4.1  none   ON  OFF  -72.16 -75.14  UNIFRM   NA   15.0   18.40   82.91  FCST   GOES16 23.4 
2020OCT06 170000  4.6  974.2  79.6  4.2 4.1 4.1  none   ON  OFF  -73.16 -76.75  UNIFRM   NA   15.0   18.47   83.01  FCST   GOES16 23.5 
2020OCT06 173000  4.6  974.1  79.6  4.2 4.3 4.3  none   ON  OFF  -77.16 -78.15  UNIFRM   NA   15.0   18.53   83.11  FCST   GOES16 23.6 
2020OCT06 180000  4.6  974.1  79.6  4.2 4.3 4.3  none   ON  OFF  -76.16 -78.46  UNIFRM   NA   15.0   18.60   83.22  FCST   GOES16 23.7 
2020OCT06 183000  4.5  976.0  77.0  4.2 4.4 4.4  none   ON  OFF  -78.16 -79.68  UNIFRM   NA   15.0   18.66   83.32  FCST   GOES16 23.8 
2020OCT06 190000  4.4  977.6  74.6  4.2 4.3 4.3  none   ON  OFF  -77.16 -79.32  UNIFRM   NA   15.0   18.73   83.42  FCST   GOES16 24.0 
2020OCT06 193000  4.4  977.7  74.6  4.2 4.4 4.4  none   ON  OFF  -77.16 -79.32  UNIFRM   NA   15.0   18.70   83.79  FCST   GOES16 24.1 
2020OCT06 200000  4.3  979.3  72.2  4.3 4.4 4.4  none   ON  OFF  -79.16 -79.35  UNIFRM   NA   15.0   18.76   83.89  FCST   GOES16 24.2 
2020OCT06 203000  4.3  979.3  72.2  4.3 4.4 4.4  none  OFF  OFF  -78.16 -78.28  UNIFRM   NA   15.0   18.83   84.00  FCST   GOES16 24.3 
2020OCT06 210000  4.3  979.3  72.2  4.3 4.4 4.4  none  OFF  OFF  -78.16 -77.98  UNIFRM   NA   15.0   18.90   84.10  FCST   GOES16 24.4 
2020OCT06 213000  4.3  979.2  72.2  4.3 4.4 4.4  none  OFF  OFF  -76.16 -77.88  UNIFRM   NA   15.0   18.97   84.20  FCST   GOES16 24.6 
2020OCT06 220000  4.3  979.2  72.2  4.3 4.4 4.4  none  OFF  OFF  -74.16 -78.61  UNIFRM   NA   15.2   19.04   84.31  FCST   GOES16 24.7 
2020OCT06 223000  4.4  977.5  74.6  4.4 4.5 4.5  none  OFF  OFF  -79.16 -80.04  UNIFRM   NA   15.2   19.11   84.42  FCST   GOES16 24.8 
2020OCT06 230000  4.4  977.4  74.6  4.4 4.5 4.5  none  OFF  OFF  -80.16 -80.84  UNIFRM   NA   15.2   19.18   84.52  FCST   GOES16 24.9 
2020OCT06 233000  4.4  977.4  74.6  4.4 4.5 4.5  none  OFF  OFF  -82.16 -81.14  UNIFRM   NA   15.2   19.25   84.63  FCST   GOES16 25.1 
2020OCT07 000000  4.4  977.3  74.6  4.4 4.5 4.5  none  OFF  OFF  -78.16 -80.36  UNIFRM   NA   15.2   19.33   84.74  FCST   GOES16 25.2 
2020OCT07 003000  4.5  975.7  77.0  4.5 4.9 4.9  none  OFF  OFF  -77.16 -80.50  EMBC     NA    6.7   19.28   84.59  FCST   GOES16 25.1 
2020OCT07 010000  4.5  975.6  77.0  4.5 4.5 4.5  none  OFF  OFF  -77.16 -80.13  UNIFRM   NA    6.7   19.36   84.68  FCST   GOES16 25.2 
2020OCT07 013000  4.5  975.6  77.0  4.5 4.6 4.6  none  OFF  OFF  -77.16 -80.77  UNIFRM   NA    6.7   19.44   84.77  FCST   GOES16 25.3 
2020OCT07 020000  4.6  973.7  79.6  4.6 4.6 4.6  none  OFF  OFF  -74.16 -80.88  UNIFRM   NA    6.7   19.38   84.90  FCST   GOES16 25.3 
2020OCT07 023000  4.6  973.7  79.6  4.6 4.6 4.7  MW  OFF  OFF  -79.16 -80.68  UNIFRM   NA    6.7   19.49   85.05  SPRL   GOES16 25.5 MWinit1=4.74.64.6
2020OCT07 030000  4.6  973.7  79.6  4.6 4.6 5.2  MW  OFF  OFF  -74.16 -81.48  EMBC     NA    6.7   19.50   85.10  FCST   GOES16 25.6 MWinit1=5.04.64.6
2020OCT07 033000  4.6  973.6  79.6  4.6 4.6 5.2  MW  OFF  OFF  -79.16 -82.44  EMBC     NA    6.7   19.56   85.20  FCST   GOES16 25.7 MWinit1=5.04.74.7
2020OCT07 040000  4.6  973.6  79.6  4.6 4.6 5.3  MW  OFF  OFF  -79.16 -82.22  EMBC     NA    6.7   19.68   85.26  SPRL   GOES16 25.8 MWinit1=5.04.84.8
2020OCT07 043000  4.6  973.5  79.6  4.6 4.6 5.4  MW  OFF  OFF  -79.16 -82.23  EMBC     NA    6.7   19.75   85.36  SPRL   GOES16 26.0 MWinit1=5.14.84.8
2020OCT07 050000  4.6  973.5  79.6  4.6 4.6 5.4  MW  OFF  OFF  -78.16 -81.93  EMBC     NA    6.7   19.83   85.47  SPRL   GOES16 26.1 MWinit1=5.14.94.9
2020OCT07 053000  4.6  973.5  79.6  4.6 4.6 4.5  MW  OFF  OFF  -82.16 -82.06  UNIFRM   NA    6.7   19.85   85.63  FCST   GOES16 26.2 MWinit1=4.54.94.9
2020OCT07 060000  4.6  973.1  79.6  4.6 4.6 5.3  MW  OFF  OFF  -79.16 -80.61  EMBC     NA    6.7   20.58   85.79  SPRL   GOES16 27.0 MWinit1=5.14.94.9
2020OCT07 063000  4.6  973.4  79.6  4.6 4.6 5.0  MW  OFF  OFF  -77.16 -79.25  UNIFRM   NA    6.7   20.01   85.85  FCST   GOES16 26.5 MWinit1=5.04.94.9
2020OCT07 070000  4.6  973.3  79.6  4.6 4.6 5.0  MW  OFF  OFF  -72.16 -79.49  EMBC     NA    6.7   20.34   85.91  SPRL   GOES16 26.8 MWinit1=5.04.94.9
2020OCT07 073000  4.6  973.3  79.6  4.6 4.6 5.5  MW  OFF  OFF  -75.16 -80.83  EMBC     NA    6.7   20.19   85.84  SPRL   GOES16 26.7 MWinit1=5.25.05.0
2020OCT07 080000  4.6  973.3  79.6  4.6 4.6 5.7  MW  OFF  OFF  -74.16 -80.69  EMBC     NA    6.7   20.29   86.01  SPRL   GOES16 26.8 MWinit1=5.35.05.0
2020OCT07 083000  4.6  973.2  79.6  4.6 4.6 5.7  MW  OFF  OFF  -74.16 -80.73  EMBC     NA    6.7   20.52   86.28  FCST   GOES16 27.2 MWinit1=5.35.05.0
2020OCT07 090000  4.6  973.2  79.6  4.6 4.6 5.7  MW  OFF  OFF  -77.16 -81.16  EMBC     NA    6.7   20.45   86.24  SPRL   GOES16 27.1 MWinit1=5.35.15.1
2020OCT07 093000  4.6  973.1  79.6  4.6 4.6 5.3  MW  OFF  OFF  -77.16 -81.31  UNIFRM   NA    6.7   20.68   86.51  FCST   GOES16 27.5 MWinit1=5.35.25.2
2020OCT07 100000  4.6  973.0  79.6  4.6 4.6 5.9  MW  OFF  OFF  -76.16 -82.14  EMBC     NA    6.7   20.76   86.63  FCST   GOES16 27.6 MWinit1=5.55.25.2
2020OCT07 103000  4.6  973.0  79.6  4.6 4.6 5.4  MW  OFF  OFF  -81.16 -81.87  UNIFRM   NA    6.7   20.84   86.74  FCST   GOES16 27.8 MWinit1=5.45.35.3
2020OCT07 110000  4.6  973.0  79.6  4.6 4.6 5.5  MW  OFF  OFF  -81.16 -82.34  UNIFRM   NA    6.7   20.91   86.86  FCST   GOES16 27.9 MWinit1=5.55.35.3
2020OCT07 153000  4.3  978.9  72.2  4.3 4.3 5.1  MW     OFF  OFF  -76.16 -77.14  UNIFRM   NA   30.1   21.71   88.06  SPRL   GOES16 29.4 
2020OCT07 163000  4.4  977.2  74.6  4.4 4.4 4.6  MW     OFF  OFF  -75.16 -77.59  UNIFRM   NA   30.1   21.65   88.18  SPRL   GOES16 29.4 
2020OCT07 170000  4.4  977.1  74.6  4.4 4.4 4.5  MW     OFF  OFF  -77.16 -77.47  UNIFRM   NA   30.1   21.83   88.41  SPRL   GOES16 29.7 
2020OCT07 173000  4.4  977.1  74.6  4.4 4.4 4.5  MW     OFF  OFF  -79.16 -77.62  UNIFRM   NA   30.1   21.90   88.64  SPRL   GOES16 29.9 
