=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2020OCT07 180000  4.4  977.1  74.6  4.4 4.4 4.5  MW     OFF  OFF  -79.16 -78.40  UNIFRM   NA   30.1   21.88   88.65  SPRL   GOES16 29.9 
2020OCT07 183000  4.4  977.1  74.6  4.4 4.4 4.5  MW     OFF  OFF  -79.16 -78.43  UNIFRM   NA   30.1   21.96   88.89  SPRL   GOES16 30.1 
2020OCT07 190000  4.5  975.3  77.0  4.5 4.5 4.5  MW     OFF  OFF  -79.16 -77.64  UNIFRM   NA   30.1   21.99   88.96  FCST   GOES16 30.2 
2020OCT07 193000  4.5  975.0  77.0  4.5 4.5 4.1  MW     OFF  OFF  -70.16 -70.64  UNIFRM   NA   30.1   22.66   89.04  SPRL   GOES16 30.9 
2020OCT07 200000  4.5  975.3  77.0  4.5 4.5 3.8  MW     OFF  OFF  -77.16 -77.11  UNIFRM   NA   30.1   22.07   89.20  FCST   GOES16 30.4 
2020OCT07 203000  4.5  975.3  77.0  4.5 4.5 3.9  MW     OFF  OFF  -81.16 -77.91  UNIFRM   NA   30.1   22.05   89.39  FCST   GOES16 30.5 
2020OCT07 210000  4.5  975.3  77.0  4.5 4.5 3.8  MW     OFF  OFF  -82.16 -77.89  UNIFRM   NA   30.1   22.10   89.50  FCST   GOES16 30.6 
2020OCT07 213000  4.6  973.4  79.6  4.6 4.6 4.4  MW     OFF  OFF  -81.16 -77.83  UNIFRM   NA   30.1   22.15   89.61  FCST   GOES16 30.7 
2020OCT07 220000  4.6  973.3  79.6  4.6 4.6 3.9  MW     OFF  OFF  -80.16 -77.74  UNIFRM   NA   30.1   22.21   89.71  FCST   GOES16 30.8 
2020OCT07 223000  4.6  973.3  79.6  4.6 4.6 4.0  MW   OFF  OFF  -76.16 -78.14  UNIFRM   NA   30.1   22.27   89.82  FCST   GOES16 31.0 
2020OCT07 230000  4.6  973.3  79.6  4.6 4.6 4.6  MW   OFF  OFF  -75.16 -79.20  UNIFRM   NA   30.1   22.32   89.92  FCST   GOES16 31.1 
2020OCT07 233000  4.6  973.3  79.6  4.6 4.6 4.7  MW   OFF  OFF  -84.16 -80.26  UNIFRM   NA   30.1   22.33   90.08  SPRL   GOES16 31.2 
2020OCT08 000000  4.6  973.3  79.6  4.6 4.6 4.8  MW  OFF  OFF  -84.16 -82.19  UNIFRM   NA   13.0   22.29   90.28  SPRL   GOES16 31.3 MWinit1=4.64.64.6
2020OCT08 003000  4.6  973.3  79.6  4.6 4.6 4.7  MW  OFF  OFF  -80.16 -81.72  EMBC     NA   13.0   22.35   90.27  SPRL   GOES16 31.3 MWinit1=4.64.64.6
2020OCT08 010000  4.6  973.3  79.6  4.6 4.6 4.7  MW  OFF  OFF  -82.16 -80.94  UNIFRM   NA   13.0   22.30   90.29  SPRL   GOES16 31.3 MWinit1=4.64.64.6
2020OCT08 013000  4.7  971.3  82.2  4.7 4.7 4.5  MW  OFF  OFF  -76.16 -79.40  UNIFRM   NA   13.0   22.53   90.31  SPRL   GOES16 31.5 MWinit1=4.64.64.6
2020OCT08 020000  4.7  971.3  82.2  4.7 4.7 7.7  MW  OFF  OFF  -27.58 -79.71  EYEP  -99   13.0   22.56   90.53  SPRL   GOES16 31.7 MWinit1=4.64.64.6
2020OCT08 023000  4.7  971.2  82.2  4.7 4.7 4.7  MW  OFF  OFF  -79.16 -79.14  UNIFRM   NA   13.0   22.71   90.85  SPRL   GOES16 32.0 MWinit1=4.64.64.6
2020OCT08 030000  4.7  971.2  82.2  4.7 4.7 4.7  MW  OFF  OFF  -76.16 -78.41  UNIFRM   NA   13.0   22.75   91.06  SPRL   GOES16 32.2 MWinit1=4.64.64.6
2020OCT08 033000  4.7  971.2  82.2  4.7 4.7 4.7  MW  OFF  OFF  -77.16 -77.84  UNIFRM   NA   13.0   22.70   91.16  SPRL   GOES16 32.2 MWinit1=4.64.64.6
2020OCT08 040000  4.7  971.2  82.2  4.7 4.7 4.7  MW  OFF  OFF  -78.16 -77.99  UNIFRM   NA   13.0   22.65   91.25  SPRL   GOES16 32.2 MWinit1=4.64.64.6
2020OCT08 043000  4.8  969.3  84.8  4.8 4.8 4.6  MW  OFF  OFF  -79.16 -77.75  UNIFRM   NA   13.0   22.71   91.13  SPRL   GOES16 32.2 MWinit1=4.64.64.6
2020OCT08 050000  4.8  969.2  84.8  4.8 4.8 4.7  MW  OFF  OFF  -79.16 -78.01  UNIFRM   NA   13.0   22.76   91.32  SPRL   GOES16 32.3 MWinit1=4.74.64.6
2020OCT08 053000  4.8  969.2  84.8  4.8 4.8 4.7  MW  OFF  OFF  -78.16 -78.03  UNIFRM   NA   13.0   22.82   91.40  SPRL   GOES16 32.5 MWinit1=4.74.64.6
2020OCT08 060000  4.8  969.1  84.8  4.8 4.8 4.7  MW  OFF  OFF  -79.16 -76.96  UNIFRM   NA   13.0   22.99   91.48  SPRL   GOES16 32.7 MWinit1=4.74.64.6
2020OCT08 063000  4.8  969.1  84.8  4.8 4.8 4.6  MW  OFF  OFF  -81.16 -77.42  UNIFRM   NA   13.0   22.95   91.56  SPRL   GOES16 32.7 MWinit1=4.64.64.6
2020OCT08 070000  4.8  969.1  84.8  4.8 4.8 4.5  MW  OFF  OFF  -78.16 -77.59  UNIFRM   NA   13.0   23.12   91.57  FCST   GOES16 32.8 MWinit1=4.54.64.6
2020OCT08 073000  4.9  967.1  87.4  4.9 4.9 4.5  MW  OFF  OFF  -79.16 -77.82  UNIFRM   NA   13.0   23.20   91.59  FCST   GOES16 32.9 MWinit1=4.54.64.6
2020OCT08 080000  4.9  967.0  87.4  4.9 4.9 4.4  MW   ON  OFF  -77.16 -76.94  UNIFRM   NA   13.0   23.27   91.66  FCST   GOES16 33.0 MWinit1=4.44.54.6
2020OCT08 083000  4.9  967.0  87.4  4.9 4.9 4.4  MW   ON  OFF  -72.16 -75.62  UNIFRM   NA   13.0   23.33   91.73  FCST   GOES16 33.1 MWinit1=4.44.54.6
2020OCT08 090000  4.9  967.0  87.4  4.9 4.9 4.9  MW   ON  OFF  -65.16 -75.80  EMBC     NA   13.0   23.40   91.80  FCST   GOES16 33.2 MWinit1=4.94.54.6
2020OCT08 093000  4.9  966.9  87.4  4.9 4.9 4.5  MW   ON  OFF  -60.16 -75.86  UNIFRM   NA   13.0   23.47   91.87  FCST   GOES16 33.3 MWinit1=4.54.54.6
2020OCT08 100000  5.0  964.9  90.0  5.0 5.0 4.4  MW   ON  OFF  -75.16 -75.79  UNIFRM   NA   13.0   23.53   91.94  FCST   GOES16 33.4 MWinit1=4.44.54.6
2020OCT08 103000  5.0  964.9  90.0  5.0 5.0 4.4  MW   ON  OFF  -66.16 -75.93  UNIFRM   NA   13.0   23.60   92.01  FCST   GOES16 33.6 MWinit1=4.44.54.6
2020OCT08 110000  5.0  964.9  90.0  5.0 5.0 4.4  MW   ON  OFF  -74.16 -76.27  UNIFRM   NA   13.0   23.66   92.08  FCST   GOES16 33.7 MWinit1=4.44.44.6
2020OCT08 113000  5.0  964.8  90.0  5.0 5.0 4.3  MW   ON  OFF  -70.16 -76.44  UNIFRM   NA   13.0   23.73   92.15  FCST   GOES16 33.8 MWinit1=4.34.44.6
2020OCT08 120000  5.0  964.8  90.0  5.0 5.0 7.3  MW      ON  OFF  -27.08 -78.33  EYEP  -99   63.1   23.80   92.22  FCST   GOES16 33.9 
2020OCT08 123000  5.0  964.8  90.0  5.0 5.0 4.6  MW      ON  OFF  -75.16 -79.42  UNIFRM   NA   63.1   23.86   92.29  FCST   GOES16 34.0 
2020OCT08 130000  5.0  965.7  90.0  5.0 5.0 4.6  MW     OFF  OFF  -75.16 -79.18  UNIFRM   NA   63.1   23.93   92.36  FCST   GOES16 34.1 
2020OCT08 134000  5.0  965.8  90.0  5.0 5.0 5.1  MW     OFF  OFF  -79.16 -79.25  UNIFRM   NA   63.1   23.90   92.63  FCST   GOES16 34.2 
2020OCT08 140000  5.0  965.8  90.0  5.0 5.0 5.6  MW     OFF  OFF  -72.16 -79.18  EMBC     NA   63.1   23.89   92.59  FCST   GOES16 34.2 
2020OCT08 143000  5.0  965.7  90.0  5.0 5.0 7.5  MW     OFF  OFF  -26.58 -78.54  EYEP  -99   63.1   23.94   92.65  FCST   GOES16 34.3 
2020OCT08 150000  5.0  965.7  90.0  5.0 5.0 7.3  MW     OFF  OFF  -32.16 -78.19  EYE    -99   63.1   24.00   92.70  FCST   GOES16 34.4 
2020OCT08 153000  5.1  963.8  92.4  5.1 6.2 7.6  MW OFF  OFF  -16.66 -78.58  EYE     11   63.1   24.06   92.75  FCST   GOES16 34.4 
2020OCT08 160000  5.3  960.0  97.2  5.3 6.3 7.3  1.3T6hr  OFF  OFF  -34.16 -77.99  EYE    -99   63.1   24.18   92.86  SPRL   GOES16 34.6 
2020OCT08 163000  5.4  958.1  99.6  5.4 5.6 5.8  0.5Thour OFF  OFF  -71.16 -77.06  EMBC     NA   63.1   24.14   92.92  SPRL   GOES16 34.6 
2020OCT08 170000  5.5  956.0 102.0  5.5 5.5 5.5  none  OFF  OFF  -73.16 -78.42  UNIFRM   NA   63.1   24.51   93.41  SPRL   GOES16 35.3 
2020OCT08 173000  5.7  951.8 107.2  5.7 6.3 6.6  1.3T6hr  OFF  OFF  -45.16 -75.65  EYE    -99   63.1   24.38   92.92  SPRL   GOES16 34.8 
2020OCT08 180000  5.8  949.6 109.8  5.8 6.3 7.0  1.3T6hr  OFF  OFF  -14.16 -75.44  EYE     11   63.1   24.46   93.08  SPRL   GOES16 35.0 
2020OCT08 183000  6.0  945.2 115.0  6.0 6.3 6.4  1.3T6hr  OFF  OFF  -26.16 -72.43  EYE    -99   63.1   24.53   93.03  SPRL   GOES16 35.0 
2020OCT08 190000  6.0  946.9 115.0  6.0 6.3 6.5  1.3T6hr  OFF  OFF  -34.16 -73.62  EYE    -99   63.1   24.49   93.04  SPRL   GOES16 35.0 
2020OCT08 193000  6.0  946.9 115.0  6.0 6.3 6.7  1.3T6hr  OFF  OFF  -18.16 -74.02  EYE     18   63.1   24.51   93.02  COMBO  GOES16 35.0 
2020OCT08 200000  6.1  944.7 117.4  6.1 6.3 6.7  1.3T6hr  OFF  OFF  -12.66 -73.84  EYE     13   63.1   24.69   93.05  COMBO  GOES16 35.2 
2020OCT08 203000  6.3  940.4 122.2  6.3 6.3 7.0  1.3T6hr  OFF  OFF   -3.16 -75.00  EYE     15   63.1   24.77   93.20  COMBO  GOES16 35.4 
2020OCT08 210000  6.3  940.4 122.2  6.3 6.3 6.7  1.3T6hr  OFF  OFF  -26.16 -74.55  EYE     11   63.1   24.75   93.12  COMBO  GOES16 35.3 
2020OCT08 213000  6.3  940.4 122.2  6.3 6.4 6.8  1.3T6hr  OFF  OFF   -5.66 -73.69  EYE     12   63.1   24.82   93.16  COMBO  GOES16 35.4 
2020OCT08 220000  6.3  940.4 122.2  6.3 6.4 6.4  none  OFF  OFF  -38.16 -73.59  EYE    -99   63.1   24.95   93.47  FCST   GOES16 35.7 
2020OCT08 223000  6.3  940.3 122.2  6.2 5.8 5.3  0.5Thour  ON  OFF  -74.16 -73.88  UNIFRM   NA   63.1   25.07   93.56  SPRL   GOES16 35.9 
2020OCT08 230000  6.3  940.3 122.2  6.1 5.8 5.3  0.5Thour  ON  OFF  -72.16 -74.84  UNIFRM   NA   15.0   25.15   93.60  SPRL   GOES16 36.0 
2020OCT08 233000  6.3  940.3 122.2  6.1 5.7 5.5  0.5Thour  ON  FLG  -76.16 -78.02  UNIFRM   NA   15.0   25.23   94.18  SPRL   GOES16 36.4 
2020OCT09 000000  6.3  940.2 122.2  6.0 5.6 5.4  0.5Thour  ON  FLG  -74.16 -77.72  UNIFRM   NA   15.0   25.31   94.11  SPRL   GOES16 36.4 
2020OCT09 003000  6.3  937.2 122.2  5.8 5.6 5.0  0.5Thour  ON  FLG  -59.16 -70.62  UNIFRM   NA   15.0   25.42   93.48  SPRL   GOES16 36.1 
2020OCT09 010000  6.3  937.2 122.2  5.8 6.1 6.1  none   ON  FLG  -26.16 -70.99  EYE    -99   15.0   25.47   93.48  SPRL   GOES16 36.2 
2020OCT09 013000  6.3  937.2 122.2  5.8 6.3 7.0  0.5Thour  ON  FLG  -21.58 -76.22  EYEP  -99   15.0   25.43   93.50  SPRL   GOES16 36.2 
2020OCT09 020000  6.3  937.1 122.2  6.0 7.1 7.1  none   ON  OFF  -27.16 -76.91  EYE    -99   15.0   25.55   93.57  FCST   GOES16 36.3 
2020OCT09 023000  6.3  937.1 122.2  6.2 7.6 7.7  1.3T6hr   ON  OFF    1.84 -77.78  EYE    -99   15.0   25.62   93.58  FCST   GOES16 36.4 
2020OCT09 030000  6.4  934.9 124.6  6.4 7.1 7.1  none  OFF  OFF  -22.16 -76.81  EYE    -99   15.0   25.65   93.66  SPRL   GOES16 36.4 
2020OCT09 033000  6.6  930.3 129.6  6.6 7.0 7.0  none  OFF  OFF  -56.16 -77.84  EYE    -99   15.0   25.78   93.62  FCST   GOES16 36.5 
2020OCT09 040000  6.8  925.3 134.8  6.8 5.9 5.4  0.5Thour OFF  OFF  -75.16 -77.49  UNIFRM   NA   15.0   25.91   93.80  SPRL   GOES16 36.8 
2020OCT09 043000  6.8  925.3 134.8  6.7 6.1 5.4  0.5Thour  ON  OFF  -74.16 -77.44  UNIFRM   NA   15.0   25.99   93.70  SPRL   GOES16 36.8 
2020OCT09 050000  6.8  925.3 134.8  6.7 6.3 5.3  0.5Thour  ON  OFF  -74.16 -76.08  UNIFRM   NA   15.0   26.03   93.66  FCST   GOES16 36.8 
2020OCT09 053000  6.8  925.3 134.8  6.4 6.2 5.3  0.5Thour  ON  OFF  -77.16 -75.01  UNIFRM   NA   15.0   26.07   93.61  SPRL   GOES16 36.8 
2020OCT09 060000  6.8  925.2 134.8  6.4 6.2 5.4  0.5Thour  ON  OFF  -75.16 -75.89  UNIFRM   NA   15.0   26.16   93.74  SPRL   GOES16 37.0 
2020OCT09 063000  6.8  925.1 134.8  6.1 5.9 5.4  0.5Thour  ON  FLG  -68.16 -76.49  UNIFRM   NA   15.0   26.44   93.78  SPRL   GOES16 37.2 
2020OCT09 070000  6.8  925.1 134.8  6.0 5.9 5.3  0.5Thour  ON  FLG  -70.16 -74.84  UNIFRM   NA   15.0   26.47   93.62  FCST   GOES16 37.2 
2020OCT09 073000  6.8  925.0 134.8  6.0 5.6 5.5  0.5Thour  ON  FLG  -73.16 -77.82  UNIFRM   NA   15.0   26.84   94.00  SPRL   GOES16 37.7 
2020OCT09 080000  6.8  925.0 134.8  5.9 5.8 5.8  none   ON  FLG  -65.16 -75.70  EMBC     NA   15.0   26.71   93.71  FCST   GOES16 37.4 
2020OCT09 083000  6.8  925.0 134.8  5.8 5.5 5.2  0.7T6hr   ON  FLG  -68.16 -75.20  UNIFRM   NA   15.0   26.80   93.71  FCST   GOES16 37.5 
2020OCT09 090000  6.8  925.0 134.8  5.8 5.8 5.8  none   ON  FLG  -71.16 -75.08  EMBC     NA   15.0   26.90   93.70  FCST   GOES16 37.6 
2020OCT09 093000  6.7  927.4 132.2  5.7 5.9 5.8  0.7T6hr   ON  FLG  -65.16 -74.99  EMBC     NA   15.0   27.00   93.69  FCST   GOES16 37.7 
2020OCT09 100000  6.8  924.9 134.8  5.8 6.1 5.8  0.7T6hr   ON  OFF  -67.16 -74.18  EMBC     NA   15.0   27.09   93.68  FCST   GOES16 37.8 
2020OCT09 103000  6.7  927.3 132.2  5.8 6.0 5.2  0.7T6hr   ON  OFF  -71.16 -74.38  UNIFRM   NA   15.0   27.13   93.61  SPRL   GOES16 37.8 
2020OCT09 110000  6.7  927.3 132.2  5.8 6.0 5.7  0.7T6hr   ON  OFF  -70.16 -74.24  EMBC     NA   15.0   27.13   93.60  SPRL   GOES16 37.8 
2020OCT09 113000  6.4  934.2 124.6  5.8 5.8 5.8  none   ON  OFF  -69.16 -74.20  EMBC     NA    4.3   27.37   93.64  FCST   GOES16 38.0 
2020OCT09 120000  6.4  934.2 124.6  5.9 5.7 5.7  none   ON  OFF  -69.16 -74.31  EMBC     NA    4.3   27.47   93.62  FCST   GOES16 38.1 
2020OCT09 123000  6.1  940.7 117.4  5.8 5.4 5.2  0.7T6hr   ON  OFF  -67.16 -73.40  UNIFRM   NA    4.3   27.31   93.77  SPRL   GOES16 38.0 
2020OCT09 130000  6.0  942.6 115.0  5.7 5.5 5.5  none   ON  OFF  -77.16 -76.39  UNIFRM   NA    4.3   27.80   93.98  SPRL   GOES16 38.6 
2020OCT09 133000  6.0  942.6 115.0  5.6 5.3 5.3  none   ON  OFF  -67.16 -74.78  UNIFRM   NA    4.3   27.79   93.72  FCST   GOES16 38.4 
2020OCT09 140000  5.9  944.8 112.4  5.5 5.3 5.3  none   ON  FLG  -61.16 -74.91  UNIFRM   NA   30.7   27.90   93.66  FCST   GOES16 38.5 
2020OCT09 143000  5.9  944.8 112.4  5.4 5.2 5.2  none   ON  FLG  -63.16 -73.61  UNIFRM   NA   30.7   27.86   93.53  SPRL   GOES16 38.4 
2020OCT09 150000  5.9  944.8 112.4  5.4 5.4 5.4  none   ON  FLG  -72.16 -74.99  UNIFRM   NA   30.7   28.00   93.80  FCST   GOES16 38.7 
2020OCT09 153000  5.9  944.7 112.4  5.3 5.4 5.4  none   ON  FLG  -77.16 -74.72  UNIFRM   NA   30.7   28.10   93.78  FCST   GOES16 38.7 
2020OCT09 160000  5.9  944.7 112.4  5.3 5.6 5.4  1.2T12hr  ON  FLG  -74.16 -74.22  UNIFRM   NA   30.7   28.20   93.76  FCST   GOES16 38.8 
2020OCT09 163000  5.9  944.6 112.4  5.3 5.5 5.4  1.2T12hr  ON  FLG  -74.16 -73.86  UNIFRM   NA   30.7   28.30   93.73  FCST   GOES16 38.9 
2020OCT09 170000  5.9  944.6 112.4  5.4 5.8 5.9  0.5Thour  ON  OFF  -72.16 -73.30  EMBC     NA   30.7   28.41   93.69  FCST   GOES16 39.0 
2020OCT09 173000  5.9  944.5 112.4  5.4 5.3 5.3  none   ON  OFF  -72.16 -72.68  UNIFRM   NA   30.7   28.52   93.66  FCST   GOES16 39.1 
2020OCT09 180000  5.9  944.6 112.4  5.4 5.2 5.1  0.7T6hr   ON  OFF  -66.16 -68.47  UNIFRM   NA   30.7   28.38   93.11  SPRL   GOES16 38.6 
2020OCT09 183000  5.8  946.6 109.8  5.4 5.3 5.3  none   ON  OFF  -67.16 -71.97  UNIFRM   NA   30.7   28.74   93.58  FCST   GOES16 39.2 
2020OCT09 190000  5.7  948.7 107.2  5.4 5.3 5.3  none   ON  OFF  -72.16 -71.11  UNIFRM   NA   30.7   28.85   93.53  FCST   GOES16 39.3 
2020OCT09 193000  5.6  950.7 104.6  5.3 5.3 5.3  none   ON  OFF  -69.16 -70.74  UNIFRM   NA   30.7   29.00   93.44  FCST   GOES16 39.4 
2020OCT09 200000  5.5  953.2 102.0  5.3 5.1 5.1  none   ON  OFF  -56.16 -63.44  UNIFRM   NA   30.7   28.25   92.88  SPRL   GOES16 38.4 
2020OCT09 203000  5.4  954.9  99.6  5.2 5.0 5.0  none   ON  OFF  -61.16 -63.38  UNIFRM   NA   30.7   28.65   92.51  SPRL   GOES16 38.5 
2020OCT09 210000  5.4  954.5  99.6  5.2 5.3 5.3  none   ON  OFF  -75.16 -72.30  UNIFRM   NA   30.7   29.65   92.80  SPRL   GOES16 39.6 
2020OCT09 213000  5.4  954.5  99.6  5.2 5.2 5.2  none   ON  OFF  -74.16 -70.64  UNIFRM   NA   30.7   29.55   92.86  SPRL   GOES16 39.6 
2020OCT09 220000  5.4  954.5  99.6  5.1 5.1 5.0  1.7T18hr  ON  FLG  -72.16 -68.63  UNIFRM   NA   30.7   29.50   93.10  FCST   GOES16 39.7 
2020OCT09 223000  5.4  954.5  99.6  5.1 5.0 4.9  1.7T18hr  ON  OFF  -70.16 -67.56  UNIFRM   NA   30.7   29.60   93.05  FCST   GOES16 39.7 
2020OCT09 230000  5.4  954.4  99.6  5.1 5.0 4.9  1.7T18hr  ON  OFF  -68.16 -66.06  UNIFRM   NA    7.2   29.71   93.01  FCST   GOES16 39.8 
2020OCT09 233000  5.4  954.4  99.6  5.0 4.8 4.8  none   ON  OFF  -63.16 -64.20  UNIFRM   NA    7.2   29.81   92.97  FCST   GOES16 39.9 
2020OCT10 000000  5.4  954.3  99.6  5.0 4.7 4.6  0.7T6hr   ON  OFF  -58.16 -61.19  UNIFRM   NA    7.2   29.91   92.93  FCST   GOES16 40.0 
2020OCT10 003000  5.4  954.3  99.6  4.8 4.7 4.3  0.7T6hr   ON  FLG  -41.16 -59.26  UNIFRM   NA    7.2   30.01   92.89  FCST   GOES16 40.0 

