=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2016AUG18 203000  2.0 1009.6  30.0  2.0 2.0 2.0  none  OFF  OFF  -57.26 -56.88  UNIFRM   NA    NA   17.75  110.06  FCST   GOES15 35.2 
2016AUG18 210000  2.0 1009.5  30.0  2.0 2.0 2.0  none  OFF  OFF  -52.06 -56.43  UNIFRM   NA    NA   17.80  110.10  FCST   GOES15 35.2 
2016AUG18 213000  2.0 1009.5  30.0  2.0 2.2 2.9  0.2Thour OFF  OFF  -49.86 -57.83  CRVBND   NA    NA   17.84  110.14  FCST   GOES15 35.2 
2016AUG18 220000  2.1 1009.0  31.0  2.1 2.2 2.6  0.2Thour OFF  OFF  -42.26 -57.18  CRVBND   NA    NA   17.80  110.10  FCST   GOES15 35.2 
2016AUG18 223000  2.1 1008.9  31.0  2.1 2.4 2.5  0.2Thour OFF  OFF  -39.26 -54.82  CRVBND   NA    NA   17.84  110.14  FCST   GOES15 35.2 
2016AUG18 230000  2.2 1008.4  32.0  2.2 2.4 2.4  none  OFF  OFF  -23.16 -53.57  CRVBND   NA    NA   17.88  110.18  FCST   GOES15 35.2 
2016AUG18 233000  2.2 1008.3  32.0  2.2 2.3 2.3  none  OFF  OFF  -25.16 -51.20  CRVBND   NA    NA   17.93  110.22  FCST   GOES15 35.2 
2016AUG19 000000  2.2 1008.3  32.0  2.2 2.5 2.5  none  OFF  OFF  -14.76 -48.93  CRVBND   NA    NA   17.97  110.26  FCST   GOES15 35.2 
2016AUG19 003000  2.3 1007.7  33.0  2.3 2.2 2.2  none  OFF  OFF   -4.36 -45.75  CRVBND   NA   -5.8   18.01  110.29  FCST   GOES15 35.2 
2016AUG19 010000  2.3 1007.7  33.0  2.3 2.3 2.0  0.2Thour OFF  OFF  -12.46 -41.88  CRVBND   NA   -5.8   18.06  110.33  FCST   GOES15 35.2 
2016AUG19 013000  2.3 1007.7  33.0  2.3 2.3 2.3  none  OFF  OFF  -17.06 -34.44  CRVBND   NA   -5.8   18.10  110.37  FCST   GOES15 35.2 
2016AUG19 020000  2.3 1007.7  33.0  2.3 2.3 2.3  none  OFF  OFF  -21.56 -28.15  CRVBND   NA   -5.8   18.15  110.41  FCST   GOES15 35.2 
2016AUG19 023000  2.3 1005.8  33.0  2.2 2.1 2.1  none   ON  OFF   10.04 -36.60  CRVBND   NA   -5.8   17.89  110.39  FCST   GOES15 35.0 
2016AUG19 030000  2.3 1005.8  33.0  2.2 2.2 2.2  none   ON  OFF   12.34 -35.55  CRVBND   NA   -1.7   17.92  110.43  FCST   GOES15 35.0 
2016AUG19 033000  2.3 1005.8  33.0  2.2 2.2 2.2  none   ON  OFF   12.04 -32.53  CRVBND   NA   -1.7   17.96  110.46  FCST   GOES15 35.0 
2016AUG19 040000  2.3 1005.7  33.0  2.2 2.5 2.5  none   ON  OFF   13.44 -29.21  SHEAR    NA   -1.7   18.00  110.50  FCST   GOES15 35.0 
2016AUG19 043000  2.3 1005.7  33.0  2.2 2.4 2.4  none   ON  OFF   13.84 -30.24  CRVBND   NA   -1.7   18.04  110.54  FCST   GOES15 35.0 
2016AUG19 050000  2.3 1005.7  33.0  2.3 2.4 2.4  none  OFF  OFF   12.14 -31.73  CRVBND   NA   -1.7   18.08  110.57  FCST   GOES15 35.0 
2016AUG19 053000  2.3 1005.7  33.0  2.3 2.6 2.6  none  OFF  OFF  -33.26 -37.36  CRVBND   NA   -1.7   18.11  110.60  FCST   GOES15 35.0 
