=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2021JUL30 200000  1.5 1011.0  25.0  1.5 1.5 1.5  none  OFF  OFF  -32.16 -43.45  CRVBND   NA    NA   12.33  125.73  FCST   GOES17 14.7 
2021JUL30 203000  1.6 1011.0  26.0  1.6 1.7 2.7  0.2Thour OFF  OFF  -32.16 -41.53  CRVBND   NA    NA   12.32  125.77  FCST   GOES17 14.7 
2021JUL30 210000  1.6 1011.0  26.0  1.6 1.7 2.1  0.2Thour OFF  OFF  -22.16 -39.07  CRVBND   NA    NA   12.30  125.80  FCST   GOES17 14.6 
2021JUL30 213000  1.7 1011.0  27.0  1.7 1.9 2.1  0.2Thour OFF  OFF  -32.16 -37.47  CRVBND   NA    NA   12.28  125.84  FCST   GOES17 14.6 
2021JUL30 220000  1.7 1011.0  27.0  1.7 1.9 2.0  0.2Thour OFF  OFF  -23.66 -35.38  CRVBND   NA    NA   12.27  125.87  FCST   GOES17 14.6 
2021JUL30 223000  1.7 1011.0  27.0  1.7 2.0 2.0  none  OFF  OFF  -19.16 -35.26  CRVBND   NA    NA   12.25  125.91  FCST   GOES17 14.6 
2021JUL30 230000  1.8 1011.0  28.0  1.8 2.0 2.0  none  OFF  OFF  -13.66 -33.85  CRVBND   NA    NA   12.23  125.94  FCST   GOES17 14.5 
2021JUL30 233000  1.9 1011.0  29.0  1.9 2.2 2.8  0.2Thour OFF  OFF   -1.16 -30.68  CRVBND   NA    NA   12.22  125.98  FCST   GOES17 14.5 
2021JUL31 000000  1.9 1011.0  29.0  1.9 2.2 2.5  0.2Thour OFF  OFF    1.34 -25.98  CRVBND   NA    NA   12.20  126.01  FCST   GOES17 14.5 
2021JUL31 003000  2.1 1011.0  31.0  2.1 2.4 2.5  0.2Thour OFF  OFF   -3.16 -22.51  CRVBND   NA   -3.5   12.18  126.05  FCST   GOES17 14.5 
2021JUL31 010000  2.1 1011.0  31.0  2.1 2.3 2.3  none  OFF  OFF  -21.66 -22.93  CRVBND   NA   -1.7   12.50  126.06  FCST   GOES17 14.8 
2021JUL31 013000  2.1 1011.0  31.0  2.1 2.2 2.1  0.2Thour OFF  OFF  -12.66 -21.47  CRVBND   NA   -1.7   12.50  126.08  FCST   GOES17 14.8 
2021JUL31 020000  2.2 1011.9  32.0  2.2 2.1 1.5  0.2Thour OFF  OFF   -9.66 -21.18  SHEAR    NA   -1.7   12.50  126.14  FCST   GOES17 14.8 
2021JUL31 023000  2.2 1011.9  32.0  2.2 2.1 2.1  none  OFF  OFF   -6.66 -20.74  CRVBND   NA   -1.7   12.50  126.17  FCST   GOES17 14.8 
2021JUL31 030000  2.2 1011.9  32.0  2.2 2.1 2.1  none  OFF  OFF    1.84 -17.16  CRVBND   NA   -0.0   12.50  126.20  FCST   GOES17 14.8 
2021JUL31 033000  2.2 1011.9  32.0  2.1 1.7 1.5  0.5Thour  ON  OFF    3.84 -13.25  SHEAR    NA   -0.0   12.50  126.23  FCST   GOES17 14.8 
2021JUL31 040000  2.2 1011.9  32.0  2.0 2.3 2.3  none   ON  OFF    7.34 -13.15  CRVBND   NA   -0.0   12.49  126.25  FCST   GOES17 14.8 
2021JUL31 043000  2.2 1011.9  32.0  2.0 2.1 2.1  none   ON  OFF   11.34 -14.19  CRVBND   NA   -0.0   12.49  126.28  FCST   GOES17 14.8 
2021JUL31 050000  2.2 1011.9  32.0  1.9 1.5 1.5  none   ON  FLG   -2.16 -15.07  SHEAR    NA   -0.0   12.49  126.30  FCST   GOES17 14.8 
2021JUL31 053000  2.2 1011.9  32.0  1.8 1.5 1.5  none   ON  FLG   11.84 -14.47  SHEAR    NA   -0.0   12.48  126.33  FCST   GOES17 14.8 
2021JUL31 060000  2.2 1011.9  32.0  1.8 1.5 1.5  none   ON  FLG   15.34 -10.50  SHEAR    NA   -0.0   12.48  126.35  FCST   GOES17 14.7 
2021JUL31 063000  2.2 1011.9  32.0  1.7 1.5 1.5  none   ON  FLG   16.84  -7.54  SHEAR    NA   -0.0   12.47  126.37  FCST   GOES17 14.7 
2021JUL31 070000  2.2 1012.9  32.0  1.7 1.5 1.5  none   ON  FLG   17.34  -6.97  SHEAR    NA   -0.0   12.47  126.39  FCST   GOES17 14.7 
2021JUL31 073000  2.2 1013.0  32.0  1.5 1.5 1.5  none   ON  FLG   17.34  -7.00  SHEAR    NA   -0.0   12.34  126.90  FCST   GOES17 14.5 
2021JUL31 080000  2.2 1013.0  32.0  1.5 1.5 1.5  none   ON  FLG   16.84  -4.74  SHEAR    NA   -0.0   12.33  126.94  FCST   GOES17 14.5 
2021JUL31 083000  2.2 1013.0  32.0  1.5 1.5 1.5  none   ON  FLG   17.84 -12.26  SHEAR    NA   -0.0   12.31  126.97  FCST   GOES17 14.5 
2021JUL31 090000  2.2 1013.0  32.0  1.5 1.5 1.5  none   ON  FLG   17.34 -14.98  SHEAR    NA   -0.0   12.30  127.00  FCST   GOES17 14.5 
2021JUL31 093000  2.1 1012.0  31.0  1.5 1.5 1.5  none   ON  FLG   16.34 -18.26  SHEAR    NA   -0.0   12.29  127.03  FCST   GOES17 14.4 
2021JUL31 100000  2.0 1012.0  30.0  1.5 1.5 1.5  none   ON  FLG   16.34 -18.82  SHEAR    NA   -0.0   12.28  127.06  FCST   GOES17 14.4 
2021JUL31 103000  2.0 1012.0  30.0  1.5 1.5 1.5  none   ON  OFF   16.34 -18.43  SHEAR    NA   -0.0   12.27  127.09  FCST   GOES17 14.4 
2021JUL31 110000  1.9 1012.0  29.0  1.5 1.5 1.5  none   ON  OFF   14.34 -18.92  SHEAR    NA   -0.0   12.26  127.12  FCST   GOES17 14.4 
2021JUL31 113000  1.8 1012.0  28.0  1.5 1.5 1.5  none   ON  OFF   10.84 -18.27  SHEAR    NA   -0.0   12.25  127.15  FCST   GOES17 14.4 
2021JUL31 120000  1.8 1012.0  28.0  1.5 2.0 2.2  0.5Thour  ON  OFF  -11.66 -19.14  CRVBND   NA   -0.0   12.25  127.18  FCST   GOES17 14.4 
2021JUL31 123000  1.7 1012.0  27.0  1.6 2.0 2.3  0.5Thour  ON  OFF   -6.16 -22.71  CRVBND   NA   -0.0   12.24  127.20  FCST   GOES17 14.4 
2021JUL31 130000  1.7 1012.0  27.0  1.7 2.0 2.0  none  OFF  OFF   -7.16 -27.96  CRVBND   NA   -0.0   12.23  127.23  FCST   GOES17 14.4 
2021JUL31 133000  1.8 1012.0  28.0  1.8 2.1 2.3  0.5Thour OFF  OFF    7.34 -33.14  CRVBND   NA   -1.3   12.14  127.50  FCST   GOES17 14.2 
2021JUL31 140000  1.9 1012.0  29.0  1.9 2.2 2.3  0.7T6hr  OFF  OFF    9.34 -40.04  CRVBND   NA   -1.3   12.12  127.53  FCST   GOES17 14.2 
2021JUL31 143000  2.0 1012.0  30.0  2.0 2.2 2.3  0.7T6hr  OFF  OFF  -26.16 -43.71  CRVBND   NA   -1.3   12.11  127.57  FCST   GOES17 14.2 
2021JUL31 150000  2.1 1012.0  31.0  2.1 2.2 2.4  0.7T6hr  OFF  OFF  -33.16 -44.78  CRVBND   NA   -1.3   12.10  127.60  FCST   GOES17 14.2 
2021JUL31 153000  2.1 1012.0  31.0  2.1 2.2 2.4  0.7T6hr  OFF  OFF  -57.16 -44.42  CRVBND   NA   -1.3   12.09  127.63  FCST   GOES17 14.2 
2021JUL31 160000  2.1 1012.0  31.0  2.1 2.2 2.5  0.7T6hr  OFF  OFF  -58.16 -45.97  CRVBND   NA   -5.0   12.08  127.67  FCST   GOES17 14.2 
2021JUL31 163000  2.1 1012.0  31.0  2.1 2.2 3.0  0.7T6hr  OFF  OFF  -39.16 -45.75  CRVBND   NA   -5.0   12.08  127.70  FCST   GOES17 14.2 
2021JUL31 170000  2.2 1012.0  32.0  2.2 2.2 2.9  0.7T6hr  OFF  OFF  -45.16 -44.74  CRVBND   NA   -5.0   12.07  127.73  FCST   GOES17 14.2 
2021JUL31 173000  2.2 1012.0  32.0  2.2 2.2 2.6  0.7T6hr  OFF  OFF  -51.16 -43.20  CRVBND   NA   -5.0   12.07  127.76  FCST   GOES17 14.1 
2021JUL31 180000  2.2 1012.0  32.0  2.2 2.2 2.4  0.7T6hr  OFF  OFF  -53.16 -40.72  CRVBND   NA   -5.0   12.07  127.80  FCST   GOES17 14.1 
2021JUL31 183000  2.2 1012.0  32.0  2.1 2.1 2.1  none   ON  OFF  -48.16 -38.64  CRVBND   NA   -5.0   12.07  127.83  FCST   GOES17 14.1 
