=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2020AUG26 073000  2.0 1009.7  30.0  2.0 2.0 2.0  none  OFF  OFF   14.84   7.70  SHEAR    NA    NA   17.40  106.73  FCST   GOES17 31.7 
2020AUG26 080000  2.0 1009.7  30.0  1.9 1.8 1.5  0.2Thour  ON  OFF   15.34   7.41  SHEAR    NA    NA   17.43  106.74  FCST   GOES17 31.8 
2020AUG26 083000  2.0 1009.7  30.0  1.9 1.9 1.9  none   ON  OFF   13.84   7.66  SHEAR    NA    NA   17.47  106.72  FCST   GOES17 31.8 
2020AUG26 090000  2.0 1009.7  30.0  1.8 1.6 1.5  0.2Thour  ON  OFF   13.84   8.18  SHEAR    NA    NA   17.50  106.70  FCST   GOES17 31.8 
2020AUG26 093000  2.0 1009.7  30.0  1.8 1.7 1.5  0.2Thour  ON  OFF   13.84   7.24  SHEAR    NA    NA   17.53  106.68  FCST   GOES17 31.9 
2020AUG26 100000  2.0 1009.6  30.0  1.7 1.5 1.5  none   ON  FLG   14.34   6.44  SHEAR    NA    NA   17.57  106.66  FCST   GOES17 31.9 
2020AUG26 103000  2.0 1009.6  30.0  1.7 1.5 1.5  none   ON  FLG   14.34   6.07  SHEAR    NA    NA   17.60  106.63  FCST   GOES17 32.0 
2020AUG26 110000  2.0 1009.6  30.0  1.6 1.5 1.5  none   ON  FLG   13.34   5.27  SHEAR    NA    NA   17.63  106.61  FCST   GOES17 32.0 
2020AUG26 113000  2.0 1009.6  30.0  1.6 1.5 1.5  none   ON  FLG   12.84   4.05  SHEAR    NA    NA   17.66  106.59  FCST   GOES17 32.0 
2020AUG26 120000  2.0 1009.6  30.0  1.5 1.5 1.5  none   ON  FLG   10.34   3.15  SHEAR    NA    NA   17.70  106.56  FCST   GOES17 32.1 
2020AUG26 123000  2.0 1009.6  30.0  1.5 1.5 1.5  none   ON  FLG   11.34   2.65  SHEAR    NA   -3.5   17.73  106.54  FCST   GOES17 32.1 
2020AUG26 130000  2.0 1009.5  30.0  1.5 1.5 1.5  none   ON  FLG   15.34  -5.37  SHEAR    NA   -3.5   17.76  106.52  FCST   GOES17 32.2 
2020AUG26 133000  2.0 1009.7  30.0  1.5 1.5 1.5  none   ON  FLG   10.34  -1.42  SHEAR    NA   -3.5   17.40  106.28  FCST   GOES17 32.1 
2020AUG26 140000  1.9 1010.4  29.0  1.5 1.5 1.5  none   ON  OFF   14.34  -2.72  SHEAR    NA   -3.5   17.25  106.17  FCST   GOES17 32.1 
2020AUG26 143000  1.9 1010.3  29.0  1.5 1.5 1.5  none   ON  OFF   15.34  -4.33  SHEAR    NA   -3.5   17.27  106.13  FCST   GOES17 32.2 
2020AUG26 150000  1.8 1010.9  28.0  1.5 1.5 1.5  none   ON  OFF   14.34  -3.65  SHEAR    NA   -3.5   17.30  106.10  FCST   GOES17 32.2 
2020AUG26 153000  1.8 1010.9  28.0  1.5 1.5 1.5  none   ON  OFF   14.34  -5.07  SHEAR    NA   -3.5   17.33  106.07  FCST   GOES17 32.3 
2020AUG26 160000  1.7 1010.0  27.0  1.5 1.5 1.5  none   ON  OFF   13.84  -6.98  SHEAR    NA   -3.5   17.36  106.05  FCST   GOES17 32.3 
2020AUG26 163000  1.7 1010.0  27.0  1.5 1.5 1.5  none   ON  OFF   15.34 -10.57  SHEAR    NA   -3.5   17.40  106.03  FCST   GOES17 32.3 
2020AUG26 170000  1.6 1010.0  26.0  1.5 1.5 1.5  none   ON  OFF   13.84 -13.48  SHEAR    NA   -3.5   17.44  106.02  FCST   GOES17 32.4 
2020AUG26 173000  1.6 1010.0  26.0  1.5 1.5 1.5  none   ON  OFF   10.34 -16.54  SHEAR    NA   -3.5   17.48  106.01  FCST   GOES17 32.4 
2020AUG26 180000  1.5 1010.0  25.0  1.5 2.0 2.4  0.5Thour  ON  OFF   13.34 -20.16  SHEAR    NA   -3.5   17.52  106.00  FCST   GOES17 32.5 
2020AUG26 183000  1.6 1010.0  26.0  1.6 2.0 2.5  0.5Thour OFF  OFF   14.84 -23.43  SHEAR    NA   -3.5   17.57  106.00  FCST   GOES17 32.5 
2020AUG26 190000  1.7 1010.2  27.0  1.7 2.0 2.5  0.5Thour OFF  OFF   14.34 -25.36  SHEAR    NA   -3.5   17.61  106.00  FCST   GOES17 32.5 
2020AUG26 193000  1.8 1009.9  28.0  1.8 2.1 2.5  0.5Thour OFF  OFF   14.34 -28.36  SHEAR    NA   -3.5   17.60  105.85  FCST   GOES17 32.6 
2020AUG26 200000  1.9 1009.5  29.0  1.9 2.2 2.5  0.5Thour OFF  OFF   14.84 -29.49  SHEAR    NA   -3.5   17.63  105.83  FCST   GOES17 32.7 
2020AUG26 203000  2.0 1009.1  30.0  2.0 2.2 2.3  0.7T6hr  OFF  OFF   13.84 -30.57  CRVBND   NA   -3.5   17.67  105.81  FCST   GOES17 32.7 
2020AUG26 210000  2.0 1009.1  30.0  2.0 2.0 2.0  none  OFF  OFF   13.84 -30.18  CRVBND   NA   -3.5   17.70  105.80  FCST   GOES17 32.8 
2020AUG26 213000  2.1 1008.7  31.0  2.1 2.5 2.5  none  OFF  OFF   13.34 -29.03  SHEAR    NA   -3.5   17.74  105.79  FCST   GOES17 32.8 
2020AUG26 220000  2.2 1008.3  32.0  2.2 2.5 2.5  none  OFF  OFF   14.34 -27.86  SHEAR    NA   -3.5   17.77  105.77  FCST   GOES17 32.8 
2020AUG26 222000  2.2 1008.3  32.0  2.2 2.5 2.5  none  OFF  OFF   13.34 -26.91  SHEAR    NA   -3.5   17.79  105.77  FCST   GOES17 32.9 
2020AUG26 230000  2.3 1007.8  33.0  2.3 2.5 2.5  none  OFF  OFF    6.84 -27.35  SHEAR    NA   -3.5   17.84  105.75  FCST   GOES17 32.9 
2020AUG26 233000  2.3 1007.8  33.0  2.3 2.5 2.5  none  OFF  OFF   12.34 -28.86  SHEAR    NA   -3.5   17.88  105.74  FCST   GOES17 32.9 
2020AUG27 000000  2.4 1007.2  34.0  2.4 2.5 2.5  none  OFF  OFF   12.84 -26.87  SHEAR    NA   -3.5   17.92  105.73  FCST   GOES17 33.0 
2020AUG27 003000  2.5 1006.6  35.0  2.5 2.5 2.5  none  OFF  OFF   14.34 -25.13  SHEAR    NA   -3.5   17.96  105.72  FCST   GOES17 33.0 
2020AUG27 010000  2.5 1006.6  35.0  2.5 2.5 2.5  none  OFF  OFF   15.84 -24.41  SHEAR    NA   -3.5   17.99  105.72  FCST   GOES17 33.0 
2020AUG27 013000  2.5 1006.5  35.0  2.5 2.5 2.5  none  OFF  OFF   17.34 -24.66  SHEAR    NA   -3.5   18.12  105.80  FCST   GOES17 33.0 
2020AUG27 020000  2.5 1006.5  35.0  2.5 2.5 2.5  none  OFF  OFF   16.34 -21.68  SHEAR    NA   -3.5   18.21  105.80  FCST   GOES17 33.1 
2020AUG27 023000  2.5 1006.5  35.0  2.5 2.5 2.5  none  OFF  OFF   16.84 -20.75  SHEAR    NA   -3.5   18.25  105.80  FCST   GOES17 33.1 
2020AUG27 030000  2.5 1006.4  35.0  2.5 2.5 2.5  none  OFF  OFF   18.34 -16.71  SHEAR    NA   -3.5   18.30  105.80  FCST   GOES17 33.2 
2020AUG27 033000  2.5 1006.4  35.0  2.5 2.5 2.5  none  OFF  OFF   17.84 -10.53  SHEAR    NA   -3.5   18.34  105.80  FCST   GOES17 33.2 
2020AUG27 040000  2.5 1006.4  35.0  2.4 2.3 2.3  none   ON  OFF   18.34 -22.75  SHEAR    NA   -3.5   18.39  105.80  FCST   GOES17 33.2 
2020AUG27 043000  2.5 1006.4  35.0  2.4 2.3 2.3  none   ON  OFF   17.84 -25.34  SHEAR    NA   -3.5   18.43  105.80  FCST   GOES17 33.3 
2020AUG27 050000  2.5 1006.4  35.0  2.4 2.4 2.4  none   ON  OFF   16.34 -11.14  SHEAR    NA   -3.5   18.47  105.80  FCST   GOES17 33.3 
2020AUG27 053000  2.5 1006.3  35.0  2.3 2.2 2.2  none   ON  OFF    8.84 -17.99  SHEAR    NA   -3.5   18.51  105.81  FCST   GOES17 33.3 
2020AUG27 060000  2.5 1006.3  35.0  2.3 2.1 2.1  none   ON  OFF    3.84 -26.19  CRVBND   NA   -3.5   18.55  105.81  FCST   GOES17 33.3 
2020AUG27 063000  2.5 1006.3  35.0  2.2 2.3 2.3  none   ON  FLG   12.34 -33.58  CRVBND   NA   -3.5   18.58  105.81  FCST   GOES17 33.4 
