=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2014SEP03 073000  3.6  991.3  57.0  3.6 3.7 3.6  none  OFF  OFF  -74.06 -73.92  UNIFRM   NA   NA    19.54  107.32  FCST   GOES15 38.8 
2014SEP03 080000  3.6  991.3  57.0  3.6 3.6 3.6  none  OFF  OFF  -77.16 -72.62  UNIFRM   NA   NA    19.57  107.37  FCST   GOES15 38.8 
2014SEP03 083000  3.6  991.3  57.0  3.6 3.6 3.5  none  OFF  OFF  -78.26 -71.29  UNIFRM   NA   NA    19.60  107.43  FCST   GOES15 38.8 
2014SEP03 090000  3.6  991.3  57.0  3.6 3.6 3.5  none  OFF  OFF  -79.36 -72.70  UNIFRM   NA   NA    19.60  107.60  FCST   GOES15 38.6 
2014SEP03 093000  3.6  991.2  57.0  3.6 3.6 3.6  none  OFF  OFF  -78.76 -74.46  UNIFRM   NA   NA    19.63  107.65  FCST   GOES15 38.6 
2014SEP03 100000  3.6  991.2  57.0  3.6 3.7 3.7  none  OFF  OFF  -79.36 -76.03  UNIFRM   NA   NA    19.66  107.70  FCST   GOES15 38.5 
2014SEP03 103000  3.6  991.2  57.0  3.6 3.8 3.7  none  OFF  OFF  -77.66 -77.09  UNIFRM   NA   -0.0   19.68  107.75  FCST   GOES15 38.5 
2014SEP03 110000  3.6  991.2  57.0  3.6 3.7 3.7  none  OFF  OFF  -79.36 -77.68  UNIFRM   NA   -0.0   19.71  107.81  FCST   GOES15 38.5 
2014SEP03 113000  3.6  991.2  57.0  3.6 3.7 3.7  none  OFF  OFF  -80.46 -78.17  UNIFRM   NA   -0.0   19.73  107.86  FCST   GOES15 38.5 
2014SEP03 120000  3.6  991.2  57.0  3.6 3.7 3.7  none  OFF  OFF  -78.76 -77.86  UNIFRM   NA   -0.0   19.75  107.91  FCST   GOES15 38.4 
2014SEP03 123000  3.7  989.8  59.0  3.7 3.7 3.7  none  OFF  OFF  -78.26 -77.17  UNIFRM   NA   -0.0   19.78  107.96  FCST   GOES15 38.4 
2014SEP03 130000  3.7  987.8  59.0  3.7 3.7 3.7  none  OFF  OFF  -75.56 -76.63  UNIFRM   NA   -0.0   19.80  108.01  FCST   GOES15 38.4 
2014SEP03 133000  3.7  987.8  59.0  3.7 3.7 3.7  none  OFF  OFF  -76.66 -76.71  UNIFRM   NA   -0.0   19.82  108.06  FCST   GOES15 38.3 
2014SEP03 140000  3.7  987.8  59.0  3.7 3.7 3.6  none  OFF  OFF  -76.06 -75.96  UNIFRM   NA   -0.0   19.84  108.11  FCST   GOES15 38.3 
2014SEP03 143000  3.7  987.8  59.0  3.7 3.7 3.6  none  OFF  OFF  -76.06 -74.48  UNIFRM   NA   -0.0   19.86  108.16  FCST   GOES15 38.3 
2014SEP03 150000  3.7  987.9  59.0  3.7 3.9 3.8  none  OFF  OFF  -78.26 -78.75  UNIFRM   NA   -0.0   19.60  108.80  FCST   GOES15 37.5 
2014SEP03 153000  3.7  987.9  59.0  3.7 3.9 3.8  none  OFF  OFF  -77.66 -77.43  UNIFRM   NA   -0.0   19.62  108.86  FCST   GOES15 37.5 
2014SEP03 160000  3.7  987.9  59.0  3.7 3.8 3.8  none  OFF  OFF  -76.06 -75.92  UNIFRM   NA   -0.0   19.64  108.91  FCST   GOES15 37.5 
2014SEP03 163000  3.7  987.9  59.0  3.7 3.8 3.7  none  OFF  OFF  -76.66 -74.24  UNIFRM   NA   -0.0   19.67  108.97  FCST   GOES15 37.4 
2014SEP03 170000  3.7  987.9  59.0  3.7 3.7 3.7  none  OFF  OFF  -75.06 -72.53  UNIFRM   NA   15.0   19.69  109.02  FCST   GOES15 37.4 
2014SEP03 173000  3.7  987.9  59.0  3.7 3.7 3.7  none  OFF  OFF  -73.56 -70.82  UNIFRM   NA   15.0   19.72  109.07  FCST   GOES15 37.4 
2014SEP03 180000  3.7  987.9  59.0  3.7 3.7 3.6  none  OFF  OFF  -75.56 -69.79  UNIFRM   NA   15.0   19.74  109.12  FCST   GOES15 37.3 
2014SEP03 183000  3.7  987.9  59.0  3.7 3.6 3.6  none  OFF  OFF  -75.56 -68.96  UNIFRM   NA   15.0   19.77  109.17  FCST   GOES15 37.3 
2014SEP03 190000  3.7  987.8  59.0  3.7 3.6 3.6  none  OFF  OFF  -75.56 -68.40  UNIFRM   NA   15.0   19.80  109.21  FCST   GOES15 37.3 
2014SEP03 193000  3.7  987.8  59.0  3.6 3.6 3.6  none   ON  OFF  -76.06 -68.62  UNIFRM   NA   15.0   19.82  109.26  FCST   GOES15 37.3 
2014SEP03 200000  3.7  987.8  59.0  3.6 3.6 3.6  none   ON  OFF  -75.06 -68.92  UNIFRM   NA   15.0   19.85  109.30  FCST   GOES15 37.3 
2014SEP03 203000  3.7  987.8  59.0  3.6 3.6 3.6  none   ON  OFF  -76.06 -69.72  UNIFRM   NA   15.0   19.88  109.34  FCST   GOES15 37.2 
2014SEP03 210000  3.7  987.9  59.0  3.6 3.6 3.6  none   ON  OFF  -78.26 -70.82  UNIFRM   NA   15.0   19.60  109.20  FCST   GOES15 37.2 
2014SEP03 213000  3.7  987.9  59.0  3.7 3.7 3.7  MW   ON  OFF  -77.66 -72.19  UNIFRM   NA   15.0   19.63  109.24  FCST   GOES15 37.2 MWinit1=3.73.63.7
2014SEP03 220000  3.7  987.9  59.0  3.7 3.7 3.7  MW   ON  OFF  -76.66 -72.31  UNIFRM   NA   15.0   19.66  109.28  FCST   GOES15 37.2 MWinit1=3.73.63.7
2014SEP03 223000  3.8  986.6  61.0  3.8 3.8 3.6  MW   ON  OFF  -78.26 -72.18  UNIFRM   NA   15.0   19.69  109.32  FCST   GOES15 37.1 MWinit1=3.73.63.7
2014SEP03 230000  3.8  986.6  61.0  3.8 3.8 3.6  MW   ON  OFF  -77.66 -71.40  UNIFRM   NA   15.0   19.72  109.37  FCST   GOES15 37.1 MWinit1=3.73.63.7
2014SEP03 233000  3.8  986.5  61.0  3.8 3.8 3.6  MW   ON  OFF  -76.66 -70.47  UNIFRM   NA   15.0   19.75  109.41  FCST   GOES15 37.1 MWinit1=3.63.63.7
2014SEP04 000000  3.8  986.5  61.0  3.8 3.8 3.5  MW   ON  OFF  -78.26 -69.80  UNIFRM   NA   15.0   19.77  109.45  FCST   GOES15 37.1 MWinit1=3.63.63.7
2014SEP04 003000  3.9  985.2  63.0  3.9 3.9 3.5  MW   ON  OFF  -76.66 -69.50  UNIFRM   NA   15.0   19.80  109.50  FCST   GOES15 37.1 MWinit1=3.53.63.7
2014SEP04 010000  3.9  982.2  63.0  3.9 3.9 3.4  MW   ON  OFF  -78.76 -68.93  UNIFRM   NA   15.0   19.83  109.55  FCST   GOES15 37.0 MWinit1=3.53.63.7
2014SEP04 013000  3.9  982.1  63.0  3.9 3.9 3.4  MW   ON  OFF  -77.66 -69.19  UNIFRM   NA    0.0   19.86  109.59  FCST   GOES15 37.0 MWinit1=3.53.53.6
2014SEP04 020000  3.9  982.1  63.0  3.9 3.9 3.4  MW   ON  OFF  -72.56 -68.66  UNIFRM   NA    0.0   19.88  109.64  FCST   GOES15 37.0 MWinit1=3.43.53.6
2014SEP04 023000  4.0  980.8  65.0  4.0 4.0 3.5  MW   ON  OFF  -70.66 -68.72  UNIFRM   NA    0.0   19.91  109.68  FCST   GOES15 37.0 MWinit1=3.53.53.6
2014SEP04 030000  4.0  980.8  65.0  4.0 4.0 3.5  MW   ON  OFF  -75.56 -69.88  UNIFRM   NA    0.0   19.90  109.80  FCST   GOES15 36.9 MWinit1=3.53.53.6
2014SEP04 033000  4.0  980.8  65.0  4.0 4.0 3.5  MW   ON  OFF  -76.06 -70.11  UNIFRM   NA    0.0   19.93  109.84  FCST   GOES15 36.8 MWinit1=3.63.53.6
2014SEP04 040000  4.0  980.7  65.0  4.0 4.0 3.6  MW   ON  OFF  -72.56 -71.41  UNIFRM   NA    0.0   19.96  109.87  FCST   GOES15 36.8 MWinit1=3.63.53.6
2014SEP04 043000  4.1  979.1  67.4  4.1 4.1 3.6  MW   ON  OFF  -79.96 -72.75  UNIFRM   NA    0.0   20.00  109.91  FCST   GOES15 36.8 MWinit1=3.63.53.6
2014SEP04 050000  4.1  979.1  67.4  4.1 4.1 3.6  MW   ON  OFF  -78.76 -73.40  UNIFRM   NA    0.0   20.04  109.95  FCST   GOES15 36.8 MWinit1=3.63.53.6
2014SEP04 053000  4.1  979.0  67.4  4.1 4.1 3.6  MW   ON  OFF  -78.26 -74.54  UNIFRM   NA    0.0   20.08  109.99  FCST   GOES15 36.8 MWinit1=3.63.53.6
2014SEP04 060000  4.1  979.0  67.4  4.1 4.1 3.6  MW  OFF  OFF  -79.36 -76.18  UNIFRM   NA    0.0   20.12  110.03  FCST   GOES15 36.8 MWinit1=3.73.63.6
2014SEP04 063000  4.2  977.3  69.8  4.2 4.2 3.6  MW  OFF  OFF  -77.66 -76.95  UNIFRM   NA    0.0   20.16  110.06  FCST   GOES15 36.8 MWinit1=3.73.63.6
2014SEP04 070000  4.2  978.3  69.8  4.2 4.2 3.6  MW  OFF  OFF  -77.66 -77.63  UNIFRM   NA    0.0   20.21  110.10  FCST   GOES15 36.8 MWinit1=3.73.63.6
2014SEP04 073000  4.2  978.3  69.8  4.2 4.2 3.7  MW  OFF  OFF  -79.36 -78.31  UNIFRM   NA    0.0   20.25  110.14  FCST   GOES15 36.8 MWinit1=3.73.63.6
2014SEP04 080000  4.2  978.3  69.8  4.2 4.2 3.7  MW  OFF  OFF  -76.66 -77.72  UNIFRM   NA    0.0   20.30  110.18  FCST   GOES15 36.8 MWinit1=3.73.63.6
2014SEP04 090000  4.3  976.5  72.2  4.3 4.3 3.8  MW  OFF  OFF  -78.26 -79.24  UNIFRM   NA    0.0   20.50  109.70  FCST   GOES15 37.3 MWinit1=3.83.73.7
2014SEP04 093000  4.3  976.5  72.2  4.3 4.3 3.7  MW     OFF  OFF  -82.26 -78.46  UNIFRM   NA   39.1   20.54  109.73  FCST   GOES15 37.4 
2014SEP04 100000  4.3  976.4  72.2  4.3 4.3 3.7  MW     OFF  OFF  -79.96 -78.93  UNIFRM   NA   39.1   20.59  109.76  FCST   GOES15 37.4 
2014SEP04 103000  4.3  976.4  72.2  4.3 4.3 3.7  MW     OFF  OFF  -80.46 -79.48  UNIFRM   NA   39.1   20.63  109.79  FCST   GOES15 37.4 
2014SEP04 110000  4.4  974.7  74.6  4.4 4.4 3.8  MW     OFF  OFF  -78.26 -79.32  UNIFRM   NA   39.1   20.67  109.82  FCST   GOES15 37.4 
