=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2019AUG21 133000  2.0 1010.5  30.0  2.0 2.0 2.0  none  OFF  OFF  -63.16 -63.93  UNIFRM   NA   -0.0   15.30  106.90  FCST   GOES15 30.2 
2019AUG21 140000  2.1 1010.1  31.0  2.1 2.2 2.4  0.2Thour OFF  OFF  -71.66 -64.32  UNIFRM   NA  -10.1   15.34  107.03  FCST   GOES15 30.1 
2019AUG21 143000  2.1 1010.1  31.0  2.1 2.2 2.5  0.2Thour OFF  OFF  -72.06 -64.66  UNIFRM   NA  -10.1   15.37  107.17  FCST   GOES15 30.0 
2019AUG21 150000  2.2 1009.6  32.0  2.2 2.4 2.4  none  OFF  OFF  -72.56 -65.60  UNIFRM   NA  -10.1   15.40  107.30  FCST   GOES15 29.9 
2019AUG21 153000  2.2 1009.6  32.0  2.2 2.4 2.5  0.2Thour OFF  OFF  -70.66 -65.23  UNIFRM   NA  -10.1   15.37  107.37  FCST   GOES15 29.8 
2019AUG21 160000  2.2 1009.6  32.0  2.2 2.5 2.5  none  OFF  OFF  -68.06 -64.00  UNIFRM   NA  -10.1   15.40  107.50  FCST   GOES15 29.7 
2019AUG21 163000  2.2 1009.5  32.0  2.2 2.3 2.3  none  OFF  OFF  -67.16 -60.87  UNIFRM   NA  -10.1   15.43  107.63  FCST   GOES15 29.6 
2019AUG21 170000  2.3 1009.0  33.0  2.3 2.7 3.4  0.2Thour OFF  OFF  -67.16 -59.29  RCDO   NA  -10.1   15.46  107.77  FCST   GOES15 29.5 
2019AUG21 173000  2.4 1008.4  34.0  2.4 2.5 2.6  0.2Thour OFF  OFF  -69.36 -60.15  UNIFRM   NA  -10.1   15.49  107.90  FCST   GOES15 29.4 
2019AUG21 180000  2.5 1007.8  35.0  2.5 2.9 3.4  0.2Thour OFF  OFF  -66.76 -58.62  RCDO   NA  -10.1   15.52  108.03  FCST   GOES15 29.3 
2019AUG21 183000  2.5 1007.8  35.0  2.5 2.7 3.4  0.2Thour OFF  OFF  -66.76 -57.89  RCDO   NA  -10.1   15.55  108.17  FCST   GOES15 29.2 
2019AUG21 190000  2.6 1006.6  37.0  2.6 3.1 3.3  0.2Thour OFF  OFF  -66.76 -55.45  RCDO   NA  -10.1   15.58  108.30  FCST   GOES15 29.1 
2019AUG21 193000  2.7 1005.4  39.0  2.7 2.9 3.2  0.2Thour OFF  OFF  -65.06 -53.77  RCDO   NA  -10.1   15.61  108.44  FCST   GOES15 29.0 
2019AUG21 200000  2.8 1004.2  41.0  2.8 2.8 3.1  0.7T6hr  OFF  OFF  -61.56 -53.14  RCDO   NA  -10.1   15.64  108.57  FCST   GOES15 28.9 
2019AUG21 203000  2.8 1004.2  41.0  2.8 2.8 3.1  0.7T6hr  OFF  OFF  -53.26 -51.37  RCDO   NA  -10.1   15.68  108.70  FCST   GOES15 28.8 
2019AUG21 210000  2.8 1004.2  41.0  2.8 2.9 3.1  0.7T6hr  OFF  OFF  -53.26 -50.73  RCDO   NA  -10.1   15.71  108.83  FCST   GOES15 28.7 
2019AUG21 213000  2.8 1004.1  41.0  2.8 2.9 3.1  0.7T6hr  OFF  OFF  -68.46 -57.63  UNIFRM   NA  -10.1   15.87  109.58  FCST   GOES15 28.2 
2019AUG21 220000  2.9 1002.9  43.0  2.9 2.9 3.4  0.7T6hr  OFF  OFF  -63.46 -53.87  RCDO   NA  -10.1   15.90  109.70  FCST   GOES15 28.1 
2019AUG21 223000  2.9 1002.8  43.0  2.8 2.9 3.2  0.7T6hr   ON  OFF  -58.26 -49.91  RCDO   NA  -10.1   15.93  109.82  FCST   GOES15 28.0 
2019AUG21 230000  2.9 1002.8  43.0  2.8 2.9 2.9  none   ON  OFF  -49.26 -46.69  RCDO   NA  -10.1   15.97  109.94  FCST   GOES15 27.9 
2019AUG21 233000  2.9 1002.8  43.0  2.8 2.3 2.3  none   ON  OFF  -37.96 -44.94  CRVBND   NA  -10.1   16.00  110.06  FCST   GOES15 27.9 
2019AUG22 000000  2.9 1002.8  43.0  2.7 2.3 2.2  0.5Thour  ON  FLG  -34.86 -44.17  CRVBND   NA  -10.1   16.03  110.18  FCST   GOES15 27.8 
2019AUG22 003000  2.9 1002.8  43.0  2.6 2.4 2.4  none   ON  FLG  -24.76 -43.45  CRVBND   NA  -10.1   16.06  110.30  FCST   GOES15 27.7 
2019AUG22 010000  2.9 1002.8  43.0  2.5 2.2 2.2  none   ON  FLG  -35.36 -42.87  CRVBND   NA  -10.1   16.10  110.42  FCST   GOES15 27.6 
2019AUG22 013000  2.9 1002.7  43.0  2.4 2.1 2.1  none   ON  FLG  -33.26 -43.38  CRVBND   NA  -10.1   16.13  110.54  FCST   GOES15 27.6 
2019AUG22 020000  2.9 1002.7  43.0  2.2 2.1 2.1  none   ON  FLG  -20.56 -43.94  CRVBND   NA  -10.1   16.16  110.66  FCST   GOES15 27.5 
2019AUG22 023000  2.9 1002.7  43.0  2.2 2.2 2.2  none   ON  FLG    1.84 -35.91  CRVBND   NA  -10.1   16.19  110.78  FCST   GOES15 27.4 
2019AUG22 030000  2.9 1002.7  43.0  2.2 2.2 2.2  none   ON  FLG    2.94 -38.01  CRVBND   NA  -10.1   16.22  110.90  FCST   GOES15 27.3 
2019AUG22 033000  2.9  999.8  43.0  2.2 2.7 2.9  0.5Thour  ON  FLG  -66.36 -51.64  RCDO   NA  -10.1   16.08  111.39  FCST   GOES15 26.8 
2019AUG22 040000  2.9  999.8  43.0  2.3 2.7 2.8  0.5Thour  ON  FLG  -62.36 -51.45  RCDO   NA  -10.1   16.10  111.50  FCST   GOES15 26.8 
2019AUG22 043000  2.8 1001.0  41.0  2.3 2.7 2.7  none   ON  OFF  -56.96 -51.12  RCDO   NA  -10.1   16.12  111.61  FCST   GOES15 26.7 
2019AUG22 050000  2.8 1000.9  41.0  2.4 2.6 2.6  none   ON  OFF  -49.56 -49.23  RCDO   NA  -10.1   16.14  111.73  FCST   GOES15 26.6 
2019AUG22 053000  2.8 1000.9  41.0  2.5 2.4 2.4  none   ON  OFF  -39.76 -47.03  CRVBND   NA  -10.1   16.17  111.84  FCST   GOES15 26.5 
2019AUG22 060000  2.7 1002.1  39.0  2.5 2.6 2.6  none   ON  OFF  -38.76 -46.32  CRVBND   NA  -10.1   16.19  111.95  FCST   GOES15 26.5 
2019AUG22 063000  2.6 1003.3  37.0  2.6 2.7 2.7  none   ON  OFF  -37.26 -44.89  CRVBND   NA  -10.1   16.21  112.06  FCST   GOES15 26.4 
2019AUG22 070000  2.6 1003.3  37.0  2.5 2.3 2.3  none   ON  OFF  -48.36 -45.11  CRVBND   NA  -10.1   16.23  112.17  FCST   GOES15 26.3 
2019AUG22 073000  2.6 1003.3  37.0  2.5 2.4 2.4  none   ON  OFF  -37.76 -47.72  CRVBND   NA  -10.1   16.26  112.28  FCST   GOES15 26.3 
2019AUG22 080000  2.6 1003.2  37.0  2.4 2.4 2.4  none   ON  OFF  -42.26 -46.71  CRVBND   NA  -10.1   16.28  112.39  FCST   GOES15 26.2 
2019AUG22 083000  2.6 1003.2  37.0  2.4 2.2 2.2  none   ON  OFF  -29.96 -46.33  CRVBND   NA  -10.1   16.31  112.50  FCST   GOES15 26.1 
2019AUG22 090000  2.6 1003.5  37.0  2.5 2.9 2.9  none   ON  OFF  -65.46 -61.96  UNIFRM   NA  -10.1   15.86  112.52  FCST   GOES15 25.7 
2019AUG22 093000  2.6 1003.4  37.0  2.5 2.9 2.9  none   ON  OFF  -64.26 -59.54  UNIFRM   NA  -10.1   15.88  112.61  FCST   GOES15 25.7 
2019AUG22 100000  2.6 1003.4  37.0  2.5 2.9 2.9  none   ON  OFF  -65.06 -58.97  UNIFRM   NA  -10.1   15.90  112.70  FCST   GOES15 25.6 
2019AUG22 103000  2.6 1003.4  37.0  2.6 3.0 3.3  0.7T6hr  OFF  OFF  -56.26 -56.15  CRVBND   NA  -10.1   15.92  112.79  FCST   GOES15 25.6 
2019AUG22 110000  2.7 1002.2  39.0  2.7 2.9 2.9  none  OFF  OFF  -52.96 -52.99  CRVBND   NA  -10.1   15.93  112.89  FCST   GOES15 25.5 
2019AUG22 113000  2.8 1001.0  41.0  2.8 2.8 2.8  none  OFF  OFF  -49.86 -49.16  CRVBND   NA  -10.1   15.95  112.98  FCST   GOES15 25.5 
2019AUG22 120000  2.9  999.8  43.0  2.9 3.2 3.2  none  OFF  OFF  -58.66 -46.43  CRVBND   NA  -10.1   15.97  113.07  FCST   GOES15 25.4 
2019AUG22 123000  3.0  998.6  45.0  3.0 3.3 3.3  none  OFF  OFF  -59.06 -46.61  CRVBND   NA  -14.4   15.98  113.16  FCST   GOES15 25.3 
2019AUG22 130000  3.0  998.6  45.0  3.0 3.1 3.1  none  OFF  OFF  -55.26 -44.85  CRVBND   NA  -14.4   16.00  113.25  FCST   GOES15 25.3 
2019AUG22 133000  3.0  998.6  45.0  3.0 3.1 3.1  none  OFF  OFF  -57.96 -45.88  CRVBND   NA  -14.4   16.01  113.34  FCST   GOES15 25.2 
2019AUG22 140000  3.0  998.6  45.0  3.0 2.7 2.7  none  OFF  OFF  -54.26 -46.00  RCDO   NA  -14.4   16.03  113.43  FCST   GOES15 25.2 
2019AUG22 143000  3.0  998.6  45.0  3.0 2.7 2.7  none  OFF  OFF  -53.26 -46.94  RCDO   NA  -14.4   16.05  113.52  FCST   GOES15 25.1 
2019AUG22 150000  3.0  998.6  45.0  2.9 2.6 2.6  none   ON  OFF  -52.36 -45.07  RCDO   NA  -14.4   16.07  113.61  FCST   GOES15 25.1 
2019AUG22 153000  3.0  998.7  45.0  2.9 3.1 3.1  none   ON  OFF  -69.36 -55.70  RCDO   NA  -14.4   15.77  113.63  FCST   GOES15 24.8 
2019AUG22 160000  3.0  998.7  45.0  2.9 3.1 3.1  none   ON  OFF  -67.16 -54.30  RCDO   NA  -14.4   15.80  113.70  FCST   GOES15 24.8 
2019AUG22 163000  3.0  998.7  45.0  2.8 2.7 2.7  none   ON  OFF  -64.26 -52.93  UNIFRM   NA  -14.4   15.83  113.77  FCST   GOES15 24.8 
2019AUG22 170000  3.0  998.7  45.0  2.7 2.6 2.6  none   ON  OFF  -58.66 -51.93  UNIFRM   NA  -14.4   15.87  113.84  FCST   GOES15 24.7 
2019AUG22 173000  3.0  998.6  45.0  2.8 2.8 2.8  none   ON  FLG  -60.06 -51.73  RCDO   NA  -14.4   15.90  113.91  FCST   GOES15 24.7 
2019AUG22 180000  3.0  998.6  45.0  2.8 2.8 2.8  none   ON  FLG  -63.16 -50.99  RCDO   NA  -14.4   15.94  113.98  FCST   GOES15 24.7 
2019AUG22 183000  3.0  998.6  45.0  2.8 2.7 2.7  none   ON  FLG  -60.46 -49.45  RCDO   NA  -14.4   15.97  114.05  FCST   GOES15 24.7 
2019AUG22 190000  3.0  998.6  45.0  2.7 2.7 2.7  none   ON  OFF  -65.06 -48.03  RCDO   NA  -14.4   16.01  114.12  FCST   GOES15 24.6 
2019AUG22 193000  3.0  998.6  45.0  2.7 2.6 2.6  none   ON  OFF  -67.16 -47.08  RCDO   NA  -14.4   16.04  114.19  FCST   GOES15 24.6 
2019AUG22 203000  3.0  998.5  45.0  2.7 2.6 2.6  none   ON  OFF  -61.16 -46.70  RCDO   NA  -14.4   16.11  114.33  FCST   GOES15 24.6 
2019AUG22 210100  2.9  999.7  43.0  2.5 2.3 2.3  none   ON  FLG  -35.56 -46.32  CRVBND   NA    4.0   16.15  114.40  FCST   GOES15 24.6 
2019AUG22 213000  2.9  999.7  43.0  2.5 2.5 2.5  none   ON  FLG  -46.36 -43.65  CRVBND   NA    4.0   16.19  114.46  FCST   GOES15 24.5 
2019AUG22 220000  2.9  999.7  43.0  2.5 2.4 2.4  none   ON  FLG  -36.76 -40.43  CRVBND   NA    4.0   16.23  114.53  FCST   GOES15 24.5 
2019AUG22 223000  2.8 1000.9  41.0  2.4 2.4 2.4  none   ON  FLG  -32.36 -38.62  CRVBND   NA    4.0   16.27  114.60  FCST   GOES15 24.5 
2019AUG22 230000  2.8 1000.9  41.0  2.4 2.2 2.2  none   ON  FLG  -29.76 -37.43  CRVBND   NA    4.0   16.31  114.67  FCST   GOES15 24.5 
2019AUG22 233000  2.8 1000.8  41.0  2.3 2.2 2.2  none   ON  FLG  -24.76 -35.96  CRVBND   NA    4.0   16.36  114.73  FCST   GOES15 24.5 
2019AUG23 000000  2.8 1000.8  41.0  2.3 2.1 2.1  none   ON  FLG  -13.06 -35.77  CRVBND   NA    4.0   16.40  114.80  FCST   GOES15 24.5 
2019AUG23 003000  2.8 1000.8  41.0  2.2 2.1 2.1  none   ON  FLG  -22.56 -36.48  CRVBND   NA    4.0   16.45  114.86  FCST   GOES15 24.5 
2019AUG23 010000  2.7 1002.0  39.0  2.2 2.0 2.0  none   ON  FLG  -16.36 -36.00  CRVBND   NA    4.0   16.49  114.93  FCST   GOES15 24.5 
2019AUG23 013000  2.7 1001.9  39.0  2.1 2.2 2.2  none   ON  FLG   -2.66 -36.31  CRVBND   NA    4.0   16.54  114.99  FCST   GOES15 24.5 
