=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015SEP02 041500  3.5  995.6  55.0  3.4 3.4 3.4  none   ON  OFF    7.26 -21.55  SHEAR    NA   NA    19.49   29.29  FCST     MSG3 40.3 
2015SEP02 044500  3.5  995.6  55.0  3.3 2.9 2.1  0.5Thour  ON  OFF    6.68 -21.28  SHEAR    NA   NA    19.52   29.36  FCST     MSG3 40.3 
2015SEP02 051500  3.5  995.6  55.0  3.2 2.9 1.5  0.5Thour  ON  OFF   11.55 -19.05  SHEAR    NA   NA    19.55   29.43  FCST     MSG3 40.4 
2015SEP02 054500  3.4  996.9  53.0  3.1 2.8 1.5  0.5Thour  ON  FLG   13.90 -17.42  SHEAR    NA   NA    19.57   29.50  FCST     MSG3 40.5 
2015SEP02 061500  3.4  996.8  53.0  3.0 2.7 1.5  0.5Thour  ON  FLG   14.58 -14.95  SHEAR    NA   NA    19.59   29.57  FCST     MSG3 40.6 
2015SEP02 064500  3.4  996.8  53.0  2.9 2.6 1.5  0.5Thour  ON  FLG   14.86 -11.48  SHEAR    NA   NA    19.62   29.64  FCST     MSG3 40.6 
2015SEP02 071500  3.4  996.8  53.0  2.7 2.5 1.5  0.5Thour  ON  FLG   13.35 -10.33  SHEAR    NA   NA    19.64   29.70  FCST     MSG3 40.7 
2015SEP02 074500  3.4  996.8  53.0  2.6 2.4 1.5  0.5Thour  ON  FLG   16.34  -4.72  SHEAR    NA   NA    19.66   29.77  FCST     MSG3 40.8 
2015SEP02 081500  3.4  996.8  53.0  2.6 2.4 1.5  1.0T6hr   ON  FLG   14.45  -3.50  SHEAR    NA   NA    19.68   29.83  FCST     MSG3 40.9 
2015SEP02 084500  3.4  996.9  53.0  2.5 2.4 1.5  1.0T6hr   ON  FLG   11.55  -2.38  SHEAR    NA   NA    19.49   30.07  FCST     MSG3 41.0 
2015SEP02 091500  3.4  996.9  53.0  2.4 2.4 1.5  1.0T6hr   ON  FLG    9.71  -1.32  SHEAR    NA   NA    19.51   30.14  FCST     MSG3 41.0 
2015SEP02 094500  3.4  996.9  53.0  2.4 2.4 1.5  1.0T6hr   ON  FLG   10.57  -1.01  SHEAR    NA   NA    19.53   30.21  FCST     MSG3 41.1 
2015SEP02 101500  3.3  998.1  51.0  2.4 2.4 1.5  1.0T6hr   ON  FLG   11.97  -0.09  SHEAR    NA   NA    19.56   30.28  FCST     MSG3 41.2 
2015SEP02 104500  3.3  998.1  51.0  2.3 2.3 1.5  1.0T6hr   ON  FLG   13.35  -0.04  SHEAR    NA   NA    19.58   30.35  FCST     MSG3 41.3 
2015SEP02 111500  3.2  999.4  49.0  2.3 2.2 1.5  1.0T6hr   ON  FLG   13.22   0.90  SHEAR    NA   NA    19.60   30.42  FCST     MSG3 41.4 
2015SEP02 114500  3.0 1001.8  45.0  2.3 2.1 1.5  1.0T6hr   ON  OFF   14.86   1.94  SHEAR    NA   NA    19.63   30.49  FCST     MSG3 41.4 
2015SEP02 121500  2.9 1003.0  43.0  2.2 2.0 1.5  1.0T6hr   ON  FLG   17.27   3.54  SHEAR    NA   NA    19.66   30.57  FCST     MSG3 41.5 
2015SEP02 124500  2.9 1005.0  43.0  2.1 1.9 1.5  1.0T6hr   ON  FLG   17.80   4.36  SHEAR    NA   NA    19.68   30.64  FCST     MSG3 41.6 
2015SEP02 131500  2.7 1007.4  39.0  2.0 1.7 1.5  0.5Thour  ON  FLG   17.93   5.72  SHEAR    NA   NA    19.71   30.71  FCST     MSG3 41.7 
2015SEP02 134500  2.6 1008.6  37.0  1.9 1.6 1.5  0.5Thour  ON  FLG   18.33   6.84  SHEAR    NA   NA    19.74   30.79  FCST     MSG3 41.8 
2015SEP02 141500  2.6 1008.6  37.0  1.8 1.6 1.5  1.0T6hr   ON  FLG   18.33   6.32  SHEAR    NA   NA    19.77   30.86  FCST     MSG3 41.9 
2015SEP02 144500  2.5 1009.7  35.0  1.7 1.5 1.5  none   ON  FLG   18.19   5.66  SHEAR    NA   NA    19.79   30.87  FCST     MSG3 41.9 
2015SEP02 151500  2.4 1010.3  34.0  1.6 1.5 1.5  none   ON  FLG   18.19   5.94  SHEAR    NA   NA    19.81   30.93  FCST     MSG3 41.9 
2015SEP02 154500  2.4 1010.3  34.0  1.6 1.5 1.5  none   ON  FLG   18.19   6.05  SHEAR    NA   NA    19.84   30.99  FCST     MSG3 42.0 
2015SEP02 161500  2.4 1010.3  34.0  1.5 1.5 1.5  none   ON  FLG   18.19   6.44  SHEAR    NA   NA    19.87   31.06  FCST     MSG3 42.1 
2015SEP02 164500  2.3 1010.8  33.0  1.5 1.5 1.5  none   ON  FLG   18.19   7.11  SHEAR    NA   NA    19.89   31.12  FCST     MSG3 42.2 
2015SEP02 171500  2.3 1010.8  33.0  1.5 1.5 1.5  none   ON  FLG   18.33   2.97  SHEAR    NA   NA    19.91   31.18  FCST     MSG3 42.2 
2015SEP02 174500  2.3 1010.8  33.0  1.5 1.5 1.5  none   ON  FLG   18.33   4.18  SHEAR    NA   NA    19.94   31.24  FCST     MSG3 42.3 
2015SEP02 181500  2.2 1011.4  32.0  1.5 1.5 1.5  none   ON  OFF   18.33   4.50  SHEAR    NA   NA    19.96   31.30  FCST     MSG3 42.4 
2015SEP02 184500  2.1 1011.9  31.0  1.5 1.5 1.5  none   ON  OFF   18.46   2.51  SHEAR    NA   NA    19.98   31.36  FCST     MSG3 42.4 
2015SEP02 191500  2.0 1010.5  30.0  1.5 1.5 1.5  none   ON  OFF   18.33  -0.87  SHEAR    NA   NA    20.00   31.42  FCST     MSG3 42.5 
2015SEP02 194500  1.9 1011.0  29.0  1.5 1.5 1.5  none   ON  OFF   18.33  -6.70  SHEAR    NA   NA    20.02   31.48  FCST     MSG3 42.6 
2015SEP02 201500  1.8 1011.6  28.0  1.5 2.0 3.0  0.5Thour  ON  OFF   17.93 -12.26  SHEAR    NA   NA    20.04   31.54  FCST     MSG3 42.6 
2015SEP02 204500  1.7 1012.1  27.0  1.6 2.0 3.3  0.5Thour  ON  OFF   17.53 -16.74  SHEAR    NA   NA    20.06   31.60  FCST     MSG3 42.7 
2015SEP02 211500  1.7 1012.0  27.0  1.7 2.0 3.4  0.5Thour OFF  OFF   17.93 -27.18  SHEAR    NA   NA    20.32   31.83  FCST     MSG3 43.1 
2015SEP02 214500  1.8 1011.4  28.0  1.8 2.1 3.4  0.5Thour OFF  OFF   15.80 -29.30  SHEAR    NA   NA    20.35   31.89  FCST     MSG3 43.1 
2015SEP02 221500  1.9 1010.8  29.0  1.9 2.2 2.9  0.7T6hr  OFF  OFF    6.82 -33.06  CRVBND   NA   NA    20.39   31.96  FCST     MSG3 43.2 
2015SEP02 224500  2.0 1010.3  30.0  2.0 2.2 2.8  0.7T6hr  OFF  OFF  -16.83 -33.34  CRVBND   NA   NA    20.41   32.02  FCST     MSG3 43.3 
2015SEP02 231500  2.1 1009.7  31.0  2.1 2.2 2.8  0.7T6hr  OFF  OFF   -4.54 -33.09  CRVBND   NA   NA    20.44   32.08  FCST     MSG3 43.4 
2015SEP02 234500  2.1 1009.7  31.0  2.1 2.2 2.6  0.7T6hr  OFF  OFF    1.39 -30.54  CRVBND   NA   NA    20.47   32.14  FCST     MSG3 43.4 
2015SEP03 001500  2.1 1009.7  31.0  2.1 2.2 2.6  0.7T6hr  OFF  OFF   -1.61 -28.51  CRVBND   NA   NA    20.49   32.20  FCST     MSG3 43.5 
2015SEP03 004500  2.2 1009.1  32.0  2.2 2.5 3.2  1.0T6hr  OFF  OFF    6.97 -24.33  SHEAR    NA   NA    20.51   32.26  FCST     MSG3 43.6 
2015SEP03 011500  2.3 1008.5  33.0  2.3 2.5 3.3  1.0T6hr  OFF  OFF    6.23 -22.87  SHEAR    NA   NA    20.53   32.32  FCST     MSG3 43.6 
2015SEP03 014500  2.3 1008.5  33.0  2.3 2.5 3.3  1.0T6hr  OFF  OFF   14.72 -20.54  SHEAR    NA   NA    20.55   32.38  FCST     MSG3 43.7 
2015SEP03 021500  2.3 1008.5  33.0  2.3 2.5 3.4  1.0T6hr  OFF  OFF   13.63 -22.03  SHEAR    NA   NA    20.57   32.44  FCST     MSG3 43.8 
2015SEP03 024500  2.4 1007.9  34.0  2.4 2.6 3.1  1.0T6hr  OFF  OFF   18.46 -17.12  SHEAR    NA   NA    20.58   32.67  FCST     MSG3 44.0 
2015SEP03 031500  2.5 1007.3  35.0  2.5 2.7 3.0  1.0T6hr  OFF  OFF   18.06 -15.40  SHEAR    NA   NA    20.62   32.73  FCST     MSG3 44.1 
2015SEP03 034500  2.5 1007.3  35.0  2.5 2.7 2.7  none  OFF  OFF   18.33 -10.48  SHEAR    NA   NA    20.65   32.80  FCST     MSG3 44.1 
2015SEP03 041500  2.5 1007.3  35.0  2.5 2.4 2.4  none  OFF  OFF   18.98  -7.39  SHEAR    NA   NA    20.69   32.87  FCST     MSG3 44.2 
2015SEP03 044500  2.5 1007.3  35.0  2.5 2.4 2.4  none  OFF  OFF   18.85 -10.58  SHEAR    NA   NA    20.72   32.94  FCST     MSG3 44.3 
2015SEP03 051500  2.5 1007.3  35.0  2.5 2.5 2.5  none  OFF  OFF   18.98  -9.38  SHEAR    NA   NA    20.75   33.00  FCST     MSG3 44.4 
2015SEP03 054500  2.5 1007.2  35.0  2.5 2.5 2.5  none  OFF  OFF   18.72  -9.66  SHEAR    NA   NA    20.79   33.07  FCST     MSG3 44.5 
2015SEP03 061500  2.5 1007.2  35.0  2.4 2.0 1.5  0.5Thour  ON  OFF   19.37 -10.78  SHEAR    NA   NA    20.82   33.14  FCST     MSG3 44.5 
2015SEP03 064500  2.5 1007.2  35.0  2.3 2.0 1.5  0.5Thour  ON  OFF   19.37  -9.85  SHEAR    NA   NA    20.86   33.21  FCST     MSG3 44.6 
2015SEP03 071500  2.5 1007.2  35.0  2.2 1.9 1.5  0.5Thour  ON  FLG   18.59 -11.09  SHEAR    NA   NA    20.89   33.27  FCST     MSG3 44.7 
2015SEP03 074500  2.5 1007.2  35.0  2.1 1.8 1.5  0.5Thour  ON  FLG   18.59 -11.45  SHEAR    NA   NA    20.92   33.34  FCST     MSG3 44.8 
2015SEP03 081500  2.5 1007.2  35.0  2.0 1.7 1.5  0.5Thour  ON  FLG   18.59  -9.54  SHEAR    NA   NA    20.96   33.41  FCST     MSG3 44.9 
2015SEP03 084500  2.5 1007.2  35.0  1.8 1.6 1.5  0.5Thour  ON  FLG   18.72  -7.91  SHEAR    NA   NA    20.79   33.17  FCST     MSG3 44.5 
2015SEP03 091500  2.5 1007.2  35.0  1.7 1.5 1.5  none   ON  FLG   19.11   0.07  SHEAR    NA   NA    20.81   33.23  FCST     MSG3 44.6 
2015SEP03 094500  2.5 1007.2  35.0  1.7 1.5 1.5  none   ON  FLG   19.50   4.51  SHEAR    NA   NA    20.84   33.29  FCST     MSG3 44.7 
2015SEP03 101500  2.5 1007.2  35.0  1.6 1.5 1.5  none   ON  FLG   19.37   7.75  SHEAR    NA   NA    20.87   33.36  FCST     MSG3 44.8 
2015SEP03 104500  2.5 1007.2  35.0  1.5 1.5 1.5  none   ON  FLG   19.11  10.72  SHEAR    NA   NA    20.90   33.42  FCST     MSG3 44.8 
2015SEP03 111500  2.5 1007.2  35.0  1.5 1.5 1.5  none   ON  FLG   19.24  12.14  SHEAR    NA   NA    20.93   33.49  FCST     MSG3 44.9 
2015SEP03 114500  2.4 1007.7  34.0  1.5 1.5 1.5  none   ON  FLG   20.28  12.45  SHEAR    NA   NA    20.96   33.56  FCST     MSG3 45.0 
2015SEP03 121500  2.3 1008.3  33.0  1.5 1.5 1.5  none   ON  FLG   20.92  12.89  SHEAR    NA   NA    20.99   33.63  FCST     MSG3 45.1 
2015SEP03 124500  2.3 1008.3  33.0  1.5 1.5 1.5  none   ON  OFF   20.53  12.67  SHEAR    NA   NA    21.03   33.71  FCST     MSG3 45.2 
2015SEP03 131500  2.2 1007.8  32.0  1.5 1.5 1.5  none   ON  OFF   20.15  11.17  SHEAR    NA   NA    21.06   33.78  FCST     MSG3 45.3 
2015SEP03 134500  2.0 1008.9  30.0  1.5 1.5 1.5  none   ON  OFF   20.15  11.05  SHEAR    NA   NA    21.10   33.85  FCST     MSG3 45.3 
2015SEP03 141500  2.0 1008.9  30.0  1.5 1.5 1.5  none   ON  OFF   20.15  11.31  SHEAR    NA   NA    21.13   33.93  FCST     MSG3 45.4 
2015SEP03 144500  1.8 1010.0  28.0  1.5 1.5 1.5  none   ON  OFF   18.98  11.44  SHEAR    NA   NA    21.17   34.00  FCST     MSG3 45.5 
2015SEP03 151500  1.7 1010.4  27.0  1.5 2.0 3.1  0.5Thour  ON  OFF   19.50  -7.50  SHEAR    NA   NA    21.51   34.13  FCST     MSG3 45.8 
2015SEP03 154500  1.7 1010.4  27.0  1.6 2.0 3.3  0.5Thour  ON  OFF   20.66 -16.29  SHEAR    NA   NA    21.54   34.20  FCST     MSG3 45.9 
2015SEP03 161500  1.7 1010.4  27.0  1.7 2.0 3.4  0.5Thour OFF  OFF    3.99 -23.73  SHEAR    NA   NA    21.57   34.26  FCST     MSG3 46.0 
2015SEP03 164500  1.8 1009.8  28.0  1.8 2.1 2.5  0.5Thour OFF  OFF  -70.06 -33.18  RCDO   NA   NA    21.60   34.33  FCST     MSG3 46.0 
2015SEP03 171500  1.8 1009.8  28.0  1.7 1.2 0.8  0.5Thour  ON  OFF  -54.41 -38.04  UNIFRM   NA   NA    21.62   34.39  FCST     MSG3 46.1 
2015SEP03 174500  1.8 1009.8  28.0  1.8 2.2 2.5  0.7T6hr  OFF  OFF  -60.24 -38.21  RCDO   NA   NA    21.65   34.46  FCST     MSG3 46.2 
2015SEP03 181500  1.9 1009.2  29.0  1.9 2.2 2.5  0.7T6hr  OFF  OFF  -57.24 -33.74  RCDO   NA   NA    21.67   34.53  FCST     MSG3 46.3 
2015SEP03 184500  1.9 1009.2  29.0  1.9 2.2 2.5  0.7T6hr  OFF  OFF  -40.74 -29.39  RCDO   NA   NA    21.69   34.59  FCST     MSG3 46.3 
2015SEP03 191500  2.0 1008.6  30.0  2.0 2.2 2.6  0.7T6hr  OFF  OFF    2.32 -30.82  CRVBND   NA   NA    21.71   34.66  FCST     MSG3 46.4 
2015SEP03 194500  2.0 1008.6  30.0  2.0 2.2 2.6  0.7T6hr  OFF  OFF   -0.81 -29.64  CRVBND   NA   NA    21.74   34.72  FCST     MSG3 46.5 
2015SEP03 201500  2.1 1008.1  31.0  2.1 2.5 3.4  0.5Thour OFF  OFF    7.99 -27.04  SHEAR    NA   NA    21.76   34.79  FCST     MSG3 46.5 
2015SEP03 204500  2.2 1007.4  32.0  2.2 2.2 3.1  0.7T6hr  OFF  OFF  -48.86 -12.62  CRVBND   NA   NA    21.98   35.36  FCST   GOES13 51.1 
2015SEP03 211500  2.2 1007.4  32.0  2.1 1.6 1.5  0.5Thour  ON  OFF   12.94 -12.23  SHEAR    NA   NA    22.01   35.44  FCST   GOES13 51.1 
2015SEP03 214500  2.2 1007.4  32.0  2.0 1.7 1.5  0.5Thour  ON  OFF   16.34  -9.66  SHEAR    NA   NA    22.04   35.52  FCST   GOES13 51.0 
2015SEP03 221500  2.2 1007.3  32.0  2.0 1.6 1.5  0.5Thour  ON  OFF   17.84  -6.00  SHEAR    NA   NA    22.07   35.60  FCST   GOES13 51.0 
2015SEP03 224500  2.2 1007.3  32.0  1.9 1.5 1.5  none   ON  OFF   18.14   1.32  SHEAR    NA   NA    22.10   35.68  FCST   GOES13 50.9 
2015SEP03 231500  2.2 1007.3  32.0  1.8 1.5 1.5  none   ON  OFF   18.24   5.95  SHEAR    NA   NA    22.12   35.76  FCST   GOES13 50.8 
2015SEP03 234500  2.2 1007.3  32.0  1.6 1.5 1.5  none   ON  FLG   18.84   6.57  SHEAR    NA   NA    22.15   35.84  FCST   GOES13 50.8 
2015SEP04 001500  2.2 1007.3  32.0  1.5 1.5 1.5  none   ON  FLG   18.84   6.75  SHEAR    NA   NA    22.17   35.92  FCST   GOES13 50.7 
2015SEP04 004500  2.2 1008.3  32.0  1.5 1.5 1.5  none   ON  FLG   18.94   5.07  SHEAR    NA   NA    22.20   36.00  FCST   GOES13 50.6 
2015SEP04 011500  2.2 1008.3  32.0  1.5 1.5 1.5  none   ON  FLG   19.04   4.11  SHEAR    NA   NA    22.22   36.08  FCST   GOES13 50.6 
2015SEP04 014500  2.2 1008.3  32.0  1.5 1.5 1.5  none   ON  FLG   18.84   2.45  SHEAR    NA   NA    22.24   36.16  FCST   GOES13 50.5 
2015SEP04 021500  2.2 1008.2  32.0  1.5 1.5 1.5  none   ON  FLG   19.04   1.32  SHEAR    NA   NA    22.26   36.24  FCST   GOES13 50.5 
2015SEP04 024500  2.1 1008.9  31.0  1.5 1.5 1.5  none   ON  OFF   19.04   0.43  SHEAR    NA   NA    21.99   36.46  FCST   GOES13 50.1 
2015SEP04 031500  2.1 1008.9  31.0  1.5 1.5 1.5  none   ON  OFF   18.44  -5.28  SHEAR    NA   NA    22.01   36.54  FCST   GOES13 50.1 
2015SEP04 034500  2.0 1009.5  30.0  1.5 1.5 1.5  none   ON  OFF   18.34  -9.14  SHEAR    NA   NA    22.02   36.62  FCST   GOES13 50.0 
2015SEP04 041500  1.9 1010.0  29.0  1.5 1.5 1.5  none   ON  OFF   16.84 -14.92  SHEAR    NA   NA    22.03   36.70  FCST   GOES13 49.9 
2015SEP04 044500  1.9 1010.0  29.0  1.5 1.5 1.5  none   ON  OFF   15.74 -16.93  SHEAR    NA   NA    22.05   36.78  FCST   GOES13 49.9 
2015SEP04 051500  1.8 1010.6  28.0  1.5 2.0 2.6  0.5Thour  ON  OFF    7.64 -23.95  CRVBND   NA   NA    22.06   36.86  FCST   GOES13 49.8 
2015SEP04 054500  1.6 1011.7  26.0  1.6 2.0 3.0  0.5Thour  ON  OFF    5.94 -31.11  CRVBND   NA   NA    22.07   36.94  FCST   GOES13 49.7 
2015SEP04 061500  1.7 1011.1  27.0  1.7 2.0 2.9  0.5Thour OFF  OFF    8.14 -30.94  CRVBND   NA   NA    22.08   37.02  FCST   GOES13 49.6 
2015SEP04 064500  1.8 1010.6  28.0  1.8 2.1 3.3  0.5Thour OFF  OFF   13.54 -29.16  SHEAR    NA   NA    22.09   37.10  FCST   GOES13 49.6 
2015SEP04 071500  1.9 1011.0  29.0  1.9 2.2 3.1  0.5Thour OFF  OFF   14.94 -27.14  SHEAR    NA   NA    22.10   37.17  FCST   GOES13 49.5 
2015SEP04 074500  2.0 1010.4  30.0  2.0 2.3 2.9  0.5Thour OFF  OFF   16.14 -24.23  SHEAR    NA   NA    22.11   37.25  FCST   GOES13 49.4 
2015SEP04 081500  2.1 1009.9  31.0  2.1 2.4 2.5  0.5Thour OFF  OFF   15.14 -19.42  SHEAR    NA   NA    22.13   37.33  FCST   GOES13 49.4 
2015SEP04 084500  2.1 1009.9  31.0  2.1 2.1 2.1  none  OFF  OFF    9.34 -19.14  CRVBND   NA   NA    22.09   37.16  FCST   GOES13 49.5 
2015SEP04 091500  2.1 1009.9  31.0  2.1 2.2 2.3  0.7T6hr  OFF  OFF    8.14 -11.71  CRVBND   NA   NA    22.11   37.24  FCST   GOES13 49.5 
2015SEP04 094500  2.1 1009.9  31.0  2.1 1.6 1.5  0.5Thour OFF  OFF    7.14  -6.21  SHEAR    NA   NA    22.12   37.31  FCST   GOES13 49.4 
2015SEP04 101500  2.1 1009.9  31.0  2.1 2.2 2.3  0.7T6hr  OFF  OFF    8.64  -4.86  CRVBND   NA   NA    22.13   37.38  FCST   GOES13 49.3 
2015SEP04 104500  2.1 1009.9  31.0  2.0 1.6 1.5  0.5Thour  ON  OFF   12.64  -9.25  SHEAR    NA   NA    22.15   37.46  FCST   GOES13 49.3 
2015SEP04 111500  2.1 1009.9  31.0  1.9 1.6 1.5  0.5Thour  ON  OFF   18.74 -12.94  SHEAR    NA   NA    22.16   37.53  FCST   GOES13 49.2 
2015SEP04 114500  2.1 1009.9  31.0  1.8 1.5 1.5  none   ON  FLG   18.64 -13.17  SHEAR    NA   NA    22.17   37.61  FCST   GOES13 49.1 
2015SEP04 121500  2.1 1009.9  31.0  1.6 1.5 1.5  none   ON  FLG   19.84  -7.32  SHEAR    NA   NA    22.18   37.69  FCST   GOES13 49.1 
2015SEP04 124500  2.1 1009.8  31.0  1.6 1.5 1.5  none   ON  FLG   20.64   0.14  SHEAR    NA   NA    22.19   37.77  FCST   GOES13 49.0 
2015SEP04 131500  2.1 1009.8  31.0  1.6 1.5 1.5  none   ON  FLG   20.44   7.16  SHEAR    NA   NA    22.21   37.85  FCST   GOES13 48.9 
2015SEP04 134500  2.1 1009.8  31.0  1.5 1.5 1.5  none   ON  FLG   20.94  10.18  SHEAR    NA   NA    22.22   37.92  FCST   GOES13 48.9 
2015SEP04 141500  2.1 1009.8  31.0  1.5 1.5 1.5  none   ON  FLG   20.04   9.52  SHEAR    NA   NA    22.23   38.00  FCST   GOES13 48.8 
2015SEP04 144500  2.1 1009.8  31.0  1.5 1.5 1.5  none   ON  FLG   19.94   8.79  SHEAR    NA   NA    22.24   38.08  FCST   GOES13 48.7 
2015SEP04 151500  2.1 1009.8  31.0  1.5 1.5 1.5  none   ON  OFF   19.94  10.60  SHEAR    NA   NA    22.31   38.34  FCST   GOES13 48.5 
2015SEP04 154500  2.1 1009.8  31.0  1.5 1.5 1.5  none   ON  OFF   20.04  13.12  SHEAR    NA   NA    22.33   38.41  FCST   GOES13 48.5 
2015SEP04 161500  2.1 1009.8  31.0  1.5 1.5 1.5  none   ON  OFF   19.94  15.60  SHEAR    NA   NA    22.34   38.48  FCST   GOES13 48.4 
2015SEP04 164500  1.9 1010.9  29.0  1.5 1.5 1.5  none   ON  OFF   20.54  15.82  SHEAR    NA   NA    22.36   38.55  FCST   GOES13 48.4 
2015SEP04 171500  1.9 1010.9  29.0  1.5 1.5 1.5  none   ON  OFF   20.14  15.38  SHEAR    NA   NA    22.38   38.62  FCST   GOES13 48.3 
2015SEP04 174500  1.8 1011.4  28.0  1.5 1.5 1.5  none   ON  OFF   20.14  14.27  SHEAR    NA   NA    22.39   38.70  FCST   GOES13 48.3 
2015SEP04 181500  1.6 1012.5  26.0  1.5 1.5 1.5  none   ON  OFF   19.94  14.62  SHEAR    NA   NA    22.41   38.77  FCST   GOES13 48.2 
2015SEP04 184500  1.6 1012.5  26.0  1.5 1.5 1.5  none   ON  OFF   20.04  13.97  SHEAR    NA   NA    22.43   38.84  FCST   GOES13 48.1 
2015SEP04 191500  1.6 1012.5  26.0  1.5 1.5 1.5  none   ON  OFF   20.34  13.89  SHEAR    NA   NA    22.45   38.92  FCST   GOES13 48.1 
2015SEP04 194500  1.5 1013.0  25.0  1.5 1.5 1.5  none   ON  OFF   20.44  12.35  SHEAR    NA   NA    22.46   38.99  FCST   GOES13 48.0 
2015SEP04 201500  1.5 1013.0  25.0  1.5 1.5 1.5  none  OFF  OFF   20.04   9.32  SHEAR    NA   NA    22.48   39.06  FCST   GOES13 48.0 
2015SEP04 204500  1.5 1013.0  25.0  1.5 1.5 1.5  none  OFF  OFF   19.44  -0.43  SHEAR    NA   NA    22.59   39.07  FCST   GOES13 48.0 
2015SEP04 211500  1.5 1013.0  25.0  1.5 1.5 1.5  none  OFF  OFF   19.04  -4.36  SHEAR    NA   NA    22.61   39.13  FCST   GOES13 48.0 
2015SEP04 214500  1.5 1013.0  25.0  1.5 1.5 1.5  none  OFF  OFF   19.24  -9.09  SHEAR    NA   NA    22.63   39.20  FCST   GOES13 47.9 
2015SEP04 221500  1.5 1013.0  25.0  1.5 1.5 1.5  none  OFF  OFF   16.44 -14.77  SHEAR    NA   NA    22.65   39.26  FCST   GOES13 47.9 
2015SEP04 224500  1.5 1012.9  25.0  1.5 2.0 3.4  0.5Thour OFF  OFF    3.64 -22.86  SHEAR    NA   NA    22.67   39.32  FCST   GOES13 47.8 
2015SEP04 231500  1.6 1012.4  26.0  1.6 2.0 3.4  0.5Thour OFF  OFF   15.34 -25.08  SHEAR    NA   NA    22.68   39.38  FCST   GOES13 47.8 
2015SEP04 234500  1.7 1011.8  27.0  1.7 2.0 3.4  0.5Thour OFF  OFF   14.04 -22.41  SHEAR    NA   NA    22.70   39.45  FCST   GOES13 47.7 
2015SEP05 001500  1.8 1011.3  28.0  1.8 2.1 2.3  0.5Thour OFF  OFF   -7.36 -17.44  CRVBND   NA   NA    22.71   39.51  FCST   GOES13 47.7 
2015SEP05 004500  1.9 1010.7  29.0  1.9 2.2 2.5  0.7T6hr  OFF  OFF    4.44 -10.80  CRVBND   NA   NA    22.72   39.57  FCST   GOES13 47.6 
2015SEP05 011500  2.0 1010.1  30.0  2.0 2.2 2.5  0.7T6hr  OFF  OFF    6.54  -7.06  CRVBND   NA   NA    22.73   39.63  FCST   GOES13 47.6 
2015SEP05 014500  2.0 1010.1  30.0  2.0 1.5 1.5  none  OFF  OFF    9.44  -9.54  SHEAR    NA   NA    22.74   39.69  FCST   GOES13 47.5 
2015SEP05 021500  2.0 1010.1  30.0  2.0 2.2 2.3  0.7T6hr  OFF  OFF    8.44 -13.68  CRVBND   NA   NA    22.74   39.75  FCST   GOES13 47.5 
2015SEP05 024500  2.0 1013.1  30.0  1.9 1.5 1.5  none   ON  OFF   14.44 -10.23  SHEAR    NA   NA    22.79   40.06  FCST   GOES13 47.2 
2015SEP05 031500  2.0 1013.1  30.0  1.8 1.5 1.5  none   ON  OFF   16.94 -10.95  SHEAR    NA   NA    22.81   40.14  FCST   GOES13 47.2 
2015SEP05 034500  2.0 1013.1  30.0  1.8 1.5 1.5  none   ON  OFF   20.04 -10.83  SHEAR    NA   NA    22.83   40.21  FCST   GOES13 47.1 
2015SEP05 041500  2.0 1013.1  30.0  1.7 1.5 1.5  none   ON  FLG   19.34  -6.40  SHEAR    NA   NA    22.85   40.27  FCST   GOES13 47.1 
2015SEP05 044500  2.0 1013.1  30.0  1.6 1.5 1.5  none   ON  FLG   19.84  -1.28  SHEAR    NA   NA    22.87   40.34  FCST   GOES13 47.0 
2015SEP05 051500  2.0 1013.1  30.0  1.6 1.5 1.5  none   ON  FLG   16.64   4.91  SHEAR    NA   NA    22.89   40.40  FCST   GOES13 47.0 
2015SEP05 054500  2.0 1013.1  30.0  1.5 1.5 1.5  none   ON  FLG   10.74   7.28  SHEAR    NA   NA    22.91   40.46  FCST   GOES13 46.9 
2015SEP05 061500  2.0 1013.1  30.0  1.5 1.5 1.5  none   ON  FLG   17.14   8.70  SHEAR    NA   NA    22.93   40.52  FCST   GOES13 46.9 
2015SEP05 064500  2.0 1013.0  30.0  1.5 1.5 1.5  none   ON  FLG   18.14   6.16  SHEAR    NA   NA    22.95   40.58  FCST   GOES13 46.9 
2015SEP05 071500  2.0 1013.0  30.0  1.5 1.5 1.5  none   ON  OFF   17.14   4.20  SHEAR    NA   NA    22.98   40.63  FCST   GOES13 46.8 
2015SEP05 074500  2.0 1013.0  30.0  1.5 1.5 1.5  none   ON  OFF   17.34  -0.42  SHEAR    NA   NA    23.00   40.68  FCST   GOES13 46.8 
2015SEP05 081500  2.0 1013.0  30.0  1.5 1.5 1.5  none   ON  OFF   14.04  -8.83  SHEAR    NA   NA    23.02   40.74  FCST   GOES13 46.8 
2015SEP05 084500  1.8 1014.1  28.0  1.5 1.5 1.5  none   ON  OFF   13.84 -13.93  SHEAR    NA   NA    23.04   40.79  FCST   GOES13 46.7 
