=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015AUG31 054500  4.1  989.2  67.4  4.1 4.1 3.4  MW   ON  OFF  -54.07 -51.11  SHEAR    NA   NA    15.60   22.82  FCST     MSG3 31.9 MWinit1=3.43.43.7
2015AUG31 061500  4.1  989.2  67.4  4.1 4.1 3.4  MW   ON  OFF  -44.37 -51.88  SHEAR    NA   NA    15.65   22.89  FCST     MSG3 32.0 MWinit1=3.43.43.7
2015AUG31 064500  4.1  987.2  67.4  4.1 4.1 3.4  MW   ON  OFF  -52.06 -53.15  SHEAR    NA   NA    15.70   22.96  FCST     MSG3 32.1 MWinit1=3.43.43.6
2015AUG31 071500  4.2  985.5  69.8  4.2 4.2 3.3  MW   ON  OFF  -72.50 -56.41  UNIFRM   NA   NA    15.75   23.03  FCST     MSG3 32.2 MWinit1=3.43.43.5
2015AUG31 074500  4.2  985.4  69.8  4.2 4.2 3.5  MW   ON  OFF  -72.50 -59.58  UNIFRM   NA   NA    15.80   23.10  FCST     MSG3 32.3 MWinit1=3.53.43.5
2015AUG31 081500  4.2  985.4  69.8  4.2 4.2 3.6  MW   ON  OFF  -70.06 -62.09  UNIFRM   NA   NA    15.85   23.17  FCST     MSG3 32.4 MWinit1=3.73.43.4
2015AUG31 084500  4.3  983.9  72.2  4.3 4.3 3.7  MW  OFF  OFF  -72.50 -61.96  UNIFRM   NA   NA    15.57   22.86  FCST     MSG3 32.0 MWinit1=3.73.53.5
2015AUG31 091500  4.3  983.8  72.2  4.3 4.3 3.7  MW     OFF  OFF  -72.50 -62.02  UNIFRM   NA   NA    15.63   22.94  FCST     MSG3 32.1 
2015AUG31 094500  4.3  983.8  72.2  4.3 4.3 3.8  MW     OFF  OFF  -69.12 -61.17  UNIFRM   NA   NA    15.68   23.01  FCST     MSG3 32.2 
2015AUG31 101500  4.3  983.8  72.2  4.3 4.3 3.7  MW   OFF  OFF  -71.51 -59.52  UNIFRM   NA   NA    15.73   23.08  FCST     MSG3 32.3 
2015AUG31 104500  4.3  983.8  72.2  4.3 4.3 3.7  MW   OFF  OFF  -70.06 -59.29  UNIFRM   NA   NA    15.79   23.16  FCST     MSG3 32.4 
2015AUG31 111500  4.3  983.7  72.2  4.3 4.3 3.7  MW   OFF  OFF  -71.51 -59.59  UNIFRM   NA   NA    15.84   23.23  FCST     MSG3 32.5 
2015AUG31 114500  4.3  983.7  72.2  4.3 4.3 3.7  MW   OFF  OFF  -71.51 -60.19  UNIFRM   NA   NA    15.90   23.31  FCST     MSG3 32.6 
2015AUG31 121500  4.3  983.7  72.2  4.3 4.3 3.7  MW   OFF  OFF  -65.97 -60.56  UNIFRM   NA   NA    15.95   23.39  FCST     MSG3 32.7 
2015AUG31 124500  4.3  986.7  72.2  4.3 4.3 3.7  MW   OFF  OFF  -58.35 -61.17  UNIFRM   NA   NA    16.01   23.47  FCST     MSG3 32.8 
2015AUG31 131500  4.3  986.6  72.2  4.3 4.3 3.9  MW   OFF  OFF  -64.68 -63.81  UNIFRM   NA   NA    16.06   23.54  FCST     MSG3 32.9 
2015AUG31 134500  4.3  986.6  72.2  4.3 4.3 4.0  MW   OFF  OFF  -68.19 -65.32  UNIFRM   NA   NA    16.12   23.62  FCST     MSG3 33.0 
2015AUG31 141500  4.3  986.6  72.2  4.3 4.3 3.9  MW   OFF  OFF  -69.12 -65.59  UNIFRM   NA   NA    16.17   23.70  FCST     MSG3 33.1 
2015AUG31 144500  4.3  986.5  72.2  4.3 4.3 3.9  MW   OFF  OFF  -71.02 -64.63  UNIFRM   NA   NA    16.23   23.78  FCST     MSG3 33.2 
2015AUG31 151500  4.3  986.5  72.2  4.3 4.3 3.9  MW   OFF  OFF  -61.41 -64.57  UNIFRM   NA   NA    16.42   23.74  FCST     MSG3 33.3 
2015AUG31 154500  4.3  986.4  72.2  4.3 4.3 4.0  MW   OFF  OFF  -69.12 -63.33  UNIFRM   NA   NA    16.52   23.86  SPRL     MSG3 33.5 
2015AUG31 161500  4.6  981.0  79.6  4.6 4.6 4.0  MW OFF  OFF  -74.04 -64.24  UNIFRM   NA   NA    16.67   24.04  SPRL     MSG3 33.7 MW OFF HOLD >=6hrs old
2015AUG31 164500  4.6  981.0  79.6  4.6 4.6 3.9  MW     OFF  OFF  -72.00 -65.06  UNIFRM   NA   NA    16.82   24.01  SPRL     MSG3 33.8 
2015AUG31 171500  4.3  986.3  72.2  4.3 4.3 3.7  MW   OFF  OFF  -72.00 -64.87  UNIFRM   NA   NA    16.77   24.09  SPRL     MSG3 33.8 
