=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2016NOV22 101500  3.6  994.5  57.0  3.6 3.9 4.1  0.7T6hr  OFF  OFF  -71.06 -72.51  EMBC     NA  -18.7   10.70   79.00  FCST   GOES13 13.4 
2016NOV22 104500  3.7  993.2  59.0  3.7 3.8 4.2  0.7T6hr  OFF  OFF  -73.86 -71.44  UNIFRM   NA  -18.7   10.70   79.00  FCST   GOES13 13.4 
2016NOV22 111500  3.7  993.2  59.0  3.7 3.8 4.2  0.7T6hr  OFF  OFF  -72.96 -70.58  UNIFRM   NA  -18.7   10.70   79.00  FCST   GOES13 13.4 
2016NOV22 114500  3.7  993.2  59.0  3.7 3.9 4.2  0.7T6hr  OFF  OFF  -68.76 -70.09  UNIFRM   NA  -18.7   10.69   79.00  FCST   GOES13 13.4 
2016NOV22 121500  3.8  991.9  61.0  3.8 3.9 4.2  0.7T6hr  OFF  OFF  -66.56 -69.02  UNIFRM   NA  -18.7   10.69   79.01  FCST   GOES13 13.4 
2016NOV22 124500  3.8  991.9  61.0  3.8 4.0 4.2  0.7T6hr  OFF  OFF  -64.96 -67.59  EMBC     NA  -44.9   10.69   79.01  FCST   GOES13 13.4 
2016NOV22 131500  3.9  990.6  63.0  3.9 4.1 4.1  none  OFF  OFF  -64.16 -66.34  UNIFRM   NA  -44.9   10.69   79.01  FCST   GOES13 13.4 
2016NOV22 134500  3.9  990.6  63.0  3.9 4.0 4.0  none  OFF  OFF  -71.96 -66.02  UNIFRM   NA  -44.9   10.69   79.02  FCST   GOES13 13.4 
2016NOV22 141500  3.9  990.7  63.0  3.9 4.1 4.1  none  OFF  OFF  -64.96 -67.26  UNIFRM   NA  -44.9   10.40   79.19  FCST   GOES13 13.1 
2016NOV22 144500  4.0  989.4  65.0  4.0 4.0 4.0  none  OFF  OFF  -60.66 -66.06  UNIFRM   NA  -44.9   10.40   79.20  FCST   GOES13 13.1 
2016NOV22 151500  4.0  989.4  65.0  4.0 3.9 3.9  none  OFF  OFF  -65.76 -64.76  UNIFRM   NA  -44.9   10.40   79.20  FCST   GOES13 13.1 
2016NOV22 154500  4.0  989.4  65.0  4.0 3.9 3.9  none  OFF  OFF  -70.06 -64.32  UNIFRM   NA  -44.9   10.40   79.21  FCST   GOES13 13.1 
2016NOV22 161500  4.0  989.4  65.0  4.0 4.1 4.1  none  OFF  OFF  -69.66 -66.58  UNIFRM   NA  -44.9   10.40   79.22  FCST   GOES13 13.1 
