=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015MAY29 013000  4.2  987.3  69.8  4.2 4.2 3.2  MW   ON  OFF  -63.16 -53.54  UNIFRM   NA   NA    11.97  113.05  FCST   GOES15 29.0 MWinit1=3.23.43.5
2015MAY29 020000  4.3  985.6  72.2  4.3 4.3 3.2  MW   ON  OFF  -59.36 -55.41  UNIFRM   NA   NA    12.00  113.11  FCST   GOES15 29.0 MWinit1=3.33.33.5
2015MAY29 023000  4.3  985.8  72.2  4.3 4.3 5.5  MW      ON  OFF   -8.46 -61.63  EYE     18   36.4   11.59  113.23  COMBO  GOES15 28.6 
2015MAY29 030000  4.3  984.7  72.2  4.3 4.3 5.4  MW      ON  OFF  -15.46 -63.34  EYE     18   36.4   11.68  113.33  COMBO  GOES15 28.6 
2015MAY29 033000  4.3  984.7  72.2  4.3 4.3 5.3  MW     OFF  OFF  -24.56 -63.78  EYE    -99   36.4   11.86  113.44  FCST   GOES15 28.6 
2015MAY29 040000  4.3  984.7  72.2  4.3 4.3 3.6  MW     OFF  OFF  -77.16 -67.53  UNIFRM   NA   36.4   11.85  113.14  SPRL   GOES15 28.9 
2015MAY29 043000  4.3  984.6  72.2  4.3 4.3 3.6  MW     OFF  OFF  -74.56 -67.97  UNIFRM   NA   36.4   11.89  113.10  SPRL   GOES15 28.9 
2015MAY29 050000  4.3  984.6  72.2  4.1 3.5 3.5  MW  ON  OFF  -73.06 -66.78  UNIFRM   NA   36.4   12.02  113.16  SPRL   GOES15 28.9 
2015MAY29 053000  4.3  984.6  72.2  4.0 3.8 3.4  0.5Thour  ON  OFF  -62.76 -64.26  UNIFRM   NA   36.4   12.06  113.43  SPRL   GOES15 28.7 
2015MAY29 060000  4.3  984.5  72.2  4.0 3.6 3.4  0.5Thour  ON  OFF  -64.26 -63.64  UNIFRM   NA   36.4   12.10  113.38  SPRL   GOES15 28.8 
