=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2020AUG31 200000  2.0 1004.4  30.0  2.0 2.0 2.0  none  OFF  OFF   17.34 -10.43  SHEAR    NA    NA   32.46   76.64  FCST   GOES16 37.8 
2020AUG31 203000  2.0 1004.4  30.0  1.9 1.8 1.5  0.2Thour  ON  OFF   17.34  -9.53  SHEAR    NA    NA   32.53   76.57  FCST   GOES16 37.8 
2020AUG31 210000  2.0 1004.4  30.0  1.8 1.8 1.5  0.2Thour  ON  OFF   17.84  -8.50  SHEAR    NA    NA   32.60   76.50  FCST   GOES16 37.9 
2020AUG31 213000  2.0 1004.3  30.0  1.9 2.0 2.5  0.2Thour  ON  OFF   17.34  -8.13  SHEAR    NA    NA   32.67   76.43  FCST   GOES16 38.0 
2020AUG31 220000  2.0 1004.3  30.0  1.9 2.0 2.5  0.2Thour  ON  OFF   15.84 -10.67  SHEAR    NA    NA   32.74   76.36  FCST   GOES16 38.1 
2020AUG31 223000  2.0 1004.3  30.0  1.9 2.2 2.5  0.2Thour  ON  OFF   15.84 -13.28  SHEAR    NA    NA   32.81   76.28  FCST   GOES16 38.1 
2020AUG31 230000  2.0 1004.2  30.0  2.0 2.2 2.5  0.2Thour OFF  OFF   15.84 -14.00  SHEAR    NA    NA   32.88   76.21  FCST   GOES16 38.2 
2020AUG31 233000  2.0 1004.2  30.0  2.0 2.4 2.5  0.2Thour OFF  OFF   15.34 -13.88  SHEAR    NA    NA   32.95   76.13  FCST   GOES16 38.3 
2020SEP01 000000  2.1 1003.6  31.0  2.1 2.4 2.5  0.2Thour OFF  OFF   13.34 -14.01  SHEAR    NA   -4.2   33.02   76.05  FCST   GOES16 38.4 
2020SEP01 003000  2.2 1003.0  32.0  2.2 2.5 2.5  none  OFF  OFF   14.34 -12.58  SHEAR    NA   -4.2   33.08   75.97  FCST   GOES16 38.4 
