=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2017SEP06 191500  4.0  988.0  65.0  4.0 4.2 4.2  none  OFF  OFF  -59.26 -64.99  UNIFRM   NA   -0.0   21.56   95.65  FCST   GOES13 34.4 
2017SEP06 194500  4.0  988.0  65.0  4.0 4.2 4.2  none  OFF  OFF  -57.16 -65.70  UNIFRM   NA   -0.0   21.54   95.62  FCST   GOES13 34.3 
2017SEP06 201500  4.0  987.9  65.0  4.0 3.9 3.9  none  OFF  OFF  -66.56 -62.14  UNIFRM   NA   -0.0   21.72   95.13  FCST   GOES13 34.1 
2017SEP06 204500  4.0  987.9  65.0  4.0 4.2 4.2  none  OFF  OFF  -64.56 -63.46  UNIFRM   NA   -0.0   21.71   95.11  FCST   GOES13 34.1 
2017SEP06 211500  4.1  986.3  67.4  4.1 4.1 4.1  none  OFF  OFF  -64.56 -63.12  UNIFRM   NA   -0.0   21.69   95.09  FCST   GOES13 34.0 
2017SEP06 214500  4.1  986.3  67.4  4.1 4.1 4.1  none  OFF  OFF  -64.16 -61.69  UNIFRM   NA   -0.0   21.68   95.07  FCST   GOES13 34.0 
2017SEP06 221500  4.1  986.3  67.4  4.1 4.0 4.0  none  OFF  OFF  -60.66 -60.23  UNIFRM   NA   -0.0   21.66   95.04  FCST   GOES13 34.0 
2017SEP06 224500  4.1  986.3  67.4  4.0 3.9 3.9  none   ON  OFF  -62.96 -59.00  UNIFRM   NA   -0.0   21.65   95.02  FCST   GOES13 34.0 
2017SEP06 231500  4.1  986.3  67.4  4.0 3.8 3.8  none   ON  OFF  -64.56 -57.59  UNIFRM   NA   -0.0   21.64   95.00  FCST   GOES13 33.9 
2017SEP06 234500  4.1  986.3  67.4  3.9 3.7 3.7  none   ON  OFF  -63.76 -55.98  UNIFRM   NA   -0.0   21.63   94.97  FCST   GOES13 33.9 
2017SEP07 001500  4.1  986.3  67.4  3.8 3.5 3.5  none   ON  OFF  -60.36 -54.20  UNIFRM   NA   16.8   21.61   94.95  FCST   GOES13 33.9 
2017SEP07 004500  4.1  986.3  67.4  3.7 3.4 3.4  none   ON  FLG  -70.56 -52.58  UNIFRM   NA   16.8   21.60   94.92  FCST   GOES13 33.8 
2017SEP07 011500  4.1  986.3  67.4  4.1 4.1 3.2  MW   ON  FLG  -69.66 -50.61  UNIFRM   NA   16.8   21.59   94.90  FCST   GOES13 33.8 MWinit1=3.33.64.1
2017SEP07 014500  4.1  986.3  67.4  4.1 4.1 3.0  MW   ON  FLG  -72.96 -48.16  UNIFRM   NA   16.8   21.58   94.88  FCST   GOES13 33.8 MWinit1=3.33.54.1
2017SEP07 021500  4.1  986.2  67.4  4.1 4.1 3.4  MW   ON  FLG  -71.96 -54.14  UNIFRM   NA   16.8   21.71   94.82  FCST   GOES13 33.9 MWinit1=3.43.44.1
2017SEP07 024500  4.1  986.3  67.4  4.1 4.1 3.4  MW   ON  FLG  -71.06 -55.32  UNIFRM   NA   16.8   21.70   94.81  FCST   GOES13 33.8 MWinit1=3.43.34.1
2017SEP07 031500  4.1  986.3  67.4  4.1 4.1 3.5  MW   ON  FLG  -71.06 -57.09  UNIFRM   NA   16.8   21.70   94.79  FCST   GOES13 33.8 MWinit1=3.53.34.1
2017SEP07 034500  4.1  986.3  67.4  4.1 4.1 3.5  MW   ON  FLG  -69.16 -58.54  UNIFRM   NA   16.8   21.69   94.78  FCST   GOES13 33.8 MWinit1=3.53.44.1
2017SEP07 041500  4.2  984.6  69.8  4.2 4.2 3.6  MW   ON  OFF  -66.56 -59.18  UNIFRM   NA   16.8   21.68   94.76  FCST   GOES13 33.8 MWinit1=3.63.44.1
2017SEP07 044500  4.2  984.6  69.8  4.2 4.2 3.5  MW   ON  OFF  -62.56 -58.94  UNIFRM   NA   16.8   21.68   94.75  FCST   GOES13 33.8 MWinit1=3.53.44.0
2017SEP07 051500  4.2  984.6  69.8  4.2 4.2 3.4  MW   ON  OFF  -55.76 -56.75  UNIFRM   NA   16.8   21.67   94.73  FCST   GOES13 33.8 MWinit1=3.43.44.0
2017SEP07 054500  4.2  984.6  69.8  4.2 4.2 3.4  MW   ON  OFF  -59.26 -57.01  UNIFRM   NA   16.8   21.66   94.72  FCST   GOES13 33.7 MWinit1=3.43.43.9
2017SEP07 061500  4.2  984.6  69.8  4.2 4.2 3.3  MW   ON  OFF  -55.06 -56.31  UNIFRM   NA   16.8   21.65   94.70  FCST   GOES13 33.7 MWinit1=3.33.43.8
2017SEP07 064500  4.2  984.6  69.8  4.2 4.2 3.3  MW   ON  OFF  -57.16 -55.72  UNIFRM   NA   16.8   21.64   94.69  FCST   GOES13 33.7 MWinit1=3.33.43.7
2017SEP07 071500  4.2  984.6  69.8  4.2 4.2 3.2  MW   ON  OFF  -49.16 -53.97  UNIFRM   NA   16.8   21.62   94.68  FCST   GOES13 33.7 MWinit1=3.23.33.6
2017SEP07 074500  4.2  984.6  69.8  4.2 4.2 3.2  MW   ON  OFF  -68.76 -53.15  UNIFRM   NA   16.8   21.61   94.67  FCST   GOES13 33.7 MWinit1=3.23.33.5
2017SEP07 081500  4.2  984.7  69.8  4.2 4.2 3.4  MW   ON  OFF  -66.16 -54.99  UNIFRM   NA   16.8   21.52   94.52  FCST   GOES13 33.5 MWinit1=3.43.33.4
2017SEP07 084500  4.2  984.7  69.8  4.2 4.2 3.6  MW   ON  OFF  -71.96 -60.02  UNIFRM   NA   16.8   21.50   94.51  FCST   GOES13 33.5 MWinit1=3.63.33.4
2017SEP07 091500  4.2  984.7  69.8  4.2 4.2 3.9  MW  OFF  OFF  -70.56 -66.87  UNIFRM   NA   16.8   21.50   94.49  FCST   GOES13 33.4 MWinit1=3.83.43.4
2017SEP07 094500  4.3  983.0  72.2  4.3 4.3 3.9  MW  OFF  OFF  -67.86 -67.25  UNIFRM   NA   16.8   21.49   94.48  FCST   GOES13 33.4 MWinit1=3.83.43.4
2017SEP07 101500  4.3  983.0  72.2  4.3 4.3 3.9  MW  OFF  OFF  -62.96 -66.08  UNIFRM   NA   16.8   21.48   94.47  FCST   GOES13 33.4 MWinit1=3.93.53.5
2017SEP07 104500  4.3  983.0  72.2  4.3 4.3 3.8  MW  OFF  OFF  -59.56 -64.88  UNIFRM   NA   16.8   21.48   94.47  FCST   GOES13 33.4 MWinit1=3.83.63.6
2017SEP07 111500  4.3  983.0  72.2  4.3 4.3 3.7  MW  OFF  OFF  -58.56 -63.95  UNIFRM   NA   16.8   21.48   94.46  FCST   GOES13 33.4 MWinit1=3.73.73.7
2017SEP07 114500  4.3  983.0  72.2  4.3 4.3 3.7  MW  OFF  OFF  -54.06 -63.37  UNIFRM   NA   16.8   21.48   94.46  FCST   GOES13 33.4 MWinit1=3.73.73.7
2017SEP07 121500  4.3  981.0  72.2  4.3 4.3 3.7  MW  OFF  OFF  -50.96 -62.18  UNIFRM   NA   16.8   21.48   94.45  FCST   GOES13 33.4 MWinit1=3.73.73.7
2017SEP07 124500  4.3  981.0  72.2  4.3 4.3 3.7  MW  OFF  OFF  -57.16 -62.01  UNIFRM   NA   16.8   21.48   94.45  FCST   GOES13 33.4 MWinit1=3.73.73.7
2017SEP07 131500  4.3  981.0  72.2  4.3 4.3 3.6  MW     OFF  OFF  -53.76 -61.13  UNIFRM   NA   37.8   21.48   94.45  FCST   GOES13 33.4 
2017SEP07 134500  4.3  981.0  72.2  4.3 4.3 3.5  MW     OFF  OFF  -61.86 -59.91  UNIFRM   NA   37.8   21.48   94.45  FCST   GOES13 33.4 
2017SEP07 141500  4.4  979.2  74.6  4.4 4.4 3.7  MW     OFF  OFF  -69.66 -62.16  UNIFRM   NA   37.8   21.61   94.59  FCST   GOES13 33.6 
2017SEP07 144500  4.4  979.3  74.6  4.4 4.4 3.6  MW     OFF  OFF  -73.36 -61.40  UNIFRM   NA   37.8   21.60   94.60  FCST   GOES13 33.6 
2017SEP07 151500  4.4  979.3  74.6  4.4 4.4 3.5  MW     OFF  OFF  -72.96 -62.34  UNIFRM   NA   37.8   21.60   94.61  FCST   GOES13 33.6 
2017SEP07 154500  4.4  979.3  74.6  4.4 4.4 3.8  MW     OFF  OFF  -72.96 -63.83  UNIFRM   NA   37.8   21.59   94.62  FCST   GOES13 33.6 
2017SEP07 161500  4.4  979.3  74.6  4.4 4.4 3.8  MW     OFF  OFF  -72.46 -67.36  UNIFRM   NA   37.8   21.58   94.63  FCST   GOES13 33.6 
2017SEP07 164500  4.5  977.5  77.0  4.5 4.5 4.1  MW     OFF  OFF  -71.06 -69.41  UNIFRM   NA   37.8   21.58   94.65  FCST   GOES13 33.6 
2017SEP07 171500  4.5  977.5  77.0  4.5 4.5 4.2  MW     OFF  OFF  -70.56 -69.89  UNIFRM   NA   37.8   21.57   94.67  FCST   GOES13 33.6 
2017SEP07 174500  4.5  977.5  77.0  4.5 4.5 4.3  MW     OFF  OFF  -71.96 -69.28  UNIFRM   NA   37.8   21.56   94.69  FCST   GOES13 33.6 
2017SEP07 181500  4.5  977.6  77.0  4.5 4.5 4.2  MW     OFF  OFF  -71.96 -67.68  UNIFRM   NA   37.8   21.54   94.71  FCST   GOES13 33.6 
2017SEP07 184500  4.5  977.6  77.0  4.5 4.5 4.1  MW     OFF  OFF  -69.66 -66.60  UNIFRM   NA   37.8   21.53   94.73  FCST   GOES13 33.6 
2017SEP07 191500  4.6  975.7  79.6  4.6 4.6 4.0  MW     OFF  OFF  -67.86 -65.62  UNIFRM   NA   37.8   21.52   94.75  FCST   GOES13 33.7 
2017SEP07 194500  4.6  975.6  79.6  4.6 4.6 3.9  MW     OFF  OFF  -62.56 -64.68  UNIFRM   NA   37.8   21.76   94.40  SPRL   GOES13 33.6 
2017SEP07 201500  4.6  975.6  79.6  4.6 4.6 3.9  MW     OFF  OFF  -66.56 -61.81  UNIFRM   NA   37.8   21.66   94.64  SPRL   GOES13 33.7 
2017SEP07 204500  4.6  975.6  79.6  4.6 4.6 4.1  MW     OFF  OFF  -54.06 -58.37  EMBC     NA   37.8   21.60   94.60  FCST   GOES13 33.6 
2017SEP07 214500  4.6  975.6  79.6  4.6 4.6 3.6  MW   OFF  OFF  -52.46 -57.34  UNIFRM   NA   37.8   21.59   94.62  FCST   GOES13 33.6 
2017SEP07 221500  4.6  975.7  79.6  4.6 4.6 3.6  MW   OFF  OFF  -49.16 -57.71  UNIFRM   NA   37.8   21.58   94.63  FCST   GOES13 33.6 
2017SEP07 224500  4.6  975.7  79.6  4.6 4.6 3.5  MW   OFF  OFF  -51.86 -57.96  UNIFRM   NA   37.8   21.57   94.65  FCST   GOES13 33.6 
2017SEP07 231500  4.6  975.7  79.6  4.6 4.6 3.5  MW   OFF  OFF  -61.06 -59.11  UNIFRM   NA   37.8   21.40   94.82  SPRL   GOES13 33.6 
2017SEP07 234500  4.6  975.7  79.6  4.6 4.6 3.8  MW     OFF  OFF  -67.86 -62.72  UNIFRM   NA   44.3   21.49   95.06  SPRL   GOES13 33.9 
2017SEP08 001500  4.8  971.8  84.8  4.8 4.8 3.3  MW     OFF  OFF  -58.86 -59.71  UNIFRM   NA   47.1   21.52   94.70  FCST   GOES13 33.6 
2017SEP08 004500  4.8  971.8  84.8  4.8 4.8 3.6  MW     OFF  OFF  -65.36 -60.37  UNIFRM   NA   47.1   21.51   94.72  FCST   GOES13 33.6 
2017SEP08 011500  4.8  971.9  84.8  4.8 4.8 4.0  MW     OFF  OFF  -67.06 -65.86  UNIFRM   NA   47.1   21.44   95.02  SPRL   GOES13 33.8 
2017SEP08 014500  4.8  971.9  84.8  4.8 4.8 4.1  MW     OFF  OFF  -58.16 -66.69  UNIFRM   NA   47.1   21.42   95.04  SPRL   GOES13 33.8 
2017SEP08 021500  4.8  971.9  84.8  4.8 4.8 5.6  MW     OFF  OFF  -36.16 -67.13  EYE    -99   47.1   21.47   95.02  SPRL   GOES13 33.8 
2017SEP08 024500  4.8  971.9  84.8  4.8 4.8 5.4  MW     OFF  OFF  -45.16 -66.50  EYE    -99   47.1   21.46   94.93  SPRL   GOES13 33.7 
2017SEP08 031500  4.9  969.9  87.4  4.9 5.6 5.6  MW OFF  OFF  -40.86 -66.78  EYE    -99   47.1   21.44   95.06  SPRL   GOES13 33.8 
2017SEP08 034500  4.9  969.9  87.4  4.8 4.3 4.3  none   ON  OFF  -52.16 -66.10  UNIFRM   NA   47.1   21.43   95.07  SPRL   GOES13 33.8 
2017SEP08 041500  4.9  970.0  87.4  4.8 4.8 4.8  none   ON  OFF  -50.66 -65.38  EMBC     NA   47.1   21.32   94.98  SPRL   GOES13 33.7 
2017SEP08 044500  4.9  969.9  87.4  4.7 4.3 4.3  none   ON  OFF  -57.76 -64.76  UNIFRM   NA   47.1   21.41   95.11  SPRL   GOES13 33.8 
2017SEP08 051500  4.9  969.9  87.4  4.7 4.3 4.2  0.5Thour  ON  OFF  -58.56 -63.10  UNIFRM   NA   47.1   21.49   95.13  SPRL   GOES13 33.9 
2017SEP08 054500  4.9  969.9  87.4  4.7 4.8 4.8  none   ON  OFF  -57.76 -62.51  EMBC     NA   47.1   21.43   95.20  FCST   GOES13 33.9 
2017SEP08 061500  4.9  970.0  87.4  4.6 4.2 4.1  0.5Thour  ON  FLG  -41.06 -59.92  UNIFRM   NA   47.1   21.27   95.17  SPRL   GOES13 33.8 
2017SEP08 064500  4.9  970.0  87.4  4.5 5.0 5.0  none   ON  OFF  -38.06 -59.09  EYE    -99   47.1   21.26   95.30  SPRL   GOES13 33.9 
2017SEP08 071500  4.9  970.0  87.4  4.6 5.0 5.0  none   ON  OFF  -29.56 -58.90  EYE    -99   47.1   21.25   95.32  SPRL   GOES13 33.9 
