=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2016OCT07 044500  4.7  975.1  82.2  4.6 4.2 3.8  0.5Thour  ON  OFF  -60.36 -63.13  UNIFRM   NA   15.0   27.15   64.92  SPRL   GOES13 33.6 
2016OCT07 051500  4.7  975.0  82.2  4.5 4.2 3.5  0.5Thour  ON  OFF  -63.76 -59.53  UNIFRM   NA   15.0   27.34   64.92  SPRL   GOES13 33.8 
2016OCT07 054500  4.7  974.9  82.2  4.4 4.1 2.9  0.5Thour  ON  FLG  -62.96 -49.60  RCDO   NA   15.0   27.39   65.20  FCST   GOES13 33.7 
2016OCT07 061500  4.7  973.9  82.2  4.3 4.0 2.9  0.5Thour  ON  FLG  -61.86 -49.83  RCDO   NA   15.0   27.39   65.20  FCST   GOES13 33.7 
2016OCT07 064500  4.7  973.9  82.2  4.2 4.0 2.9  0.7T6hr   ON  FLG  -59.96 -48.66  RCDO   NA   15.0   27.38   65.20  FCST   GOES13 33.7 
2016OCT07 071500  4.7  973.9  82.2  4.0 4.0 2.8  0.7T6hr   ON  FLG  -56.06 -47.71  RCDO   NA   15.0   27.38   65.20  FCST   GOES13 33.7 
2016OCT07 074500  4.7  973.9  82.2  4.0 4.0 2.6  0.7T6hr   ON  FLG  -56.46 -45.16  RCDO   NA    6.2   27.37   65.20  FCST   GOES13 33.7 
2016OCT07 081500  4.7  974.0  82.2  4.0 4.0 2.5  0.7T6hr   ON  FLG  -58.16 -43.00  RCDO   NA    6.2   27.32   65.20  FCST   GOES13 33.7 
2016OCT07 084500  4.7  974.0  82.2  4.0 4.0 2.5  0.7T6hr   ON  FLG  -54.06 -40.84  RCDO   NA    6.2   27.31   65.20  FCST   GOES13 33.6 
2016OCT07 091500  4.7  974.0  82.2  4.0 4.0 2.5  0.7T6hr   ON  FLG  -47.66 -39.90  RCDO   NA    6.2   27.29   65.20  FCST   GOES13 33.6 
2016OCT07 094500  4.7  974.0  82.2  4.0 4.0 2.7  0.7T6hr   ON  FLG  -35.86 -38.40  CRVBND   NA    6.2   27.28   65.20  FCST   GOES13 33.6 
2016OCT07 101500  4.7  974.0  82.2  4.0 4.0 2.7  0.7T6hr   ON  OFF  -35.86 -36.41  CRVBND   NA    6.2   27.26   65.20  FCST   GOES13 33.6 
2016OCT07 104500  4.6  975.9  79.6  3.9 3.9 2.5  0.7T6hr   ON  OFF  -39.36 -35.63  RCDO   NA    5.7   27.25   65.20  FCST   GOES13 33.6 
2016OCT07 111500  4.5  977.8  77.0  3.9 3.8 2.4  0.7T6hr   ON  OFF  -25.96 -33.53  CRVBND   NA    5.7   27.24   65.21  FCST   GOES13 33.6 
2016OCT07 114500  4.4  979.5  74.6  3.9 3.7 2.1  0.7T6hr   ON  OFF  -10.46 -31.52  CRVBND   NA    7.3   27.22   65.21  FCST   GOES13 33.6 
2016OCT07 121500  4.3  981.2  72.2  3.8 3.6 2.0  0.7T6hr   ON  OFF  -12.16 -29.61  CRVBND   NA    7.3   27.21   65.21  FCST   GOES13 33.5 
2016OCT07 124500  4.2  982.9  69.8  3.7 3.5 2.3  0.7T6hr   ON  OFF  -12.86 -28.06  CRVBND   NA    7.3   27.20   65.21  FCST   GOES13 33.5 
2016OCT07 131500  4.0  986.3  65.0  3.6 3.3 2.3  0.7T6hr   ON  FLG   -4.36 -25.09  CRVBND   NA    7.3   27.18   65.21  FCST   GOES13 33.5 
2016OCT07 134500  4.0  986.3  65.0  3.5 3.3 2.0  0.7T6hr   ON  FLG    0.04 -22.33  CRVBND   NA    7.3   27.16   65.21  FCST   GOES13 33.5 
2016OCT07 141500  4.0  986.1  65.0  3.4 3.1 2.2  0.5Thour  ON  FLG   13.74  -3.63  SHEAR    NA    7.3   27.53   65.29  FCST   GOES13 33.8 
2016OCT07 144500  4.0  986.1  65.0  3.3 3.0 2.2  0.5Thour  ON  FLG   12.94  -3.41  SHEAR    NA    7.3   27.51   65.30  FCST   GOES13 33.8 
2016OCT07 151500  4.0  986.1  65.0  3.2 3.0 2.2  1.0T6hr   ON  FLG   15.64  -1.75  SHEAR    NA    7.3   27.49   65.30  FCST   GOES13 33.8 
