=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2020JUL29 213000  3.8  985.0  61.0  3.6 3.3 2.3  0.5Thour  ON  OFF  -35.16 -43.85  CRVBND   NA   -3.5   16.45   65.73  FCST   GOES16 22.0 
2020JUL29 220000  3.8  985.0  61.0  3.5 3.2 2.6  0.5Thour  ON  OFF  -31.16 -37.17  CRVBND   NA   -3.5   16.51   65.86  FCST   GOES16 22.0 
2020JUL29 223000  3.8  984.9  61.0  3.4 3.1 2.3  0.5Thour  ON  OFF  -14.66 -34.74  CRVBND   NA   -3.5   16.56   65.99  FCST   GOES16 22.0 
2020JUL29 230000  3.8  984.9  61.0  3.3 3.0 2.0  0.5Thour  ON  FLG  -13.66 -33.90  CRVBND   NA   -1.2   16.62   66.13  FCST   GOES16 22.0 
2020JUL29 233000  3.8  984.9  61.0  3.2 2.9 2.1  0.5Thour  ON  FLG  -13.16 -33.55  CRVBND   NA   -1.2   16.68   66.27  FCST   GOES16 22.0 
2020JUL30 000000  3.8  984.9  61.0  3.0 2.8 2.1  0.5Thour  ON  FLG   -4.16 -32.00  CRVBND   NA   -1.2   16.74   66.41  FCST   GOES16 22.0 
2020JUL30 003000  3.8  984.9  61.0  2.9 2.8 2.3  0.7T6hr   ON  FLG    2.34 -31.69  CRVBND   NA   -1.2   16.80   66.55  FCST   GOES16 21.9 
2020JUL30 010000  3.8  985.0  61.0  2.9 2.9 2.2  0.7T6hr   ON  FLG    8.84 -31.06  CRVBND   NA   -1.2   16.34   66.56  FCST   GOES16 21.5 
2020JUL30 013000  3.8  985.0  61.0  2.9 3.0 2.3  0.7T6hr   ON  FLG    6.34 -35.56  CRVBND   NA   -1.2   16.41   66.68  FCST   GOES16 21.5 
2020JUL30 020000  3.8  983.2  61.0  2.9 3.1 2.3  0.7T6hr   ON  FLG  -17.66 -51.58  CRVBND   NA   -1.2   15.79   66.75  FCST   GOES16 20.8 
2020JUL30 023000  3.8  983.2  61.0  2.9 3.1 3.0  0.7T6hr   ON  OFF  -50.16 -56.38  UNIFRM   NA   -1.2   15.75   66.88  FCST   GOES16 20.7 
2020JUL30 030000  3.7  984.4  59.0  2.9 3.2 3.2  none   ON  OFF  -68.16 -60.28  UNIFRM   NA   -1.2   15.80   67.00  FCST   GOES16 20.7 
2020JUL30 033000  3.6  985.5  57.0  3.0 3.4 3.5  0.5Thour  ON  OFF  -68.16 -62.65  UNIFRM   NA   -1.2   15.86   67.12  FCST   GOES16 20.7 
2020JUL30 040000  3.5  986.6  55.0  3.2 3.4 3.7  0.5Thour  ON  OFF  -66.16 -63.34  UNIFRM   NA   -1.2   15.92   67.25  FCST   GOES16 20.7 
2020JUL30 043000  3.4  987.7  53.0  3.2 3.5 3.8  0.5Thour  ON  OFF  -63.16 -62.51  UNIFRM   NA   -1.2   16.00   67.37  FCST   GOES16 20.7 
2020JUL30 050000  3.3  988.7  51.0  3.3 3.7 3.9  0.5Thour  ON  OFF  -60.16 -60.18  UNIFRM   NA   -1.2   16.08   67.50  FCST   GOES16 20.7 
2020JUL30 053000  3.4  987.6  53.0  3.4 3.7 3.8  0.5Thour OFF  OFF  -55.16 -56.06  UNIFRM   NA   -1.2   16.17   67.62  FCST   GOES16 20.8 
