=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2021OCT23 150000  4.4  980.6  74.6  4.4 4.4 3.2  MW     OFF  OFF  -46.16 -54.16  UNIFRM   NA   23.2   14.70  101.50  FCST   GOES16 35.0 
2021OCT23 153000  4.4  980.6  74.6  4.4 4.4 3.2  MW     OFF  OFF  -52.16 -53.29  UNIFRM   NA   23.2   14.75  101.51  FCST   GOES16 35.0 
2021OCT23 160000  4.4  980.5  74.6  4.4 4.4 3.2  MW     OFF  OFF  -66.16 -54.32  UNIFRM   NA   23.2   14.79  101.52  FCST   GOES16 35.0 
2021OCT23 163000  4.4  980.5  74.6  4.4 4.4 3.2  MW     OFF  OFF  -62.16 -54.78  UNIFRM   NA   23.2   14.84  101.53  FCST   GOES16 35.1 
2021OCT23 170000  4.4  980.5  74.6  4.4 4.4 3.2  MW     OFF  OFF  -67.16 -55.07  UNIFRM   NA   23.2   14.88  101.54  FCST   GOES16 35.1 
2021OCT23 173000  4.5  978.8  77.0  4.5 4.5 3.3  MW     OFF  OFF  -68.16 -56.54  UNIFRM   NA   23.2   14.92  101.56  FCST   GOES16 35.1 
2021OCT23 180000  4.5  978.7  77.0  4.5 4.5 3.4  MW     OFF  OFF  -70.16 -57.52  UNIFRM   NA   23.2   14.97  101.58  FCST   GOES16 35.2 
2021OCT23 183000  4.5  978.7  77.0  4.5 4.5 3.4  MW     OFF  OFF  -71.16 -59.04  UNIFRM   NA   23.2   15.01  101.59  FCST   GOES16 35.2 
2021OCT23 190000  4.5  978.7  77.0  4.5 4.5 3.5  MW     OFF  OFF  -61.16 -61.61  UNIFRM   NA   23.2   15.05  101.61  FCST   GOES16 35.3 
2021OCT23 193000  4.5  978.7  77.0  4.5 4.5 3.7  MW     OFF  OFF  -73.16 -64.04  UNIFRM   NA   23.2   15.02  101.81  FCST   GOES16 35.4 
2021OCT23 200000  4.6  976.8  79.6  4.6 4.6 3.6  MW     OFF  OFF  -75.16 -64.52  UNIFRM   NA   23.2   15.03  101.76  FCST   GOES16 35.4 
2021OCT23 203000  4.6  976.7  79.6  4.6 4.6 4.3  MW     OFF  OFF  -74.16 -70.42  UNIFRM   NA   23.2   15.22  102.04  SPRL   GOES16 35.8 
2021OCT23 210000  4.6  976.8  79.6  4.6 4.6 4.2  MW     OFF  OFF  -73.16 -70.17  UNIFRM   NA   23.2   15.15  101.96  SPRL   GOES16 35.6 
2021OCT23 213000  4.6  976.7  79.6  4.6 4.6 4.4  MW     OFF  OFF  -74.16 -73.07  UNIFRM   NA   23.2   15.28  102.08  SPRL   GOES16 35.8 
2021OCT23 220000  4.6  976.8  79.6  4.6 4.6 4.4  MW   OFF  OFF  -78.16 -73.88  UNIFRM   NA   23.2   15.12  101.89  SPRL   GOES16 35.6 
2021OCT23 223000  4.6  976.2  79.6  4.6 4.6 4.1  MW   OFF  OFF  -60.16 -67.20  UNIFRM   NA   23.2   16.25  102.22  SPRL   GOES16 36.5 
2021OCT23 230000  4.6  976.8  79.6  4.6 4.6 4.6  MW   OFF  OFF  -79.16 -76.79  UNIFRM   NA   23.2   15.08  101.93  SPRL   GOES16 35.6 
2021OCT23 233000  4.6  976.8  79.6  4.6 4.6 4.7  MW     OFF  OFF  -78.16 -76.86  UNIFRM   NA   33.7   15.12  101.95  SPRL   GOES16 35.6 
2021OCT24 000000  4.7  974.9  82.2  4.7 4.7 4.6  MW     OFF  OFF  -75.16 -76.47  UNIFRM   NA   33.7   14.95  101.86  SPRL   GOES16 35.5 
2021OCT24 003000  4.7  974.9  82.2  4.7 4.7 4.5  MW     OFF  OFF  -79.16 -75.81  UNIFRM   NA   33.7   15.09  101.78  SPRL   GOES16 35.4 
2021OCT24 010000  4.7  974.9  82.2  4.7 4.7 4.6  MW   OFF  OFF  -78.16 -76.09  UNIFRM   NA   13.6   15.12  101.87  SPRL   GOES16 35.6 
2021OCT24 013000  4.7  974.8  82.2  4.7 4.7 4.8  MW   OFF  OFF  -76.16 -75.87  UNIFRM   NA   13.6   15.25  101.91  SPRL   GOES16 35.7 
2021OCT24 020000  4.7  974.7  82.2  4.7 4.7 4.7  MW   OFF  OFF  -71.16 -75.96  UNIFRM   NA   13.6   15.48  101.82  SPRL   GOES16 35.7 
2021OCT24 023000  4.7  974.8  82.2  4.7 4.7 4.8  MW   OFF  OFF  -75.16 -76.30  UNIFRM   NA   13.6   15.32  101.73  SPRL   GOES16 35.5 
2021OCT24 030000  4.7  974.8  82.2  4.7 4.7 4.7  MW   OFF  OFF  -75.16 -75.31  UNIFRM   NA   13.6   15.35  101.64  SPRL   GOES16 35.4 
2021OCT24 033000  4.7  974.7  82.2  4.7 4.7 4.6  MW   OFF  OFF  -76.16 -74.49  UNIFRM   NA   13.6   15.38  101.65  SPRL   GOES16 35.5 
2021OCT24 040000  4.7  974.7  82.2  4.7 4.7 4.6  MW   OFF  OFF  -76.16 -74.26  UNIFRM   NA   13.6   15.42  101.65  SPRL   GOES16 35.5 
2021OCT24 043000  4.7  974.7  82.2  4.7 4.7 4.6  MW   OFF  OFF  -77.16 -73.42  UNIFRM   NA   13.6   15.55  101.66  SPRL   GOES16 35.6 
2021OCT24 050000  4.7  974.7  82.2  4.7 4.7 4.6  MW   OFF  OFF  -74.16 -72.53  UNIFRM   NA   13.6   15.48  101.66  SPRL   GOES16 35.5 
2021OCT24 053000  4.7  974.7  82.2  4.7 4.7 4.5  MW   OFF  OFF  -72.16 -71.10  UNIFRM   NA   13.6   15.52  101.66  SPRL   GOES16 35.6 
2021OCT24 060000  4.7  974.7  82.2  4.7 4.7 4.4  MW   OFF  OFF  -72.16 -69.31  UNIFRM   NA   13.6   15.55  101.67  SPRL   GOES16 35.6 
2021OCT24 063000  4.7  974.7  82.2  4.7 4.7 4.1  MW OFF  OFF  -67.16 -66.15  UNIFRM   NA   13.6   15.53  102.03  FCST   GOES16 35.9 MW OFF HOLD >=6hrs old
2021OCT24 070000  4.7  974.6  82.2  4.6 4.2 4.1  0.5Thour  ON  OFF  -61.16 -65.28  UNIFRM   NA   13.6   15.56  102.03  FCST   GOES16 35.9 
2021OCT24 073000  4.7  974.7  82.2  4.5 4.2 4.1  0.5Thour  ON  OFF  -67.16 -65.37  UNIFRM   NA   13.6   15.40  101.70  FCST   GOES16 35.5 
2021OCT24 080000  4.7  974.7  82.2  4.4 4.1 4.1  none   ON  FLG  -73.16 -64.30  UNIFRM   NA   13.6   15.44  101.70  FCST   GOES16 35.5 
2021OCT24 083000  4.7  974.6  82.2  4.4 4.2 4.2  none   ON  FLG  -70.16 -63.43  UNIFRM   NA   13.6   15.56  101.70  FCST   GOES16 35.6 
2021OCT24 090000  4.7  974.6  82.2  4.3 4.1 4.1  none   ON  FLG  -71.16 -62.89  UNIFRM   NA   13.6   15.60  101.70  FCST   GOES16 35.6 
2021OCT24 093000  4.7  974.6  82.2  4.2 4.2 4.2  none   ON  FLG  -68.16 -64.12  UNIFRM   NA   13.6   15.64  101.70  FCST   GOES16 35.7 
2021OCT24 100000  4.7  974.6  82.2  4.1 4.1 4.1  none   ON  FLG  -70.16 -64.96  UNIFRM   NA   13.6   15.68  101.71  FCST   GOES16 35.7 
2021OCT24 103000  4.7  974.6  82.2  4.1 4.1 4.1  none   ON  FLG  -72.16 -65.60  UNIFRM   NA   13.6   15.72  101.71  FCST   GOES16 35.7 
2021OCT24 110000  4.7  974.6  82.2  4.1 4.1 4.1  none   ON  FLG  -68.16 -65.47  UNIFRM   NA   13.6   15.76  101.71  FCST   GOES16 35.7 
2021OCT24 113000  4.7  974.5  82.2  4.7 4.7 4.1  MW   ON  FLG  -64.16 -64.28  UNIFRM   NA   13.6   15.79  101.72  FCST   GOES16 35.8 MWinit1=4.14.14.7
2021OCT24 120000  4.7  974.5  82.2  4.7 4.7 4.0  MW   ON  FLG  -61.16 -62.66  UNIFRM   NA   13.6   15.83  101.72  FCST   GOES16 35.8 MWinit1=4.04.14.7
2021OCT24 123000  4.7  974.5  82.2  4.7 4.7 3.9  MW   ON  FLG  -66.16 -61.52  UNIFRM   NA   13.6   15.86  101.73  FCST   GOES16 35.8 MWinit1=4.04.04.7
2021OCT24 130000  4.7  974.5  82.2  4.7 4.7 3.7  MW   ON  OFF  -66.16 -59.75  UNIFRM   NA   13.6   15.96  101.69  FCST   GOES16 35.8 MWinit1=3.94.04.6
2021OCT24 133000  4.7  974.4  82.2  4.7 4.7 3.5  MW   ON  OFF  -64.16 -58.65  UNIFRM   NA    6.4   15.99  101.69  FCST   GOES16 35.8 MWinit1=3.84.04.5
2021OCT24 140000  4.7  974.4  82.2  4.7 4.7 3.5  MW   ON  FLG  -64.16 -59.88  UNIFRM   NA    6.4   16.03  101.69  FCST   GOES16 35.9 MWinit1=3.73.94.4
2021OCT24 143000  4.7  974.4  82.2  4.7 4.7 3.7  MW   ON  FLG  -64.16 -61.38  UNIFRM   NA    6.4   16.06  101.70  FCST   GOES16 35.9 MWinit1=3.73.84.4
2021OCT24 150000  4.7  974.4  82.2  4.7 4.7 3.8  MW   ON  FLG  -55.16 -63.42  UNIFRM   NA    6.4   16.10  101.70  FCST   GOES16 35.9 MWinit1=3.83.84.3
2021OCT24 153000  4.7  974.4  82.2  4.7 4.7 3.8  MW   ON  FLG  -53.16 -65.37  UNIFRM   NA    6.4   16.14  101.70  FCST   GOES16 35.9 MWinit1=3.83.84.2
2021OCT24 160000  4.7  974.3  82.2  4.7 4.7 3.7  MW   ON  FLG  -52.16 -66.32  UNIFRM   NA    6.4   16.18  101.71  FCST   GOES16 36.0 MWinit1=3.73.74.1
2021OCT24 163000  4.7  974.3  82.2  4.7 4.7 3.7  MW   ON  FLG  -48.16 -66.83  UNIFRM   NA    6.4   16.22  101.72  FCST   GOES16 36.0 MWinit1=3.73.74.1
2021OCT24 170000  4.7  974.3  82.2  4.7 4.7 3.8  MW   ON  FLG  -44.16 -67.24  UNIFRM   NA    6.4   16.26  101.73  FCST   GOES16 36.0 MWinit1=3.83.74.1
2021OCT24 173000  4.7  974.3  82.2  4.7 4.7 3.8  MW   ON  OFF  -43.16 -67.07  UNIFRM   NA    6.4   16.30  101.73  FCST   GOES16 36.1 MWinit1=3.83.74.1
2021OCT24 180000  4.7  974.3  82.2  4.7 4.7 3.9  MW   ON  OFF  -38.16 -67.24  UNIFRM   NA    6.4   16.34  101.74  FCST   GOES16 36.1 MWinit1=3.93.74.1
2021OCT24 183000  4.7  974.3  82.2  4.7 4.7 3.8  MW   ON  OFF  -37.16 -66.40  UNIFRM   NA    6.4   16.38  101.75  FCST   GOES16 36.1 MWinit1=3.83.74.0
2021OCT24 190000  4.7  974.4  82.2  4.7 4.7 3.9  MW   ON  OFF  -55.16 -68.02  UNIFRM   NA    6.4   16.08  101.60  FCST   GOES16 35.8 MWinit1=3.93.84.0
2021OCT24 193000  4.7  974.4  82.2  4.7 4.7 3.9  MW   ON  OFF  -49.16 -66.93  UNIFRM   NA    6.4   16.16  101.66  FCST   GOES16 35.9 MWinit1=3.93.84.0
2021OCT24 200000  4.7  974.3  82.2  4.7 4.7 3.9  MW   ON  OFF  -50.16 -66.19  UNIFRM   NA    6.4   16.20  101.67  FCST   GOES16 35.9 MWinit1=3.93.83.9
2021OCT24 203000  4.7  974.3  82.2  4.7 4.7 3.8  MW   ON  OFF  -51.16 -66.56  EMBC     NA    6.4   16.25  101.69  FCST   GOES16 36.0 MWinit1=3.83.83.8
2021OCT24 210000  4.7  974.3  82.2  4.7 4.7 3.7  MW  OFF  OFF  -74.16 -67.52  UNIFRM   NA    6.4   16.30  101.70  FCST   GOES16 36.0 MWinit1=3.73.83.8
2021OCT24 213000  4.7  974.3  82.2  4.7 4.7 3.7  MW  OFF  OFF  -78.16 -68.55  UNIFRM   NA    6.4   16.35  101.71  FCST   GOES16 36.1 MWinit1=3.73.83.8
2021OCT24 220000  4.7  974.2  82.2  4.7 4.7 3.8  MW  OFF  OFF  -77.16 -69.42  UNIFRM   NA    6.4   16.39  101.72  FCST   GOES16 36.1 MWinit1=3.83.83.8
2021OCT24 223000  4.7  974.2  82.2  4.7 4.7 3.8  MW  OFF  OFF  -75.16 -70.34  UNIFRM   NA    6.4   16.44  101.73  FCST   GOES16 36.1 MWinit1=3.83.83.8
2021OCT24 230000  4.7  974.2  82.2  4.7 4.7 3.8  MW     OFF  OFF  -74.16 -70.74  UNIFRM   NA   50.0   16.48  101.74  FCST   GOES16 36.2 
2021OCT24 233000  4.7  973.9  82.2  4.7 4.7 3.9  MW     OFF  OFF  -67.16 -67.72  UNIFRM   NA   50.0   17.08  101.70  SPRL   GOES16 36.5 
2021OCT25 000000  4.7  974.1  82.2  4.7 4.7 4.5  MW     OFF  OFF  -72.16 -74.59  UNIFRM   NA   50.0   16.62  101.40  SPRL   GOES16 35.9 
2021OCT25 003000  4.7  974.1  82.2  4.7 4.7 4.4  MW     OFF  OFF  -70.16 -74.25  UNIFRM   NA   50.0   16.76  101.41  SPRL   GOES16 36.0 
2021OCT25 010000  4.7  974.1  82.2  4.7 4.7 4.5  MW     OFF  OFF  -74.16 -74.95  UNIFRM   NA   50.0   16.75  101.33  SPRL   GOES16 35.9 
2021OCT25 013000  4.7  974.0  82.2  4.7 4.7 4.9  MW     OFF  OFF  -70.16 -73.76  EMBC     NA   50.0   16.90  101.43  SPRL   GOES16 36.1 
2021OCT25 020000  4.7  974.1  82.2  4.7 4.7 4.5  MW     OFF  OFF  -76.16 -73.58  UNIFRM   NA   50.0   16.75  101.54  SPRL   GOES16 36.1 
2021OCT25 023000  4.7  974.1  82.2  4.7 4.7 4.5  MW     OFF  OFF  -78.16 -73.77  UNIFRM   NA   50.0   16.80  101.54  SPRL   GOES16 36.2 
2021OCT25 030000  4.7  974.1  82.2  4.7 4.7 4.6  MW     OFF  OFF  -77.16 -74.50  UNIFRM   NA   50.0   16.75  101.55  SPRL   GOES16 36.1 
2021OCT25 033000  4.7  974.0  82.2  4.7 4.7 4.5  MW     OFF  OFF  -76.16 -74.23  UNIFRM   NA   50.0   16.90  101.56  SPRL   GOES16 36.2 
2021OCT25 040000  4.7  974.0  82.2  4.7 4.7 4.5  MW     OFF  OFF  -78.16 -74.15  UNIFRM   NA   50.0   16.85  101.67  SPRL   GOES16 36.3 
2021OCT25 043000  4.7  974.0  82.2  4.7 4.7 4.5  MW     OFF  OFF  -78.16 -74.05  UNIFRM   NA   50.0   17.00  101.58  SPRL   GOES16 36.3 
2021OCT25 050000  4.8  972.0  84.8  4.8 4.8 4.5  MW     OFF  OFF  -77.16 -74.98  UNIFRM   NA   50.0   17.05  101.59  SPRL   GOES16 36.3 
2021OCT25 053000  4.8  972.0  84.8  4.8 4.8 4.7  MW     OFF  OFF  -74.16 -75.33  UNIFRM   NA   50.0   17.06  101.65  FCST   GOES16 36.4 
2021OCT25 060000  4.8  972.0  84.8  4.8 4.8 5.2  MW     OFF  OFF  -71.16 -75.09  EMBC     NA   50.0   17.06  101.72  SPRL   GOES16 36.5 
2021OCT25 063000  4.8  971.9  84.8  4.8 4.8 4.8  MW     OFF  OFF  -71.16 -75.23  UNIFRM   NA   50.0   17.16  101.69  FCST   GOES16 36.5 
2021OCT25 070000  4.8  971.9  84.8  4.8 4.8 4.7  MW     OFF  OFF  -68.16 -75.35  UNIFRM   NA   50.0   17.21  101.70  FCST   GOES16 36.5 
2021OCT25 073000  4.8  971.9  84.8  4.8 4.8 4.7  MW   OFF  OFF  -70.16 -75.00  UNIFRM   NA   50.0   17.35  101.69  SPRL   GOES16 36.6 
2021OCT25 080000  4.8  972.1  84.8  4.8 4.8 4.7  MW   OFF  OFF  -77.16 -76.39  UNIFRM   NA   50.0   16.82  101.60  SPRL   GOES16 36.2 
2021OCT25 083000  4.8  971.7  84.8  4.8 4.8 5.0  MW   OFF  OFF  -67.16 -74.18  EMBC     NA   50.0   17.62  101.87  FCST   GOES16 36.9 
2021OCT25 090000  4.8  971.7  84.8  4.8 4.8 5.0  MW   OFF  OFF  -70.16 -74.90  EMBC     NA   50.0   17.70  101.90  FCST   GOES16 37.0 
2021OCT25 093000  4.8  971.6  84.8  4.8 4.8 4.5  MW   OFF  OFF  -73.16 -75.33  UNIFRM   NA   50.0   17.77  101.93  FCST   GOES16 37.1 
2021OCT25 100000  4.8  971.6  84.8  4.8 4.8 4.5  MW   OFF  OFF  -71.16 -75.01  UNIFRM   NA   50.0   17.84  101.96  FCST   GOES16 37.1 
2021OCT25 103000  4.8  971.6  84.8  4.8 4.8 5.0  MW   OFF  OFF  -69.16 -74.81  EMBC     NA   50.0   17.91  101.98  FCST   GOES16 37.2 

