=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2021SEP02 013000  4.1  990.6  67.4  4.1 4.1 3.1  MW   ON  OFF   -0.84 -49.29  RCDO   NA   -0.0   12.67   30.65  SPRL    OTHER 38.3 MWinit1=3.13.23.8
2021SEP02 020000  4.2  989.0  69.8  4.2 4.2 3.4  MW   ON  OFF  -56.03 -50.82  UNIFRM   NA   -0.0   12.60   30.27  SPRL    OTHER 37.8 MWinit1=3.43.23.7
2021SEP02 023000  4.2  988.9  69.8  4.2 4.2 3.3  MW   ON  OFF  -15.93 -48.88  RCDO   NA   -0.0   12.73   30.72  SPRL    OTHER 38.3 MWinit1=3.33.23.6
2021SEP02 030000  4.2  988.9  69.8  4.2 4.2 3.5  MW   ON  OFF   -6.59 -51.92  UNIFRM   NA   -0.0   12.85   30.85  SPRL    OTHER 38.5 MWinit1=3.53.23.4
2021SEP02 033000  4.2  988.9  69.8  4.2 4.2 3.8  MW   ON  OFF  -21.65 -58.04  UNIFRM   NA   -0.0   12.87   30.88  SPRL    OTHER 38.6 MWinit1=3.73.33.4
2021SEP02 040000  4.2  988.9  69.8  4.2 4.2 3.8  MW  OFF  OFF  -65.40 -58.78  UNIFRM   NA   -0.0   12.69   31.12  SPRL    OTHER 38.7 MWinit1=3.73.43.4
2021SEP02 043000  4.3  987.3  72.2  4.3 4.3 3.9  MW  OFF  OFF  -66.71 -62.32  UNIFRM   NA   -0.0   12.61   31.15  SPRL    OTHER 38.7 MWinit1=3.83.53.5
2021SEP02 050000  4.3  987.2  72.2  4.3 4.3 3.9  MW  OFF  OFF  -73.39 -63.27  UNIFRM   NA   -0.0   12.72   31.28  SPRL    OTHER 38.9 MWinit1=3.93.63.6
2021SEP02 053000  4.3  987.2  72.2  4.3 4.3 3.9  MW  OFF  OFF  -72.87 -63.95  UNIFRM   NA   -0.0   12.84   31.41  SPRL    OTHER 39.1 MWinit1=3.93.73.7
2021SEP02 060000  4.3  987.1  72.2  4.3 4.3 3.9  MW  OFF  OFF  -59.72 -64.19  UNIFRM   NA   -0.0   13.05   31.24  SPRL    OTHER 39.0 MWinit1=3.93.73.7
2021SEP02 063000  4.3  985.1  72.2  4.3 4.3 3.7  MW     OFF  OFF  -69.92 -63.35  UNIFRM   NA   30.3   13.06   31.58  SPRL    OTHER 39.4 
2021SEP02 070000  4.3  985.1  72.2  4.3 4.3 3.7  MW     OFF  OFF  -67.16 -63.64  UNIFRM   NA   30.3   13.07   31.81  SPRL    OTHER 39.6 
2021SEP02 073000  4.4  983.4  74.6  4.4 4.4 4.0  MW     OFF  OFF  -73.39 -65.22  UNIFRM   NA   30.3   13.10   31.75  SPRL    OTHER 39.6 
2021SEP02 080000  4.4  983.4  74.6  4.4 4.4 4.0  MW     OFF  OFF  -67.16 -64.32  UNIFRM   NA   30.3   13.11   31.88  SPRL    OTHER 39.7 
2021SEP02 083000  4.4  983.3  74.6  4.4 4.4 4.0  MW     OFF  OFF  -66.71 -64.48  UNIFRM   NA   30.3   13.13   32.01  SPRL    OTHER 39.8 
2021SEP02 090000  4.4  983.4  74.6  4.4 4.4 3.9  MW     OFF  OFF  -70.88 -63.75  UNIFRM   NA   30.3   13.00   32.30  FCST    OTHER 40.1 
2021SEP02 093000  4.4  983.4  74.6  4.4 4.4 3.9  MW     OFF  OFF  -62.07 -63.36  UNIFRM   NA   30.3   13.02   32.43  FCST    OTHER 40.2 
2021SEP02 100000  4.5  981.7  77.0  4.5 4.5 3.8  MW     OFF  OFF  -45.69 -61.24  UNIFRM   NA   30.3   13.04   32.57  FCST    OTHER 40.4 
2021SEP02 103000  4.5  981.7  77.0  4.5 4.5 5.3  MW     OFF  OFF  -27.63 -61.53  EYE    -99   30.3   13.06   32.70  FCST    OTHER 40.5 
2021SEP02 110000  4.5  981.6  77.0  4.5 4.5 5.2  MW     OFF  OFF  -28.98 -60.76  EYE    -99   30.3   13.08   32.83  FCST    OTHER 40.7 
2021SEP02 113000  4.5  981.6  77.0  4.5 4.5 3.6  MW     OFF  OFF  -39.52 -59.79  UNIFRM   NA   30.3   13.10   32.97  FCST    OTHER 40.8 
2021SEP02 120000  4.5  982.1  77.0  4.5 4.5 3.4  MW     OFF  OFF  -51.92 -51.52  UNIFRM   NA   30.3   12.07   32.94  SPRL    OTHER 40.4 
2021SEP02 123000  4.6  980.1  79.6  4.6 4.6 3.7  MW     OFF  OFF  -50.94 -52.08  UNIFRM   NA   30.3   12.39   33.08  SPRL    OTHER 40.7 
2021SEP02 130000  4.6  979.8  79.6  4.6 4.6 5.6  MW     OFF  OFF   -5.75 -61.58  EYE     31   30.3   12.72   33.52  SPRL    OTHER 41.3 
2021SEP02 133000  4.6  979.6  79.6  4.6 4.6 5.2  MW     OFF  OFF   -9.71 -64.28  EYEL   39   30.3   13.10   33.64  SPRL    OTHER 41.5 
2021SEP02 140000  4.6  979.5  79.6  4.6 4.6 3.9  MW     OFF  OFF  -45.10 -64.05  UNIFRM   NA   30.3   13.44   33.93  FCST    OTHER 41.9 
2021SEP02 143000  4.6  979.5  79.6  4.6 4.6 4.0  MW   OFF  OFF  -53.93 -62.96  UNIFRM   NA   30.3   13.47   34.06  FCST    OTHER 42.1 
2021SEP02 150000  4.6  979.4  79.6  4.6 4.6 4.1  MW   OFF  OFF  -56.39 -62.50  UNIFRM   NA   30.3   13.50   34.20  FCST    OTHER 42.3 
2021SEP02 153000  4.6  979.4  79.6  4.6 4.6 4.1  MW   OFF  OFF  -57.84 -61.43  UNIFRM   NA   30.3   13.53   34.34  FCST    OTHER 42.4 
2021SEP02 160000  4.6  979.4  79.6  4.6 4.6 4.2  MW   OFF  OFF  -63.29 -65.62  UNIFRM   NA   30.3   13.55   34.48  FCST    OTHER 42.6 
2021SEP02 163000  4.6  979.4  79.6  4.6 4.6 4.3  MW   OFF  OFF  -62.48 -66.58  UNIFRM   NA   30.3   13.57   34.61  FCST    OTHER 42.7 
2021SEP02 170000  4.6  979.4  79.6  4.6 4.6 4.3  MW   OFF  OFF  -62.07 -67.31  UNIFRM   NA   30.3   13.59   34.75  FCST    OTHER 42.9 
2021SEP02 173000  4.6  979.4  79.6  4.6 4.6 4.3  MW   OFF  OFF  -70.16 -69.07  UNIFRM   NA   30.3   13.61   34.89  FCST   GOES16 48.4 
