=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2018SEP22 013000  2.0 1011.0  30.0  2.0 2.0 2.0  none  OFF  OFF   19.84  -6.29  SHEAR    NA    NA   13.04   53.29  FCST   GOES16 29.4 
2018SEP22 020000  2.1 1011.0  31.0  2.1 2.2 2.5  0.2Thour OFF  OFF   18.34  -7.33  SHEAR    NA    NA   13.06   53.32  FCST   GOES16 29.3 
2018SEP22 023000  2.1 1011.0  31.0  2.1 2.2 2.5  0.2Thour OFF  OFF   16.34  -9.28  SHEAR    NA    NA   13.08   53.36  FCST   GOES16 29.3 
2018SEP22 030000  2.2 1011.7  32.0  2.2 2.4 2.5  0.2Thour OFF  OFF   18.34 -10.35  SHEAR    NA    NA   13.10   53.40  FCST   GOES16 29.3 
2018SEP22 033000  2.2 1011.7  32.0  2.2 2.4 2.5  0.2Thour OFF  OFF   15.34  -9.48  SHEAR    NA    NA   13.12   53.44  FCST   GOES16 29.3 
2018SEP22 040000  2.2 1011.7  32.0  2.2 2.5 2.5  none  OFF  OFF   18.34  -8.69  SHEAR    NA    NA   13.14   53.48  FCST   GOES16 29.2 
2018SEP22 043000  2.3 1011.1  33.0  2.3 2.5 2.5  none  OFF  OFF   18.84  -7.82  SHEAR    NA    NA   13.16   53.52  FCST   GOES16 29.2 
2018SEP22 050000  2.3 1011.1  33.0  2.3 2.4 2.4  none  OFF  OFF   18.84  -4.03  SHEAR    NA    NA   13.19   53.57  FCST   GOES16 29.2 
2018SEP22 053000  2.4 1010.5  34.0  2.4 2.4 2.4  none  OFF  OFF   17.84  -1.48  SHEAR    NA    NA   13.21   53.61  FCST   GOES16 29.2 
2018SEP22 060000  2.4 1010.5  34.0  2.4 2.3 2.3  none  OFF  OFF   18.84   1.71  SHEAR    NA    NA   13.23   53.66  FCST   GOES16 29.1 
2018SEP22 063000  2.4 1010.5  34.0  2.3 2.2 1.5  0.2Thour  ON  OFF   18.34   3.47  SHEAR    NA    NA   13.25   53.70  FCST   GOES16 29.1 
2018SEP22 070000  2.4 1010.6  34.0  2.3 2.1 1.5  0.2Thour  ON  OFF   18.84  -2.49  SHEAR    NA    NA   13.03   53.58  FCST   GOES16 29.1 
2018SEP22 073000  2.4 1010.5  34.0  2.2 2.0 1.5  0.2Thour  ON  OFF   17.34  -2.73  SHEAR    NA    NA   13.05   53.54  FCST   GOES16 29.1 
2018SEP22 080000  2.4 1010.5  34.0  2.2 2.2 2.2  none   ON  OFF   16.84  -0.95  SHEAR    NA    NA   13.07   53.56  FCST   GOES16 29.1 
2018SEP22 083000  2.4 1010.6  34.0  2.2 2.3 2.3  none   ON  OFF   17.34  -2.32  SHEAR    NA    NA   12.99   53.48  FCST   GOES16 29.2 
2018SEP22 090000  2.4 1010.6  34.0  2.2 2.3 2.3  none   ON  OFF   17.84  -0.64  SHEAR    NA    NA   13.00   53.50  FCST   GOES16 29.1 
2018SEP22 093000  2.4 1010.6  34.0  2.1 1.7 1.5  0.5Thour  ON  FLG   15.84  -0.23  SHEAR    NA    NA   13.01   53.52  FCST   GOES16 29.1 
2018SEP22 100000  2.4 1010.6  34.0  2.0 1.7 1.5  0.5Thour  ON  FLG   15.84   1.31  SHEAR    NA   -0.4   13.02   53.55  FCST   GOES16 29.1 
2018SEP22 103000  2.4 1010.6  34.0  1.9 1.6 1.5  0.5Thour  ON  FLG   15.34   3.22  SHEAR    NA   -1.6   13.03   53.57  FCST   GOES16 29.1 
2018SEP22 110000  2.4 1010.6  34.0  1.9 1.5 1.5  none   ON  FLG   17.84   5.28  SHEAR    NA   -1.6   13.04   53.61  FCST   GOES16 29.1 
2018SEP22 113000  2.4 1010.5  34.0  1.8 1.5 1.5  none   ON  FLG   17.34   6.13  SHEAR    NA   -1.6   13.06   53.64  FCST   GOES16 29.0 
2018SEP22 120000  2.4 1010.5  34.0  1.6 1.5 1.5  none   ON  FLG   18.84   5.39  SHEAR    NA   -1.6   13.07   53.68  FCST   GOES16 29.0 
2018SEP22 123000  2.3 1010.1  33.0  1.5 1.5 1.5  none   ON  FLG   17.34   4.91  SHEAR    NA   -1.6   13.19   53.63  FCST   GOES16 29.1 
2018SEP22 130000  2.3 1010.1  33.0  1.5 1.5 1.5  none   ON  FLG   18.34   4.95  SHEAR    NA   -1.6   13.19   53.67  FCST   GOES16 29.1 
2018SEP22 133000  2.2 1010.6  32.0  1.5 1.5 1.5  none   ON  FLG   16.34   5.05  SHEAR    NA   -1.6   13.18   53.70  FCST   GOES16 29.1 
