=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2021JUN19 050000  3.8  988.1  61.0  3.8 3.8 3.8  MW   ON  OFF  -57.16 -61.96  UNIFRM   NA   -6.4   16.57  102.97  FCST   GOES16 37.4 MWinit1=3.22.83.5
2021JUN19 053000  3.9  986.7  63.0  3.9 3.9 3.8  MW   ON  OFF  -62.16 -63.96  UNIFRM   NA   -6.4   16.63  103.01  FCST   GOES16 37.5 MWinit1=3.22.93.5
2021JUN19 060000  3.9  986.7  63.0  3.9 3.9 3.8  MW   ON  OFF  -63.16 -65.48  UNIFRM   NA   -6.4   16.70  103.06  FCST   GOES16 37.5 MWinit1=3.32.93.5
2021JUN19 063000  3.9  986.6  63.0  3.9 3.9 3.9  MW   ON  OFF  -66.16 -67.57  UNIFRM   NA   -6.4   16.77  103.10  FCST   GOES16 37.6 MWinit1=3.43.13.3
2021JUN19 070000  4.0  985.2  65.0  4.0 4.0 4.0  MW   ON  OFF  -64.16 -70.20  UNIFRM   NA   -6.4   16.84  103.15  FCST   GOES16 37.7 MWinit1=3.43.13.3
2021JUN19 073000  4.0  985.3  65.0  4.0 4.0 3.9  MW   ON  OFF  -39.16 -69.79  UNIFRM   NA   -6.4   16.81  102.98  FCST   GOES16 37.5 MWinit1=3.63.23.2
2021JUN19 080000  4.0  985.2  65.0  4.0 4.0 3.9  MW  OFF  OFF  -55.16 -70.30  UNIFRM   NA   -6.4   16.88  103.01  FCST   GOES16 37.6 MWinit1=3.63.43.4
2021JUN19 083000  4.1  983.6  67.4  4.1 4.1 4.0  MW  OFF  OFF  -65.16 -72.38  UNIFRM   NA   -6.4   16.93  103.07  FCST   GOES16 37.7 MWinit1=3.63.43.4
2021JUN19 090000  4.1  983.5  67.4  4.1 4.1 4.1  MW  OFF  OFF  -73.16 -73.04  UNIFRM   NA   -6.4   17.00  103.10  FCST   GOES16 37.7 MWinit1=3.53.43.4
2021JUN19 093000  4.1  983.5  67.4  4.1 4.1 4.1  MW  OFF  OFF  -75.16 -72.76  UNIFRM   NA   -6.4   17.07  103.13  FCST   GOES16 37.8 MWinit1=3.53.53.5
2021JUN19 100000  4.2  981.8  69.8  4.2 4.2 4.2  MW  OFF  OFF  -69.16 -72.69  UNIFRM   NA   -6.4   17.15  103.16  FCST   GOES16 37.9 MWinit1=3.43.53.5
2021JUN19 103000  4.2  981.7  69.8  4.2 4.2 4.3  MW  OFF  OFF  -67.16 -72.46  UNIFRM   NA   -6.4   17.23  103.19  FCST   GOES16 38.0 MWinit1=3.43.53.5
2021JUN19 110000  4.2  981.7  69.8  4.2 4.2 4.4  MW  OFF  OFF  -64.16 -71.97  UNIFRM   NA   -6.4   17.31  103.22  FCST   GOES16 38.0 MWinit1=3.53.53.5
2021JUN19 113000  4.3  980.0  72.2  4.3 4.3 4.4  MW  OFF  OFF  -58.16 -71.31  EMBC     NA   -6.4   17.39  103.25  FCST   GOES16 38.1 MWinit1=3.63.53.5
2021JUN19 120000  4.3  980.0  72.2  4.3 4.3 4.2  MW     OFF  OFF  -61.16 -70.92  UNIFRM   NA   50.5   17.47  103.28  FCST   GOES16 38.2 
2021JUN19 123000  4.3  979.9  72.2  4.3 4.3 4.3  MW     OFF  OFF  -63.16 -70.84  UNIFRM   NA   50.5   17.56  103.30  FCST   GOES16 38.2 
2021JUN19 130000  4.4  976.9  74.6  4.4 4.4 4.0  MW     OFF  OFF  -33.16 -67.16  EMBC     NA   50.5   18.26  103.57  FCST   GOES16 38.9 
2021JUN19 133000  4.4  976.8  74.6  4.4 4.4 4.1  MW     OFF  OFF  -55.16 -66.66  UNIFRM   NA   50.5   18.35  103.60  FCST   GOES16 39.0 
2021JUN19 140000  4.4  976.8  74.6  4.4 4.4 4.3  MW     OFF  OFF  -67.16 -68.40  UNIFRM   NA   50.5   18.35  103.64  FCST   GOES16 39.0 
2021JUN19 143000  4.4  976.8  74.6  4.4 4.4 4.3  MW     OFF  OFF  -66.16 -67.88  UNIFRM   NA   50.5   18.47  103.67  FCST   GOES16 39.1 
2021JUN19 150000  4.4  976.7  74.6  4.4 4.4 4.3  MW     OFF  OFF  -65.16 -66.45  UNIFRM   NA   50.5   18.60  103.70  FCST   GOES16 39.2 

