                  --------Intensity------- -Tno Values-- ---TnoCI Rules---  -Temperature-                 
           Time        FinalMSLPLatVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   Storm Location  Fix
   Date    (UTC)   CI  MSLP BiasAdj(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)     Lat     Lon    Mthd   Comments
2012JUL04 090000  2.0 1009.0  +0.0  30.0  2.0 2.0 2.0  none  OFF  OFF  -66.26 -59.68  UNIFRM   NA    12.30  105.50   FCST   
2012JUL04 093000  2.0 1009.0  +0.0  30.0  2.0 2.0 2.0  none  OFF  OFF  -66.66 -59.45  UNIFRM   NA    12.34  105.57   FCST   
2012JUL04 100000  2.0 1009.0  +0.0  30.0  1.9 1.9 1.9  0.1Thour  ON  OFF  -65.76 -58.17  UNIFRM   NA    12.38  105.65   FCST   
2012JUL04 103000  2.0 1009.0  +0.0  30.0  1.9 1.9 1.8  0.1Thour  ON  OFF  -61.86 -56.19  UNIFRM   NA    12.42  105.72   FCST   
2012JUL04 110000  2.0 1009.0  +0.0  30.0  1.9 1.9 1.7  0.1Thour  ON  OFF  -58.96 -53.75  UNIFRM   NA    12.46  105.79   FCST   
2012JUL04 113000  2.0 1009.0  +0.0  30.0  1.9 1.9 1.6  0.1Thour  ON  OFF  -55.16 -50.73  UNIFRM   NA    12.50  105.86   FCST   
2012JUL04 120000  2.0 1009.0  +0.0  30.0  1.9 2.0 3.2  0.1Thour  ON  OFF  -46.16 -47.74  CRVBND   NA    12.54  105.94   FCST   
2012JUL04 123000  2.0 1009.0  +0.0  30.0  1.9 2.0 2.7  0.1Thour  ON  OFF  -41.26 -44.09  CRVBND   NA    12.58  106.01   FCST   
2012JUL04 130000  2.0 1009.0  +0.0  30.0  1.9 2.0 2.5  0.1Thour  ON  OFF  -29.36 -39.27  CRVBND   NA    12.62  106.08   FCST   
2012JUL04 133000  2.0 1009.0  +0.0  30.0  1.9 2.0 2.5  0.1Thour  ON  OFF  -17.56 -35.63  CRVBND   NA    12.66  106.15   FCST   
2012JUL04 140000  2.0 1009.0  +0.0  30.0  1.9 2.1 2.5  0.1Thour  ON  OFF  -15.76 -34.38  CRVBND   NA    12.70  106.22   FCST   
2012JUL04 143000  2.0 1009.0  +0.0  30.0  2.0 2.1 2.5  0.1Thour OFF  OFF  -14.56 -33.17  CRVBND   NA    12.74  106.30   FCST   
2012JUL04 150000  2.0 1009.0  +0.0  30.0  2.0 2.1 2.5  0.1Thour OFF  OFF    1.34 -32.47  CRVBND   NA    13.10  107.10   FCST   
2012JUL04 153000  2.0 1009.0  +0.0  30.0  2.0 2.4 2.5  0.5Thour OFF  OFF  -12.76 -31.48  CRVBND   NA    13.14  107.17   FCST   
2012JUL04 160000  2.1 1008.2  +0.0  31.0  2.1 2.4 2.9  0.5Thour OFF  OFF  -27.66 -31.20  CRVBND   NA    13.19  107.23   FCST   
2012JUL04 163000  2.2 1007.4  +0.0  32.0  2.2 2.5 3.4  0.5Thour OFF  OFF  -18.46 -32.55  CRVBND   NA    13.23  107.30   FCST   
2012JUL04 170000  2.2 1007.4  +0.0  32.0  2.2 2.5 2.9  0.5Thour OFF  OFF   -8.16 -35.27  CRVBND   NA    13.27  107.37   FCST   
2012JUL04 173000  2.3 1006.6  +0.0  33.0  2.3 2.5 3.2  0.5Thour OFF  OFF   -8.96 -39.05  CRVBND   NA    13.32  107.44   FCST   
2012JUL04 180000  2.4 1005.8  +0.0  34.0  2.4 2.6 3.0  0.5Thour OFF  OFF  -18.86 -42.42  CRVBND   NA    13.36  107.51   FCST   
2012JUL04 183000  2.5 1005.0  +0.0  35.0  2.5 2.6 3.4  0.7T6hr  OFF  OFF  -53.26 -44.91  CRVBND   NA    13.40  107.58   FCST   
2012JUL04 190000  2.5 1005.0  +0.0  35.0  2.5 2.6 4.4  0.7T6hr  OFF  OFF  -70.96 -49.20  CRVBND   NA    13.44  107.65   FCST   
2012JUL04 193000  2.5 1005.0  +0.0  35.0  2.5 2.6 2.6  none  OFF  OFF  -70.96 -55.25  UNIFRM   NA    13.48  107.72   FCST   
2012JUL04 200000  2.5 1005.0  +0.0  35.0  2.5 2.6 3.0  0.7T6hr  OFF  OFF  -71.46 -61.18  UNIFRM   NA    13.52  107.79   FCST   
2012JUL04 203000  2.5 1005.0  +0.0  35.0  2.5 2.7 3.1  0.7T6hr  OFF  OFF  -71.46 -62.66  UNIFRM   NA    13.55  107.87   FCST   
2012JUL04 210000  2.6 1004.0  +0.0  37.0  2.6 2.7 3.4  0.7T6hr  OFF  OFF  -69.66 -63.71  UNIFRM   NA    13.50  107.80   FCST   
2012JUL04 213000  2.6 1004.0  +0.0  37.0  2.6 2.7 3.5  0.7T6hr  OFF  OFF  -67.86 -62.17  UNIFRM   NA    13.53  107.88   FCST   
2012JUL04 220000  2.6 1004.0  +0.0  37.0  2.6 2.8 3.4  0.7T6hr  OFF  OFF  -66.66 -60.19  UNIFRM   NA    13.56  107.97   FCST   
2012JUL04 223000  2.7 1003.0  +0.0  39.0  2.7 2.9 3.3  0.7T6hr  OFF  OFF  -63.76 -58.67  UNIFRM   NA    13.59  108.05   FCST   
2012JUL04 230000  2.7 1003.0  +0.0  39.0  2.7 2.9 3.4  0.7T6hr  OFF  OFF  -63.46 -57.63  UNIFRM   NA    13.62  108.13   FCST   
2012JUL04 233000  2.8 1002.0  +0.0  41.0  2.8 3.0 3.2  0.7T6hr  OFF  OFF  -62.26 -57.45  UNIFRM   NA    13.65  108.22   FCST   
2012JUL05 000000  2.8 1002.0  +0.0  41.0  2.8 3.1 3.3  0.5Thour OFF  OFF  -60.76 -57.45  UNIFRM   NA    13.68  108.30   FCST   
2012JUL05 003000  2.9 1001.0  +0.0  43.0  2.9 3.2 3.3  0.7T6hr  OFF  OFF  -60.36 -56.24  UNIFRM   NA    13.71  108.38   FCST   
