                  --------Intensity------- -Tno Values-- ---TnoCI Rules---  -Temperature-                 
           Time        FinalMSLPLatVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   Storm Location  Fix
   Date    (UTC)   CI  MSLP BiasAdj(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)     Lat     Lon    Mthd   Comments
2013MAY28 211500  2.0 1009.0  +0.0  30.0  2.0 2.0 2.0  none  OFF  OFF  -64.16 -61.65  UNIFRM   NA    14.22   96.48   FCST   
2013MAY28 214500  2.0 1009.0  +0.0  30.0  2.0 2.1 3.5  0.1Thour OFF  OFF  -58.96 -59.35  CRVBND   NA    14.25   96.45   FCST   
2013MAY28 221500  2.0 1009.0  +0.0  30.0  2.0 2.1 3.5  0.1Thour OFF  OFF  -51.66 -57.85  CRVBND   NA    14.28   96.42   FCST   
2013MAY28 224500  2.0 1009.0  +0.0  30.0  2.0 2.1 4.0  0.1Thour OFF  OFF  -56.56 -56.89  CRVBND   NA    14.32   96.38   FCST   
2013MAY28 231500  2.0 1009.0  +0.0  30.0  2.0 2.1 2.6  0.1Thour OFF  OFF  -55.86 -56.68  UNIFRM   NA    14.35   96.35   FCST   
2013MAY28 234500  2.0 1009.0  +0.0  30.0  2.0 2.2 4.0  0.1Thour OFF  OFF  -57.86 -56.63  CRVBND   NA    14.39   96.32   FCST   
2013MAY29 001500  2.1 1008.2  +0.0  31.0  2.1 2.2 3.0  0.1Thour OFF  OFF  -60.76 -56.94  CRVBND   NA    14.43   96.29   FCST   
2013MAY29 004500  2.1 1008.2  +0.0  31.0  2.1 2.2 3.4  0.1Thour OFF  OFF  -53.86 -57.78  CRVBND   NA    14.46   96.26   FCST   
2013MAY29 011500  2.1 1008.2  +0.0  31.0  2.1 2.2 3.5  0.1Thour OFF  OFF  -46.66 -58.53  CRVBND   NA    14.50   96.23   FCST   
2013MAY29 014500  2.1 1008.2  +0.0  31.0  2.1 2.3 3.5  0.1Thour OFF  OFF  -46.66 -60.55  CRVBND   NA    14.54   96.21   FCST   
2013MAY29 021500  2.2 1007.4  +0.0  32.0  2.2 2.3 3.0  0.1Thour OFF  OFF  -51.36 -62.38  CRVBND   NA    14.58   96.18   FCST   
2013MAY29 024500  2.2 1007.4  +0.0  32.0  2.2 2.3 3.2  0.1Thour OFF  OFF  -40.56 -63.28  CRVBND   NA    14.62   96.15   FCST   
2013MAY29 031500  2.2 1007.4  +0.0  32.0  2.2 2.3 3.3  0.1Thour OFF  OFF  -66.66 -63.08  UNIFRM   NA    14.52   95.68   FCST   
2013MAY29 034500  2.3 1006.6  +0.0  33.0  2.3 2.6 3.2  0.5Thour OFF  OFF  -65.36 -62.07  UNIFRM   NA    14.56   95.64   FCST   
2013MAY29 041500  2.3 1006.6  +0.0  33.0  2.3 2.7 3.3  0.7T6hr  OFF  OFF  -65.76 -63.62  UNIFRM   NA    14.60   95.60   FCST   
2013MAY29 044500  2.4 1005.8  +0.0  34.0  2.4 2.7 3.1  0.7T6hr  OFF  OFF  -73.86 -64.93  UNIFRM   NA    14.64   95.56   FCST   
2013MAY29 051500  2.5 1005.0  +0.0  35.0  2.5 2.7 3.1  0.7T6hr  OFF  OFF  -75.36 -64.61  UNIFRM   NA    14.68   95.53   FCST   
2013MAY29 054500  2.5 1005.0  +0.0  35.0  2.5 2.7 3.4  0.7T6hr  OFF  OFF  -76.36 -67.01  UNIFRM   NA    14.72   95.49   FCST   
2013MAY29 061500  2.6 1004.0  +0.0  37.0  2.6 2.8 3.5  0.7T6hr  OFF  OFF  -74.86 -68.68  UNIFRM   NA    14.76   95.45   FCST   
2013MAY29 064500  2.7 1003.0  +0.0  39.0  2.7 2.8 3.6  0.7T6hr  OFF  OFF  -75.86 -68.92  UNIFRM   NA    14.81   95.42   FCST   
2013MAY29 071500  2.7 1003.0  +0.0  39.0  2.7 2.8 3.8  0.7T6hr  OFF  OFF  -77.46 -68.35  UNIFRM   NA    14.85   95.38   FCST   
2013MAY29 074500  2.7 1003.0  +0.0  39.0  2.7 2.8 3.8  0.7T6hr  OFF  OFF  -75.86 -68.93  UNIFRM   NA    14.90   95.35   FCST   
2013MAY29 081500  2.7 1003.0  +0.0  39.0  2.7 2.9 3.9  0.7T6hr  OFF  OFF  -78.56 -70.31  UNIFRM   NA    14.94   95.32   FCST   
2013MAY29 084500  2.8 1002.0  +0.0  41.0  2.8 2.9 3.9  0.7T6hr  OFF  OFF  -77.46 -70.65  UNIFRM   NA    14.99   95.29   FCST   
2013MAY29 091500  2.8 1002.0  +0.0  41.0  2.8 2.9 3.7  0.7T6hr  OFF  OFF  -71.46 -67.43  UNIFRM   NA    14.82   95.58   FCST   
2013MAY29 094500  2.8 1002.2  +0.2  41.0  2.8 3.0 3.6  0.7T6hr  OFF  OFF  -68.36 -67.60  UNIFRM   NA    14.87   95.54   FCST   
2013MAY29 101500  2.9 1001.5  +0.5  43.0  2.9 3.0 3.8  0.7T6hr  OFF  OFF  -63.76 -68.15  EMBC     NA    14.92   95.49   FCST   
2013MAY29 104500  2.9 1001.7  +0.7  43.0  2.9 3.1 3.7  0.7T6hr  OFF  OFF  -58.56 -68.14  UNIFRM   NA    14.97   95.45   FCST   
2013MAY29 111500  3.0 1000.9  +0.9  45.0  3.0 3.2 3.7  0.7T6hr  OFF  OFF  -72.36 -67.97  UNIFRM   NA    15.02   95.41   FCST   
2013MAY29 114500  3.0 1001.2  +1.2  45.0  3.0 3.2 3.8  0.7T6hr  OFF  OFF  -69.66 -67.49  UNIFRM   NA    15.07   95.38   FCST   
2013MAY29 121500  3.1 1000.2  +1.4  47.0  3.1 3.3 4.1  0.7T6hr  OFF  OFF  -68.36 -69.81  UNIFRM   NA    15.22   95.00   FCST   
2013MAY29 124500  3.1 1000.4  +1.6  47.0  3.1 3.4 4.0  0.7T6hr  OFF  OFF  -65.76 -68.41  EMBC     NA    15.26   94.99   FCST   
2013MAY29 131500  3.2  999.4  +1.8  49.0  3.2 3.4 3.9  0.7T6hr  OFF  OFF  -66.66 -67.11  UNIFRM   NA    15.30   94.98   FCST   
2013MAY29 134500  3.3  998.4  +2.0  51.0  3.3 3.4 3.8  0.7T6hr  OFF  OFF  -72.86 -66.86  UNIFRM   NA    15.34   94.97   FCST   
2013MAY29 141500  3.3  998.6  +2.2  51.0  3.3 3.4 3.8  0.7T6hr  OFF  OFF  -70.56 -67.65  UNIFRM   NA    15.38   94.96   FCST   
2013MAY29 144500  3.3  998.9  +2.5  51.0  3.3 3.5 3.8  0.7T6hr  OFF  OFF  -70.06 -68.22  UNIFRM   NA    15.42   94.95   FCST   
2013MAY29 151500  3.4  997.8  +2.6  53.0  3.4 3.5 3.8  0.7T6hr  OFF  OFF  -76.36 -67.65  UNIFRM   NA    15.74   94.58   FCST   
2013MAY29 154500  3.4  997.8  +2.5  53.0  3.4 3.5 3.8  0.7T6hr  OFF  OFF  -73.36 -69.50  UNIFRM   NA    15.81   94.53   FCST   
2013MAY29 161500  3.4  997.7  +2.5  53.0  3.4 3.6 3.9  0.7T6hr  OFF  OFF  -73.36 -70.01  UNIFRM   NA    15.89   94.49   FCST   
2013MAY29 164500  3.5  996.5  +2.5  55.0  3.5 3.6 3.9  0.7T6hr  OFF  OFF  -70.96 -69.79  UNIFRM   NA    15.96   94.45   FCST   
2013MAY29 171500  3.5  996.5  +2.5  55.0  3.5 3.7 3.9  0.7T6hr  OFF  OFF  -66.26 -68.81  UNIFRM   NA    16.04   94.41   FCST   
2013MAY29 174500  3.5  996.5  +2.5  55.0  3.5 3.7 3.9  0.7T6hr  OFF  OFF  -63.06 -68.41  UNIFRM   NA    16.11   94.37   FCST   
2013MAY29 181500  3.6  995.0  +2.4  57.0  3.6 3.8 3.9  0.7T6hr  OFF  OFF  -62.26 -67.05  UNIFRM   NA    16.18   94.33   FCST   
2013MAY29 184500  3.6  995.0  +2.4  57.0  3.6 3.8 3.9  0.7T6hr  OFF  OFF  -73.36 -67.46  UNIFRM   NA    16.25   94.30   FCST   
2013MAY29 211500  3.8  992.2  +2.4  61.0  3.8 4.1 4.3  0.7T6hr  OFF  OFF  -71.96 -70.96  UNIFRM   NA    16.23   93.99   FCST   
2013MAY29 214500  4.0  989.4  +2.4  65.0  4.0 4.1 4.3  0.7T6hr  OFF  OFF  -70.96 -69.46  UNIFRM   NA    16.29   93.97   FCST   
2013MAY30 151500  1.6 1013.1  +1.7  26.0  1.6 1.6 1.5  2.2T18hr OFF  OFF    9.24  -8.23  SHEAR    NA    18.51   95.01   FCST   
2013MAY30 154500  1.6 1013.1  +1.7  26.0  1.5 1.5 1.5  none   ON  OFF    7.54  -4.72  SHEAR    NA    18.52   95.04   FCST   
2013MAY30 161500  1.6 1013.1  +1.7  26.0  1.5 1.5 1.5  none   ON  OFF   14.84  -2.65  SHEAR    NA    18.53   95.07   FCST   
2013MAY30 164500  1.6 1013.1  +1.7  26.0  1.5 1.5 1.5  none   ON  OFF   16.74  -0.91  SHEAR    NA    18.54   95.10   FCST   
2013MAY30 171500  1.6 1013.1  +1.7  26.0  1.5 1.5 1.5  none   ON  OFF   14.44   0.43  SHEAR    NA    18.55   95.12   FCST   
2013MAY30 174500  1.6 1013.1  +1.7  26.0  1.5 1.5 1.5  none   ON  OFF   13.54   1.08  SHEAR    NA    18.56   95.15   FCST   
2013MAY30 181500  1.6 1013.1  +1.7  26.0  1.5 1.5 1.5  none   ON  OFF   13.14   1.64  SHEAR    NA    18.57   95.18   FCST   
2013MAY30 184500  1.6 1013.1  +1.7  26.0  1.5 2.0 2.9  0.5Thour  ON  OFF   13.84   0.20  SHEAR    NA    18.58   95.21   FCST   
2013MAY30 191500  1.6 1013.1  +1.7  26.0  1.6 2.0 2.7  0.5Thour OFF  OFF    8.84  -0.52  SHEAR    NA    18.59   95.24   FCST   
2013MAY30 194500  1.7 1012.5  +1.7  27.0  1.7 2.0 2.7  0.5Thour OFF  OFF    6.94  -0.25  SHEAR    NA    18.61   95.26   FCST   
2013MAY30 201500  1.7 1012.5  +1.7  27.0  1.7 1.5 1.5  none  OFF  OFF   10.54   0.31  SHEAR    NA    18.62   95.29   FCST   
