                  --------Intensity------- -Tno Values-- ---TnoCI Rules---  -Temperature-                 
           Time        FinalMSLPLatVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   Storm Location  Fix
   Date    (UTC)   CI  MSLP BiasAdj(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)     Lat     Lon    Mthd   Comments
2012SEP22 030000  2.0 1009.0  +0.0  30.0  2.0 2.0 2.0  none  OFF  OFF  -16.86 -47.53  CRVBND   NA    13.70  107.50   FCST   
2012SEP22 033000  2.0 1009.0  +0.0  30.0  2.0 2.1 3.4  0.1Thour OFF  OFF   -9.76 -46.70  CRVBND   NA    13.71  107.57   FCST   
2012SEP22 040000  2.0 1009.0  +0.0  30.0  2.0 2.1 3.0  0.1Thour OFF  OFF  -12.76 -45.46  CRVBND   NA    13.72  107.65   FCST   
2012SEP22 043000  2.0 1009.0  +0.0  30.0  2.0 2.1 2.2  0.1Thour OFF  OFF  -14.66 -43.81  CRVBND   NA    13.73  107.72   FCST   
2012SEP22 050000  2.0 1009.0  +0.0  30.0  2.0 2.1 2.5  0.1Thour OFF  OFF  -18.86 -43.28  CRVBND   NA    13.74  107.80   FCST   
2012SEP22 053000  2.0 1009.0  +0.0  30.0  2.0 2.2 2.5  0.1Thour OFF  OFF  -27.46 -43.44  CRVBND   NA    13.75  107.87   FCST   
2012SEP22 060000  2.1 1008.2  +0.0  31.0  2.1 2.2 2.5  0.1Thour OFF  OFF  -49.26 -43.52  CRVBND   NA    13.76  107.94   FCST   
2012SEP22 063000  2.1 1008.2  +0.0  31.0  2.1 2.2 2.5  0.1Thour OFF  OFF  -43.36 -42.81  CRVBND   NA    13.77  108.02   FCST   
2012SEP22 070000  2.1 1008.2  +0.0  31.0  2.1 2.2 2.2  0.1Thour OFF  OFF  -36.86 -41.77  CRVBND   NA    13.78  108.09   FCST   
2012SEP22 073000  2.1 1008.2  +0.0  31.0  2.1 2.3 3.5  0.1Thour OFF  OFF  -33.36 -42.50  CRVBND   NA    13.79  108.16   FCST   
2012SEP22 080000  2.2 1007.4  +0.0  32.0  2.2 2.3 2.7  0.1Thour OFF  OFF  -21.46 -45.11  CRVBND   NA    13.80  108.23   FCST   
2012SEP22 083000  2.2 1007.4  +0.0  32.0  2.2 2.3 2.7  0.1Thour OFF  OFF   -6.96 -47.06  CRVBND   NA    13.81  108.30   FCST   
2012SEP22 090000  2.2 1007.4  +0.0  32.0  2.2 2.3 3.0  0.1Thour OFF  OFF  -22.26 -44.45  CRVBND   NA    13.70  107.50   FCST   
2012SEP22 093000  2.3 1006.6  +0.0  33.0  2.3 2.6 3.5  0.5Thour OFF  OFF  -30.66 -44.35  CRVBND   NA    13.71  107.55   FCST   
2012SEP22 100000  2.3 1006.6  +0.0  33.0  2.3 2.7 3.2  0.7T6hr  OFF  OFF  -20.86 -45.25  CRVBND   NA    13.73  107.60   FCST   
2012SEP22 103000  2.4 1005.8  +0.0  34.0  2.4 2.5 2.5  none  OFF  OFF  -16.66 -44.31  CRVBND   NA    13.75  107.65   FCST   
2012SEP22 110000  2.4 1005.8  +0.0  34.0  2.4 2.7 2.9  0.7T6hr  OFF  OFF  -13.86 -43.72  CRVBND   NA    13.76  107.69   FCST   
2012SEP22 113000  2.5 1005.0  +0.0  35.0  2.5 2.7 2.9  0.7T6hr  OFF  OFF  -12.76 -42.97  CRVBND   NA    13.78  107.74   FCST   
2012SEP22 120000  2.5 1005.0  +0.0  35.0  2.5 2.7 2.7  none  OFF  OFF  -20.56 -42.32  CRVBND   NA    13.79  107.79   FCST   
2012SEP22 123000  2.6 1004.0  +0.0  37.0  2.6 2.7 2.7  none  OFF  OFF  -23.66 -42.42  CRVBND   NA    13.81  107.84   FCST   
2012SEP22 130000  2.6 1004.0  +0.0  37.0  2.6 2.7 2.7  none  OFF  OFF  -32.46 -42.71  CRVBND   NA    13.83  107.89   FCST   
2012SEP22 133000  2.6 1004.0  +0.0  37.0  2.6 2.7 2.7  none  OFF  OFF  -31.76 -44.76  CRVBND   NA    13.84  107.94   FCST   
2012SEP22 140000  2.6 1004.0  +0.0  37.0  2.6 2.7 2.7  none  OFF  OFF  -24.96 -44.91  CRVBND   NA    13.86  107.99   FCST   
2012SEP22 143000  2.6 1004.0  +0.0  37.0  2.6 2.5 2.5  none  OFF  OFF  -23.96 -44.10  CRVBND   NA    13.88  108.04   FCST   
2012SEP22 150000  2.7 1003.0  +0.0  39.0  2.7 2.9 3.0  0.7T6hr  OFF  OFF  -42.06 -49.34  CRVBND   NA    13.90  107.70   FCST   
2012SEP22 153000  2.7 1003.0  +0.0  39.0  2.7 2.9 2.9  none  OFF  OFF  -34.26 -49.10  CRVBND   NA    13.92  107.75   FCST   
2012SEP22 160000  2.7 1003.0  +0.0  39.0  2.7 3.0 3.0  0.7T6hr  OFF  OFF  -26.46 -48.85  CRVBND   NA    13.94  107.81   FCST   
2012SEP22 163000  2.7 1003.0  +0.0  39.0  2.7 2.5 2.5  none  OFF  OFF  -20.86 -47.81  CRVBND   NA    13.97  107.86   FCST   
2012SEP22 170000  2.7 1003.0  +0.0  39.0  2.7 3.1 3.2  0.7T6hr  OFF  OFF  -22.86 -48.10  CRVBND   NA    13.99  107.92   FCST   
2012SEP22 173000  2.8 1002.0  +0.0  41.0  2.8 3.0 3.0  none  OFF  OFF  -30.26 -47.67  CRVBND   NA    14.02  107.97   FCST   
2012SEP22 180000  2.8 1002.0  +0.0  41.0  2.8 2.5 2.5  none  OFF  OFF  -33.76 -48.23  CRVBND   NA    14.04  108.03   FCST   
2012SEP22 183000  2.8 1002.0  +0.0  41.0  2.8 2.7 2.7  none  OFF  OFF  -30.26 -48.49  CRVBND   NA    14.07  108.08   FCST   
2012SEP22 190000  2.8 1002.0  +0.0  41.0  2.7 2.7 2.7  none   ON  OFF  -26.26 -49.66  CRVBND   NA    14.10  108.14   FCST   
2012SEP22 193000  2.8 1002.0  +0.0  41.0  2.7 2.7 2.7  none   ON  OFF  -20.66 -50.85  CRVBND   NA    14.12  108.19   FCST   
2012SEP22 200000  2.8 1002.0  +0.0  41.0  2.7 2.9 2.9  none   ON  OFF  -21.46 -52.45  CRVBND   NA    14.15  108.25   FCST   
2012SEP22 203000  2.8 1002.0  +0.0  41.0  2.7 3.0 3.0  none   ON  OFF  -32.86 -52.69  CRVBND   NA    14.18  108.31   FCST   
2012SEP22 210000  2.8 1002.0  +0.0  41.0  2.8 3.2 3.9  0.5Thour OFF  OFF  -58.26 -54.32  CRVBND   NA    14.30  107.80   FCST   
2012SEP22 213000  2.9 1001.0  +0.0  43.0  2.9 3.2 3.7  0.5Thour OFF  OFF  -55.16 -53.06  CRVBND   NA    14.32  107.83   FCST   
2012SEP22 220000  2.9 1001.0  +0.0  43.0  2.9 3.2 3.9  0.5Thour OFF  OFF  -58.96 -52.25  CRVBND   NA    14.34  107.85   FCST   
2012SEP22 223000  2.9 1001.0  +0.0  43.0  2.9 2.5 2.5  none  OFF  OFF   -3.66 -55.21  CRVBND   NA    13.91  108.45   COMBO  
2012SEP22 230000  3.0 1000.0  +0.0  45.0  3.0 3.3 3.9  0.5Thour OFF  OFF  -62.66 -52.60  CRVBND   NA    14.38  107.91   FCST   
2012SEP22 233000  3.1  998.8  +0.0  47.0  3.1 3.4 3.5  0.5Thour OFF  OFF  -60.36 -53.28  CRVBND   NA    14.40  107.95   FCST   
2012SEP23 000000  3.1  998.8  +0.0  47.0  3.1 3.4 3.5  0.5Thour OFF  OFF  -58.96 -53.24  CRVBND   NA    14.42  107.98   FCST   
2012SEP23 003000  3.2  997.6  +0.0  49.0  3.2 3.4 4.0  0.5Thour OFF  OFF  -59.66 -52.05  CRVBND   NA    14.45  108.01   FCST   
2012SEP23 010000  3.2  997.6  +0.0  49.0  3.2 3.4 3.7  0.7T6hr  OFF  OFF  -54.26 -50.78  CRVBND   NA    14.47  108.05   FCST   
2012SEP23 013000  3.2  997.6  +0.0  49.0  3.2 3.4 3.5  0.7T6hr  OFF  OFF  -61.46 -50.75  CRVBND   NA    14.50  108.09   FCST   
2012SEP23 020000  3.4  995.2  +0.0  53.0  3.4 3.4 3.9  0.7T6hr  OFF  OFF  -64.16 -51.69  CRVBND   NA    14.53  108.13   FCST   
2012SEP23 023000  3.4  995.2  +0.0  53.0  3.4 3.4 3.7  0.7T6hr  OFF  OFF  -61.46 -52.54  CRVBND   NA    14.56  108.17   FCST   
2012SEP23 030000  3.4  995.2  +0.0  53.0  3.4 3.5 3.8  0.7T6hr  OFF  OFF  -73.36 -61.98  UNIFRM   NA    14.90  108.50   FCST   
2012SEP23 033000  3.4  995.2  +0.0  53.0  3.4 3.6 3.7  0.7T6hr  OFF  OFF  -72.86 -63.61  UNIFRM   NA    14.93  108.56   FCST   
2012SEP23 040000  3.4  995.2  +0.0  53.0  3.4 3.6 3.9  0.7T6hr  OFF  OFF  -76.36 -66.49  UNIFRM   NA    14.97  108.61   FCST   
2012SEP23 043000  3.5  994.0  +0.0  55.0  3.5 3.6 3.9  0.7T6hr  OFF  OFF  -72.86 -68.90  UNIFRM   NA    15.00  108.67   FCST   
2012SEP23 050000  3.5  994.0  +0.0  55.0  3.5 3.7 4.1  0.7T6hr  OFF  OFF  -70.56 -71.01  UNIFRM   NA    15.04  108.73   FCST   
2012SEP23 053000  3.6  992.6  +0.0  57.0  3.6 3.8 4.2  0.7T6hr  OFF  OFF  -71.46 -71.46  UNIFRM   NA    15.08  108.79   FCST   
2012SEP23 060000  3.6  992.6  +0.0  57.0  3.6 3.8 4.2  0.7T6hr  OFF  OFF  -69.16 -71.45  UNIFRM   NA    15.11  108.85   FCST   
2012SEP23 063000  3.7  991.2  +0.0  59.0  3.7 3.9 4.2  0.7T6hr  OFF  OFF  -68.76 -70.77  UNIFRM   NA    15.15  108.91   FCST   
2012SEP23 070000  3.7  991.2  +0.0  59.0  3.7 3.9 4.2  0.7T6hr  OFF  OFF  -65.76 -70.00  UNIFRM   NA    15.19  108.97   FCST   
2012SEP23 073000  3.7  991.2  +0.0  59.0  3.7 3.9 4.2  0.7T6hr  OFF  OFF  -64.16 -69.44  UNIFRM   NA    15.23  109.03   FCST   
2012SEP23 080000  3.9  988.4  +0.0  63.0  3.9 4.1 4.3  0.5Thour OFF  OFF  -67.06 -69.43  UNIFRM   NA    15.27  109.09   FCST   
2012SEP23 083000  3.9  988.4  +0.0  63.0  3.9 4.1 4.3  0.7T6hr  OFF  OFF  -64.56 -68.79  UNIFRM   NA    15.31  109.15   FCST   
2012SEP23 090000  3.9  988.4  +0.0  63.0  3.9 4.0 4.0  none  OFF  OFF  -76.36 -66.95  UNIFRM   NA    15.30  108.80   FCST   
2012SEP23 093000  3.9  988.6  +0.2  63.0  3.9 4.0 4.0  none  OFF  OFF  -76.86 -68.73  UNIFRM   NA    15.35  108.87   FCST   
2012SEP23 100000  4.0  987.5  +0.4  65.0  4.0 4.1 4.2  0.7T6hr  OFF  OFF  -77.96 -71.98  UNIFRM   NA    15.41  108.95   FCST   
2012SEP23 103000  4.0  987.7  +0.7  65.0  4.0 4.2 4.3  0.7T6hr  OFF  OFF  -78.56 -73.58  UNIFRM   NA    15.46  109.02   FCST   
2012SEP23 110000  4.0  987.9  +0.9  65.0  4.0 4.2 4.4  0.7T6hr  OFF  OFF  -75.86 -73.83  UNIFRM   NA    15.51  109.10   FCST   
2012SEP23 113000  4.1  986.5  +1.1  67.4  4.1 4.3 4.4  0.7T6hr  OFF  OFF  -74.36 -73.04  UNIFRM   NA    15.56  109.17   FCST   
2012SEP23 120000  4.1  986.7  +1.3  67.4  4.1 4.3 4.3  0.7T6hr  OFF  OFF  -76.86 -72.85  UNIFRM   NA    15.61  109.24   FCST   
2012SEP23 123000  4.1  986.9  +1.5  67.4  4.1 4.2 4.2  none  OFF  OFF  -74.36 -72.77  UNIFRM   NA    15.67  109.32   FCST   
2012SEP23 130000  4.2  985.5  +1.7  69.8  4.2 4.3 4.3  none  OFF  OFF  -71.96 -72.39  EMBC     NA    15.72  109.39   FCST   
2012SEP23 133000  4.2  985.7  +1.9  69.8  4.2 4.1 4.1  none  OFF  OFF  -71.96 -71.82  UNIFRM   NA    15.77  109.46   FCST   
2012SEP23 140000  4.2  985.9  +2.1  69.8  4.2 4.1 4.1  none  OFF  OFF  -73.36 -71.52  UNIFRM   NA    15.82  109.53   FCST   
2012SEP23 143000  4.2  986.1  +2.3  69.8  4.1 4.1 4.1  none   ON  OFF  -73.86 -71.26  UNIFRM   NA    15.87  109.60   FCST   
2012SEP23 150000  4.2  986.4  +2.6  69.8  4.2 4.3 4.3  none  OFF  OFF  -75.36 -73.11  UNIFRM   NA    15.60  109.60   FCST   
2012SEP23 153000  4.2  986.4  +2.6  69.8  4.1 4.3 4.3  none   ON  OFF  -73.36 -72.76  UNIFRM   NA    15.65  109.67   FCST   
2012SEP23 160000  4.2  986.4  +2.6  69.8  4.1 4.2 4.2  none   ON  OFF  -76.36 -72.74  UNIFRM   NA    15.70  109.73   FCST   
2012SEP23 163000  4.2  986.4  +2.6  69.8  4.1 4.2 4.2  none   ON  OFF  -75.86 -72.74  UNIFRM   NA    15.75  109.80   FCST   
2012SEP23 170000  4.2  986.3  +2.5  69.8  4.1 4.2 4.2  none   ON  OFF  -72.86 -71.33  UNIFRM   NA    15.81  109.87   FCST   
2012SEP23 173000  4.2  986.3  +2.5  69.8  4.2 4.1 4.1  none  OFF  OFF  -69.16 -70.02  UNIFRM   NA    15.86  109.93   FCST   
2012SEP23 180000  4.2  986.3  +2.5  69.8  4.1 4.0 4.0  none   ON  OFF  -72.86 -69.56  UNIFRM   NA    15.91  110.00   FCST   
2012SEP23 183000  4.2  986.3  +2.5  69.8  4.0 3.6 3.6  none   ON  OFF  -73.86 -68.85  UNIFRM   NA    15.96  110.07   FCST   
2012SEP23 190000  4.2  986.3  +2.5  69.8  4.0 3.9 3.9  none   ON  OFF  -75.36 -68.34  UNIFRM   NA    16.01  110.13   FCST   
2012SEP23 193000  4.2  986.3  +2.5  69.8  3.9 3.9 3.9  none   ON  OFF  -74.36 -68.28  UNIFRM   NA    16.06  110.20   FCST   
2012SEP23 200000  4.2  986.3  +2.5  69.8  3.9 4.0 4.0  none   ON  OFF  -72.36 -69.07  UNIFRM   NA    16.11  110.27   FCST   
2012SEP23 203000  4.2  986.2  +2.5  69.8  3.9 4.2 4.2  none   ON  OFF  -73.36 -71.50  UNIFRM   NA    16.16  110.33   FCST   
2012SEP23 210000  4.2  986.3  +2.5  69.8  3.9 4.0 4.0  none   ON  OFF  -76.36 -71.07  UNIFRM   NA    16.10  110.50   FCST   
2012SEP23 213000  4.2  986.2  +2.5  69.8  3.9 4.0 4.0  none   ON  OFF  -74.86 -71.56  UNIFRM   NA    16.14  110.57   FCST   
2012SEP23 220000  4.2  986.2  +2.4  69.8  4.0 4.2 4.2  none   ON  OFF  -76.36 -72.02  UNIFRM   NA    16.17  110.65   FCST   
2012SEP23 223000  4.2  986.2  +2.4  69.8  4.0 4.2 4.2  none   ON  OFF  -75.36 -72.67  UNIFRM   NA    16.21  110.72   FCST   
2012SEP23 230000  4.2  986.2  +2.4  69.8  4.1 4.3 4.3  none   ON  OFF  -71.96 -72.99  UNIFRM   NA    16.25  110.80   FCST   
2012SEP23 233000  4.2  986.2  +2.4  69.8  4.1 4.3 4.3  none   ON  OFF  -69.66 -72.24  UNIFRM   NA    16.28  110.87   FCST   
2012SEP24 000000  4.2  986.2  +2.4  69.8  4.2 4.5 4.6  0.5Thour OFF  OFF  -67.46 -71.04  EMBC     NA    16.32  110.94   FCST   
2012SEP24 003000  4.3  984.6  +2.4  72.2  4.3 4.3 4.3  none  OFF  OFF  -64.16 -70.46  UNIFRM   NA    16.36  111.02   FCST   
2012SEP24 010000  4.3  984.6  +2.4  72.2  4.3 4.3 4.3  none  OFF  OFF  -61.86 -72.10  UNIFRM   NA    16.40  111.09   FCST   
2012SEP24 013000  4.3  984.6  +2.4  72.2  4.3 4.6 4.6  none  OFF  OFF  -60.06 -73.20  EMBC     NA    16.44  111.16   FCST   
2012SEP24 020000  4.4  982.9  +2.3  74.6  4.4 4.5 4.5  none  OFF  OFF  -67.86 -72.66  EMBC     NA    16.48  111.23   FCST   
2012SEP24 023000  4.4  982.9  +2.3  74.6  4.3 4.1 4.1  none   ON  OFF  -63.06 -71.87  UNIFRM   NA    16.67  111.15   SPRL   
2012SEP24 030000  4.4  982.8  +2.2  74.6  4.3 4.1 4.1  none   ON  OFF  -60.76 -71.19  UNIFRM   NA    16.80  111.30   FCST   
2012SEP24 033000  4.4  982.8  +2.2  74.6  4.3 4.8 6.3  0.5Thour  ON  OFF  -31.13 -71.60  EYEP  -99    16.85  111.37   FCST   
2012SEP24 040000  4.4  982.8  +2.2  74.6  4.4 4.9 6.2  0.5Thour OFF  OFF  -34.06 -70.62  EYE    -99    16.89  111.44   FCST   
2012SEP24 043000  4.4  982.8  +2.2  74.6  4.4 4.2 4.2  none  OFF  OFF  -47.86 -69.69  UNIFRM   NA    16.79  111.46   SPRL   
2012SEP24 050000  4.4  982.8  +2.2  74.6  4.4 4.8 5.9  0.5Thour OFF  OFF  -40.26 -67.54  EYE    -99    16.99  111.58   FCST   
2012SEP24 053000  4.6  979.4  +2.2  79.6  4.6 4.8 5.7  0.5Thour OFF  OFF  -46.36 -66.24  EYE    -99    17.03  111.65   FCST   
2012SEP24 060000  4.6  979.4  +2.2  79.6  4.6 4.9 5.8  0.5Thour OFF  OFF  -45.86 -67.36  EYE    -99    16.93  111.66   SPRL   
2012SEP24 063000  4.9  974.0  +2.2  87.4  4.9 6.0 6.0  none  OFF  OFF  -28.96 -68.00  EYE    -99    16.97  111.73   SPRL   
2012SEP24 070000  5.1  970.2  +2.2  92.4  5.1 6.1 6.1  none  OFF  OFF  -30.48 -69.28  EYEP  -99    17.02  111.80   SPRL   
2012SEP24 073000  5.2  968.2  +2.2  94.8  5.2 6.2 6.2  none  OFF  OFF  -29.13 -69.91  EYEP  -99    17.06  111.86   SPRL   
2012SEP24 080000  5.6  959.7  +2.1 104.6  5.6 6.0 6.0  none  OFF  OFF  -39.56 -69.63  EYE    -99    17.21  111.93   SPRL   
2012SEP24 083000  5.7  957.3  +2.1 107.2  5.7 6.2 6.2  none  OFF  OFF  -23.26 -69.79  EYE    -99    17.25  111.89   SPRL   
2012SEP24 090000  5.9  952.6  +2.2 112.4  5.9 6.3 6.3  none  OFF  OFF   -1.56 -67.64  EYE    -99    17.15  112.15   SPRL   
2012SEP24 093000  6.1  947.5  +2.1 117.4  6.1 6.0 6.0  none  OFF  OFF  -30.26 -67.66  EYE    -99    17.19  112.10   SPRL   
2012SEP24 100000  6.1  947.5  +2.1 117.4  6.1 5.9 5.9  none  OFF  OFF  -28.68 -66.93  EYEP  -99    17.33  112.16   SPRL   
2012SEP24 103000  6.1  947.5  +2.1 117.4  6.0 5.9 5.9  none   ON  OFF  -26.73 -66.80  EYEP  -99    17.37  112.22   SPRL   
2012SEP24 110000  6.1  947.5  +2.1 117.4  6.0 5.9 5.9  none   ON  OFF  -30.66 -66.38  EYE    -99    17.41  112.28   SPRL   
2012SEP24 113000  6.1  947.5  +2.0 117.4  6.0 5.9 5.9  none   ON  OFF  -15.96 -64.81  EYE      8    17.45  112.44   COMBO  
2012SEP24 120000  6.1  947.4  +2.0 117.4  5.9 6.0 6.0  none   ON  OFF  -13.96 -64.98  EYE      8    17.49  112.50   COMBO  
2012SEP24 123000  6.1  947.4  +2.0 117.4  5.9 5.7 5.7  none   ON  OFF  -32.86 -64.51  EYE      7    17.53  112.55   SPRL   
2012SEP24 130000  6.1  947.4  +2.0 117.4  5.8 5.7 5.7  none   ON  OFF  -31.06 -64.24  EYE    -99    17.57  112.61   SPRL   
2012SEP24 133000  6.1  947.4  +2.0 117.4  5.8 5.8 5.8  none   ON  OFF  -18.26 -64.28  EYE    -99    17.61  112.67   SPRL   
2012SEP24 140000  6.1  947.4  +2.0 117.4  5.8 6.0 6.0  none   ON  OFF  -17.76 -65.54  EYE    -99    17.65  112.72   SPRL   
2012SEP24 143000  6.1  947.4  +2.0 117.4  5.8 6.0 6.0  none   ON  OFF  -27.26 -66.21  EYE    -99    17.69  112.78   SPRL   
2012SEP24 150000  6.1  947.4  +2.0 117.4  5.8 6.0 6.0  none   ON  OFF  -21.06 -66.21  EYE      9    17.65  112.85   COMBO  
2012SEP24 160000  6.0  950.0  +2.0 115.0  5.8 5.9 5.9  none   ON  OFF  -30.26 -66.13  EYE      8    17.74  112.96   SPRL   
2012SEP24 163000  6.0  950.0  +2.0 115.0  5.9 5.9 5.9  none   ON  OFF  -23.46 -65.53  EYE      9    17.78  113.02   SPRL   
2012SEP24 170000  6.0  950.0  +2.0 115.0  5.9 5.9 5.9  none   ON  OFF  -21.66 -64.99  EYE     11    17.72  113.07   COMBO  
2012SEP24 173000  5.9  952.4  +2.0 112.4  5.9 5.9 5.9  none   ON  OFF   -8.16 -63.58  EYE     10    17.76  113.12   COMBO  
2012SEP24 180000  5.9  952.4  +2.0 112.4  5.8 5.7 5.7  none   ON  OFF  -16.86 -62.39  EYE    -99    17.80  113.07   SPRL   
2012SEP24 183000  5.9  952.3  +1.9 112.4  5.7 5.4 5.4  none   ON  OFF  -27.46 -60.65  EYE    -99    17.94  113.12   SPRL   
2012SEP24 190000  5.9  952.3  +1.9 112.4  5.7 5.2 5.2  none   ON  OFF  -40.06 -59.91  EYE    -99    17.98  113.17   SPRL   
